   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_257.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0024954, 0, 1.64195e-14, 0, 1.41421, -1.64195e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66845e-16, 0, 0, 1.29832e-16, 0, 0, 1.61228e-14, 0, 0, 0
0.0103471, 0, 2.53475e-14, 0, 1.41421, -2.53475e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57528e-16, 0, 0, 2.04212e-16, 0, 0, 2.48858e-14, 0, 0, 0
0.0181988, 0, 3.89568e-14, 0, 1.41421, -3.89568e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95736e-16, 0, 0, 3.19833e-16, 0, 0, 3.82412e-14, 0, 0, 0
0.0260505, 0, 5.96097e-14, 0, 1.41421, -5.96097e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.0544e-16, 0, 0, 4.98805e-16, 0, 0, 5.85055e-14, 0, 0, 0
0.0339022, 0, 9.08132e-14, 0, 1.41421, -9.08132e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.22218e-16, 0, 0, 7.74684e-16, 0, 0, 8.91163e-14, 0, 0, 0
0.0417539, 0, 1.37751e-13, 0, 1.41421, -1.37751e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39864e-15, 0, 0, 1.1982e-15, 0, 0, 1.35154e-13, 0, 0, 0
0.0496056, 0, 2.08046e-13, 0, 1.41421, -2.08046e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11203e-15, 0, 0, 1.84572e-15, 0, 0, 2.04088e-13, 0, 0, 0
0.0574573, 0, 3.12867e-13, 0, 1.41421, -3.12867e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17561e-15, 0, 0, 2.83177e-15, 0, 0, 3.0686e-13, 0, 0, 0
0.065309, 0, 4.68493e-13, 0, 1.41421, -4.68493e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75439e-15, 0, 0, 4.32744e-15, 0, 0, 4.59411e-13, 0, 0, 0
0.0731607, 0, 6.98552e-13, 0, 1.41421, -6.98552e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08784e-15, 0, 0, 6.58737e-15, 0, 0, 6.84877e-13, 0, 0, 0
0.0810124, 0, 1.03719e-12, 0, 1.41421, -1.03719e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05219e-14, 0, 0, 9.98914e-15, 0, 0, 1.01668e-12, 0, 0, 0
