   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_276.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00890371, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00103683, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00683006, 0, 1.67779e-20, 0, 1.41421, -1.67779e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23262e-22, 0, 0, 6.74645e-26, 0, 4.17769e-21, 0, 1.24769e-20, 0, 0
0.0146969, 0, 3.5705e-20, 0, 1.41421, -3.5705e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61099e-22, 0, 0, 1.4496e-25, 0, 9.01473e-21, 0, 2.6429e-20, 0, 0
0.0225638, 0, 7.50859e-20, 0, 1.41421, -7.50859e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.46534e-22, 0, 0, 3.0784e-25, 0, 1.92176e-20, 0, 5.53214e-20, 0, 0
0.0304307, 0, 1.5611e-19, 0, 1.41421, -1.5611e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.131e-21, 0, 0, 6.46406e-25, 0, 4.04954e-20, 0, 1.14483e-19, 0, 0
0.0382976, 0, 3.21012e-19, 0, 1.41421, -3.21012e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31481e-21, 0, 0, 1.34265e-24, 0, 8.43859e-20, 0, 2.3431e-19, 0, 0
0.0461645, 0, 6.70401e-19, 0, 1.41421, -6.70401e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80347e-21, 0, 0, 2.84299e-24, 0, 1.79376e-19, 0, 4.86218e-19, 0, 0
0.0540314, 0, 1.34655e-18, 0, 1.41421, -1.34655e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.60236e-21, 0, 0, 5.7683e-24, 0, 3.64971e-19, 0, 9.71972e-19, 0, 0
0.0618982, 0, 2.67845e-18, 0, 1.41421, -2.67845e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90079e-20, 0, 0, 1.15915e-23, 0, 7.35405e-19, 0, 1.92402e-18, 0, 0
0.0697651, 0, 5.27769e-18, 0, 1.41421, -5.27769e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72681e-20, 0, 0, 2.30777e-23, 0, 1.46804e-18, 0, 3.77236e-18, 0, 0
0.077632, 0, 1.03037e-17, 0, 1.41421, -1.03037e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23894e-20, 0, 0, 4.55277e-23, 0, 2.90381e-18, 0, 7.32742e-18, 0, 0
0.0854989, 0, 1.99353e-17, 0, 1.41421, -1.99353e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39327e-19, 0, 0, 8.90188e-23, 0, 5.69282e-18, 0, 1.4103e-17, 0, 0
0.0933658, 0, 3.82315e-17, 0, 1.41421, -3.82315e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65767e-19, 0, 0, 1.72543e-22, 0, 1.10641e-17, 0, 2.69015e-17, 0, 0
0.101233, 0, 7.26901e-17, 0, 1.41421, -7.26901e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02511e-19, 0, 0, 3.31591e-22, 0, 2.13219e-17, 0, 5.08653e-17, 0, 0
0.1091, 0, 1.37043e-16, 0, 1.41421, -1.37043e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.41971e-19, 0, 0, 6.31931e-22, 0, 4.07516e-17, 0, 9.53485e-17, 0, 0
0.116966, 0, 2.56232e-16, 0, 1.41421, -2.56232e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7508e-18, 0, 0, 1.19444e-21, 0, 7.72598e-17, 0, 1.77221e-16, 0, 0
0.124833, 0, 4.75201e-16, 0, 1.41421, -4.75201e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22706e-18, 0, 0, 2.23951e-21, 0, 1.45321e-16, 0, 3.2665e-16, 0, 0
0.1327, 0, 8.74271e-16, 0, 1.41421, -8.74271e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.89923e-18, 0, 0, 4.1657e-21, 0, 2.71233e-16, 0, 5.97135e-16, 0, 0
0.140567, 0, 1.59587e-15, 0, 1.41421, -1.59587e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06968e-17, 0, 0, 7.6882e-21, 0, 5.02411e-16, 0, 1.08276e-15, 0, 0
0.148434, 0, 2.89061e-15, 0, 1.41421, -2.89061e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9241e-17, 0, 0, 1.40804e-20, 0, 9.2373e-16, 0, 1.94763e-15, 0, 0
0.156301, 0, 5.196e-15, 0, 1.41421, -5.196e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43366e-17, 0, 0, 2.55919e-20, 0, 1.68599e-15, 0, 3.47565e-15, 0, 0
0.164168, 0, 9.27018e-15, 0, 1.41421, -9.27018e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.0797e-17, 0, 0, 4.61684e-20, 0, 3.05529e-15, 0, 6.15405e-15, 0, 0
0.172035, 0, 1.6417e-14, 0, 1.41421, -1.6417e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06817e-16, 0, 0, 8.26772e-20, 0, 5.49779e-15, 0, 1.08123e-14, 0, 0
0.179902, 0, 2.88622e-14, 0, 1.41421, -2.88622e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86235e-16, 0, 0, 1.46984e-19, 0, 9.82458e-15, 0, 1.88512e-14, 0, 0
0.187768, 0, 5.03776e-14, 0, 1.41421, -5.03776e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22238e-16, 0, 0, 2.59441e-19, 0, 1.74373e-14, 0, 3.26178e-14, 0, 0
0.195635, 0, 8.73094e-14, 0, 1.41421, -8.73094e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.53371e-16, 0, 0, 4.54714e-19, 0, 3.07421e-14, 0, 5.60134e-14, 0, 0
0.203502, 0, 1.5026e-13, 0, 1.41421, -1.5026e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.43211e-16, 0, 0, 7.91437e-19, 0, 5.38426e-14, 0, 9.54732e-14, 0, 0
0.211369, 0, 2.56816e-13, 0, 1.41421, -2.56816e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59579e-15, 0, 0, 1.3681e-18, 0, 9.36925e-14, 0, 1.61527e-13, 0, 0
0.219236, 0, 4.35962e-13, 0, 1.41421, -4.35962e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68005e-15, 0, 0, 2.34906e-18, 0, 1.62009e-13, 0, 2.71271e-13, 0, 0
0.227103, 0, 7.35124e-13, 0, 1.41421, -7.35124e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46819e-15, 0, 0, 4.00682e-18, 0, 2.78397e-13, 0, 4.52255e-13, 0, 0
0.23497, 0, 1.2314e-12, 0, 1.41421, -1.2314e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.39543e-15, 0, 0, 6.79039e-18, 0, 4.75482e-13, 0, 7.48516e-13, 0, 0
0.242837, 0, 2.04934e-12, 0, 1.41421, -2.04934e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21523e-14, 0, 0, 1.14353e-17, 0, 8.07245e-13, 0, 1.22993e-12, 0, 0
0.250703, 0, 3.38882e-12, 0, 1.41421, -3.38882e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98263e-14, 0, 0, 1.91399e-17, 0, 1.36249e-12, 0, 2.00648e-12, 0, 0
0.25857, 0, 5.56871e-12, 0, 1.41421, -5.56871e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21161e-14, 0, 0, 3.18454e-17, 0, 2.28656e-12, 0, 3.25001e-12, 0, 0
0.266437, 0, 9.09469e-12, 0, 1.41421, -9.09469e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.16565e-14, 0, 0, 5.26823e-17, 0, 3.81607e-12, 0, 5.22691e-12, 0, 0
0.274304, 0, 1.47641e-11, 0, 1.41421, -1.47641e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.25026e-14, 0, 0, 8.66753e-17, 0, 6.33448e-12, 0, 8.34705e-12, 0, 0
0.282171, 0, 2.38275e-11, 0, 1.41421, -2.38275e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30848e-13, 0, 0, 1.41858e-16, 0, 1.04603e-11, 0, 1.32362e-11, 0, 0
0.290038, 0, 3.8236e-11, 0, 1.41421, -3.8236e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06083e-13, 0, 0, 2.31033e-16, 0, 1.7187e-11, 0, 2.08427e-11, 0, 0
0.297905, 0, 6.10196e-11, 9.10844e-44, 1.41421, -6.10196e-11, 9.10844e-44, 0, 9.10844e-44, 9.10844e-44, 9.10844e-44, 9.10844e-44, 9.10844e-44, 9.10844e-44, 9.10844e-44, 9.10844e-44, 9.10844e-44, 9.10844e-44, 9.10844e-44, 3.2234e-13, 9.10844e-44, 9.10844e-44, 3.7454e-16, 9.10844e-44, 2.81045e-11, 9.10844e-44, 3.25924e-11, 9.10844e-44, 9.10844e-44
0.305772, 0, 9.68627e-11, 1.64232e-42, 1.41421, -9.68627e-11, 1.64232e-42, 0, 1.64232e-42, 1.64232e-42, 1.64232e-42, 1.64232e-42, 1.64232e-42, 1.64232e-42, 1.64232e-42, 1.64232e-42, 1.64232e-42, 1.64232e-42, 1.64232e-42, 5.00725e-13, 1.64232e-42, 1.64232e-42, 6.0462e-16, 1.64232e-42, 4.57479e-11, 1.64232e-42, 5.06134e-11, 1.64232e-42, 1.64232e-42
0.313639, 0, 1.52979e-10, 2.48296e-41, 1.41421, -1.52979e-10, 2.48296e-41, 0, 2.48296e-41, 2.48296e-41, 2.48296e-41, 2.48296e-41, 2.48296e-41, 2.48296e-41, 2.48296e-41, 2.48296e-41, 2.48296e-41, 2.48296e-41, 2.48296e-41, 7.72535e-13, 2.48296e-41, 2.48296e-41, 9.723e-16, 2.48296e-41, 7.41475e-11, 2.48296e-41, 7.8058e-11, 2.48296e-41, 2.48296e-41
0.321505, 0, 2.40439e-10, 3.29787e-40, 1.41421, -2.40439e-10, 3.29787e-40, 0, 3.29787e-40, 3.29787e-40, 3.29787e-40, 3.29787e-40, 3.29787e-40, 3.29787e-40, 3.29787e-40, 3.29787e-40, 3.29787e-40, 3.29787e-40, 3.29787e-40, 1.18384e-12, 3.29787e-40, 3.29787e-40, 1.55825e-15, 3.29787e-40, 1.19693e-10, 3.29787e-40, 1.1956e-10, 3.29787e-40, 3.29787e-40
0.329372, 0, 3.76178e-10, 3.91966e-39, 1.41421, -3.76178e-10, 3.91966e-39, 0, 3.91966e-39, 3.91966e-39, 3.91966e-39, 3.91966e-39, 3.91966e-39, 3.91966e-39, 3.91966e-39, 3.91966e-39, 3.91966e-39, 3.91966e-39, 3.91966e-39, 1.80195e-12, 3.91966e-39, 3.91966e-39, 2.48994e-15, 3.91966e-39, 1.92492e-10, 3.91966e-39, 1.81881e-10, 3.91966e-39, 3.91966e-39
0.337239, 0, 5.86044e-10, 4.20409e-38, 1.41421, -5.86044e-10, 4.20409e-38, 0, 4.20409e-38, 4.20409e-38, 4.20409e-38, 4.20409e-38, 4.20409e-38, 4.20409e-38, 4.20409e-38, 4.20409e-38, 4.20409e-38, 4.20409e-38, 4.20409e-38, 2.72454e-12, 4.20409e-38, 4.20409e-38, 3.96879e-15, 4.20409e-38, 3.08503e-10, 4.20409e-38, 2.74812e-10, 4.20409e-38, 4.20409e-38
0.345106, 0, 9.09405e-10, 4.08393e-37, 1.41421, -9.09405e-10, 4.08393e-37, 0, 4.08393e-37, 4.08393e-37, 4.08393e-37, 4.08393e-37, 4.08393e-37, 4.08393e-37, 4.08393e-37, 4.08393e-37, 4.08393e-37, 4.08393e-37, 4.08393e-37, 4.0923e-12, 4.08393e-37, 4.08393e-37, 6.31317e-15, 4.08393e-37, 4.92881e-10, 4.08393e-37, 4.12426e-10, 4.08393e-37, 4.08393e-37
0.352973, 0, 1.40614e-09, 3.61586e-36, 1.41421, -1.40614e-09, 3.61586e-36, 0, 3.61586e-36, 3.61586e-36, 3.61586e-36, 3.61586e-36, 3.61586e-36, 3.61586e-36, 3.61586e-36, 3.61586e-36, 3.61586e-36, 3.61586e-36, 3.61586e-36, 6.10652e-12, 3.61586e-36, 3.61586e-36, 1.00267e-14, 3.61586e-36, 7.85226e-10, 3.61586e-36, 6.148e-10, 3.61586e-36, 3.61586e-36
0.36084, 0, 2.16725e-09, 2.93259e-35, 1.41421, -2.16725e-09, 2.93259e-35, 0, 2.93259e-35, 2.93259e-35, 2.93259e-35, 2.93259e-35, 2.93259e-35, 2.93259e-35, 2.93259e-35, 2.93259e-35, 2.93259e-35, 2.93259e-35, 2.93259e-35, 9.05315e-12, 2.93259e-35, 2.93259e-35, 1.59067e-14, 2.93259e-35, 1.24781e-09, 2.93259e-35, 9.10368e-10, 2.93259e-35, 2.93259e-35
0.368707, 0, 3.33094e-09, 2.18788e-34, 1.41421, -3.33094e-09, 2.18788e-34, 0, 2.18788e-34, 2.18788e-34, 2.18788e-34, 2.18788e-34, 2.18788e-34, 2.18788e-34, 2.18788e-34, 2.18788e-34, 2.18788e-34, 2.18788e-34, 2.18788e-34, 1.33357e-11, 2.18788e-34, 2.18788e-34, 2.52163e-14, 2.18788e-34, 1.97849e-09, 2.18788e-34, 1.3391e-09, 2.18788e-34, 2.18788e-34
