   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_30.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0124881, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00458469, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00331874, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0112222, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0191256, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.027029, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0349324, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0428359, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0507393, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0586427, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0665461, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0744496, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.082353, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0902564, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0981598, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.106063, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.113967, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.12187, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.129774, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.137677, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.14558, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.153484, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.161387, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.169291, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.177194, 0, 1.46306e-29, 0, 1.41421, -1.46306e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75832e-32, 0, 0, 3.74646e-34, 0, 2.73868e-35, 0, 1.46027e-29, 0, 0, 0
0.185098, 0, 1.81361e-28, 0, 1.41421, -1.81361e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41912e-31, 0, 0, 4.64399e-33, 0, 4.36584e-33, 0, 1.8101e-28, 0, 0, 0
0.193001, 0, 1.40998e-27, 0, 1.41421, -1.40998e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65815e-30, 0, 0, 3.61041e-32, 0, 5.32616e-32, 0, 1.40724e-27, 0, 0, 0
0.200904, 0, 8.74671e-27, 0, 1.41421, -8.74671e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64895e-29, 0, 0, 2.24204e-31, 0, 4.15328e-31, 0, 8.72958e-27, 0, 0, 0
0.208808, 0, 4.70944e-26, 0, 1.41421, -4.70944e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.87825e-29, 0, 0, 1.20931e-30, 0, 2.58072e-30, 0, 4.70018e-26, 0, 0, 0
0.216711, 0, 2.29258e-25, 0, 1.41421, -2.29258e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32195e-28, 0, 0, 5.89999e-30, 0, 1.39078e-29, 0, 2.28806e-25, 0, 0, 0
0.224615, 0, 1.03256e-24, 0, 1.41421, -1.03256e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94657e-27, 0, 0, 2.66393e-29, 0, 6.77397e-29, 0, 1.03052e-24, 0, 0, 0
0.232518, 0, 4.36521e-24, 0, 1.41421, -4.36521e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.22919e-27, 0, 0, 1.12923e-28, 0, 3.05198e-28, 0, 4.35656e-24, 0, 0, 0
0.240421, 0, 1.74908e-23, 0, 1.41421, -1.74908e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29731e-26, 0, 0, 4.53778e-28, 0, 1.29054e-27, 0, 1.74561e-23, 0, 0, 0
0.248325, 0, 6.68882e-23, 0, 1.41421, -6.68882e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26095e-25, 0, 0, 1.7407e-27, 0, 5.17203e-27, 0, 6.67552e-23, 0, 0, 0
0.256228, 0, 2.45398e-22, 0, 1.41421, -2.45398e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.62614e-25, 0, 0, 6.40726e-27, 0, 1.97823e-26, 0, 2.4491e-22, 0, 0, 0
0.264132, 0, 8.67209e-22, 0, 1.41421, -8.67209e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63482e-24, 0, 0, 2.27219e-26, 0, 7.25917e-26, 0, 8.65479e-22, 0, 0, 0
0.272035, 0, 2.96132e-21, 0, 1.41421, -2.96132e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58251e-24, 0, 0, 7.78801e-26, 0, 2.5659e-25, 0, 2.9554e-21, 0, 0, 0
0.279939, 0, 1.0394e-20, 0, 1.41421, -1.0394e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9594e-23, 0, 0, 2.74978e-25, 0, 9.41098e-25, 0, 1.03732e-20, 0, 0, 0
0.287842, 0, 3.30817e-20, 0, 1.41421, -3.30817e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23633e-23, 0, 0, 8.78867e-25, 0, 3.08106e-24, 0, 3.30154e-20, 0, 0, 0
0.295745, 0, 1.02546e-19, 0, 1.41421, -1.02546e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93313e-22, 0, 0, 2.73648e-24, 0, 9.81022e-24, 0, 1.0234e-19, 0, 0, 0
0.303649, 0, 3.0998e-19, 0, 1.41421, -3.0998e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.84349e-22, 0, 0, 8.31133e-24, 0, 3.0425e-23, 0, 3.09357e-19, 0, 0, 0
0.311552, 0, 9.14751e-19, 0, 1.41421, -9.14751e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72441e-21, 0, 0, 2.46513e-23, 0, 9.20264e-23, 0, 9.1291e-19, 0, 0, 0
0.319456, 0, 2.6378e-18, 0, 1.41421, -2.6378e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97249e-21, 0, 0, 7.147e-23, 0, 2.71775e-22, 0, 2.63248e-18, 0, 0, 0
0.327359, 0, 7.43879e-18, 0, 1.41421, -7.43879e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40227e-20, 0, 0, 2.02715e-22, 0, 7.84392e-22, 0, 7.42378e-18, 0, 0, 0
0.335263, 0, 2.05305e-17, 0, 1.41421, -2.05305e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87008e-20, 0, 0, 5.62928e-22, 0, 2.21436e-21, 0, 2.0489e-17, 0, 0, 0
0.343166, 0, 5.54886e-17, 0, 1.41421, -5.54886e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04596e-19, 0, 0, 1.53147e-21, 0, 6.11889e-21, 0, 5.53764e-17, 0, 0, 0
0.351069, 0, 1.46945e-16, 0, 1.41421, -1.46945e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76982e-19, 0, 0, 4.08415e-21, 0, 1.65608e-20, 0, 1.46647e-16, 0, 0, 0
