   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_33.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.000418442, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00826687, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0161153, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0239637, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0318122, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0396606, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.047509, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0553574, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0632059, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0710543, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0789027, 0, 6.20237e-30, 0, 1.41421, -6.20237e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74385e-32, 0, 0, 7.82911e-35, 1.65694e-35, 0, 6.17484e-30, 0, 0
0.0867512, 0, 6.70248e-29, 0, 1.41421, -6.70248e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96499e-31, 0, 0, 8.4601e-34, 2.40295e-33, 0, 6.6725e-29, 0, 0
0.0945996, 0, 4.54587e-28, 0, 1.41421, -4.54587e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01093e-30, 0, 0, 5.73783e-33, 2.59316e-32, 0, 4.52545e-28, 0, 0
0.102448, 0, 2.46442e-27, 0, 1.41421, -2.46442e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09015e-29, 0, 0, 3.11056e-32, 1.77131e-31, 0, 2.45331e-27, 0, 0
0.110296, 0, 1.16369e-26, 0, 1.41421, -1.16369e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1476e-29, 0, 0, 1.47045e-31, 9.66426e-31, 0, 1.15843e-26, 0, 0
0.118145, 0, 4.98777e-26, 0, 1.41421, -4.98777e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20633e-28, 0, 0, 6.3171e-31, 4.58685e-30, 0, 4.96519e-26, 0, 0
0.125993, 0, 1.98604e-25, 0, 1.41421, -1.98604e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.78513e-28, 0, 0, 2.52339e-30, 1.97402e-29, 0, 1.97703e-25, 0, 0
0.133842, 0, 7.45314e-25, 0, 1.41421, -7.45314e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29683e-27, 0, 0, 9.50603e-30, 7.88694e-29, 0, 7.41929e-25, 0, 0
0.14169, 0, 2.66165e-24, 0, 1.41421, -2.66165e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17735e-26, 0, 0, 3.4094e-29, 2.96858e-28, 0, 2.64955e-24, 0, 0
0.149539, 0, 9.10738e-24, 0, 1.41421, -9.10738e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02853e-26, 0, 0, 1.17207e-28, 1.06298e-27, 0, 9.06591e-24, 0, 0
0.157387, 0, 3.00099e-23, 0, 1.41421, -3.00099e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32744e-25, 0, 0, 3.88152e-28, 3.64621e-27, 0, 2.98732e-23, 0, 0
0.165235, 0, 9.5599e-23, 0, 1.41421, -9.5599e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22865e-25, 0, 0, 1.24308e-27, 1.20429e-26, 0, 9.51629e-23, 0, 0
0.173084, 0, 2.95316e-22, 0, 1.41421, -2.95316e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30627e-24, 0, 0, 3.86164e-27, 3.84496e-26, 0, 2.93967e-22, 0, 0
0.180932, 0, 8.86841e-22, 0, 1.41421, -8.86841e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92275e-24, 0, 0, 1.16653e-26, 1.19037e-25, 0, 8.82787e-22, 0, 0
0.188781, 0, 2.59427e-21, 0, 1.41421, -2.59427e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14751e-23, 0, 0, 3.4337e-26, 3.5825e-25, 0, 2.5824e-21, 0, 0
0.196629, 0, 7.40514e-21, 0, 1.41421, -7.40514e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27548e-23, 0, 0, 9.86522e-26, 1.05028e-24, 0, 7.37124e-21, 0, 0
0.204478, 0, 2.06552e-20, 0, 1.41421, -2.06552e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.1363e-23, 0, 0, 2.77053e-25, 3.00458e-24, 0, 2.05606e-20, 0, 0
0.212326, 0, 5.63691e-20, 0, 1.41421, -5.63691e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49333e-22, 0, 0, 7.61503e-25, 8.39976e-24, 0, 5.61106e-20, 0, 0
0.220174, 0, 1.50669e-19, 0, 1.41421, -1.50669e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.66438e-22, 0, 0, 2.05066e-24, 2.29769e-23, 0, 1.49977e-19, 0, 0
0.228023, 0, 4.07489e-19, 0, 1.41421, -4.07489e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8024e-21, 0, 0, 5.60576e-24, 6.39641e-23, 0, 4.05617e-19, 0, 0
0.235871, 0, 1.04327e-18, 0, 1.41421, -1.04327e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61455e-21, 0, 0, 1.4469e-23, 1.67236e-22, 0, 1.03847e-18, 0, 0
0.24372, 0, 2.62379e-18, 0, 1.41421, -2.62379e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16054e-20, 0, 0, 3.66989e-23, 4.29301e-22, 0, 2.61172e-18, 0, 0
0.251568, 0, 6.4858e-18, 0, 1.41421, -6.4858e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86875e-20, 0, 0, 9.15244e-23, 1.08272e-21, 0, 6.45594e-18, 0, 0
0.259417, 0, 1.57656e-17, 0, 1.41421, -1.57656e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97331e-20, 0, 0, 2.24549e-22, 2.6844e-21, 0, 1.5693e-17, 0, 0
0.267265, 0, 3.77021e-17, 0, 1.41421, -3.77021e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66759e-19, 0, 0, 5.42219e-22, 6.54594e-21, 0, 3.75282e-17, 0, 0
0.275113, 0, 8.87346e-17, 0, 1.41421, -8.87346e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92477e-19, 0, 0, 1.28916e-21, 1.57069e-20, 0, 8.83251e-17, 0, 0
