   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_365.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00206534, 0, 1.60685e-14, 0, 1.41421, -1.60685e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48237e-17, 0, 0, 4.03199e-17, 0, 2.67898e-17, 0, 1.59566e-14, 0, 0, 0
0.00991783, 0, 2.51374e-14, 0, 1.41421, -2.51374e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.01149e-17, 0, 0, 6.42511e-17, 0, 4.31441e-17, 0, 2.49599e-14, 0, 0, 0
0.0177703, 0, 3.91444e-14, 0, 1.41421, -3.91444e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09173e-16, 0, 0, 1.01932e-16, 0, 6.91937e-17, 0, 3.88641e-14, 0, 0, 0
0.0256228, 0, 6.06797e-14, 0, 1.41421, -6.06797e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69218e-16, 0, 0, 1.61004e-16, 0, 1.10516e-16, 0, 6.02389e-14, 0, 0, 0
0.0334753, 0, 9.36385e-14, 0, 1.41421, -9.36385e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61103e-16, 0, 0, 2.53208e-16, 0, 1.75798e-16, 0, 9.29484e-14, 0, 0, 0
0.0413278, 0, 1.43853e-13, 0, 1.41421, -1.43853e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.01077e-16, 0, 0, 3.9651e-16, 0, 2.78516e-16, 0, 1.42777e-13, 0, 0, 0
0.0491803, 0, 2.20013e-13, 0, 1.41421, -2.20013e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.13352e-16, 0, 0, 6.18293e-16, 0, 4.3949e-16, 0, 2.18342e-13, 0, 0, 0
0.0570328, 0, 3.35009e-13, 0, 1.41421, -3.35009e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33832e-16, 0, 0, 9.60102e-16, 0, 6.9076e-16, 0, 3.32424e-13, 0, 0, 0
0.0648853, 0, 5.07873e-13, 0, 1.41421, -5.07873e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41552e-15, 0, 0, 1.48473e-15, 0, 1.08147e-15, 0, 5.03891e-13, 0, 0, 0
0.0727378, 0, 7.66576e-13, 0, 1.41421, -7.66576e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13632e-15, 0, 0, 2.28671e-15, 0, 1.68669e-15, 0, 7.60466e-13, 0, 0, 0
0.0805903, 0, 1.15203e-12, 0, 1.41421, -1.15203e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21013e-15, 0, 0, 3.50777e-15, 0, 2.62052e-15, 0, 1.1427e-12, 0, 0, 0
0.0884427, 0, 1.72384e-12, 0, 1.41421, -1.72384e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80287e-15, 0, 0, 5.35964e-15, 0, 4.05593e-15, 0, 1.70962e-12, 0, 0, 0
