   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_380.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00885286, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000985558, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00688175, 0, 7.21183e-22, 0, 1.41421, -7.21183e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55003e-22, 0, 5.6618e-22, 0, 0, 0
0.0147491, 0, 1.68506e-21, 0, 1.41421, -1.68506e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.68282e-22, 0, 1.31677e-21, 0, 0, 0
0.0226164, 0, 3.87332e-21, 0, 1.41421, -3.87332e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60146e-22, 0, 3.01317e-21, 0, 0, 0
0.0304837, 0, 8.76705e-21, 0, 1.41421, -8.76705e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97689e-21, 0, 6.79016e-21, 0, 0, 0
0.038351, 0, 1.95559e-20, 0, 1.41421, -1.95559e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.47521e-21, 0, 1.50806e-20, 0, 0, 0
0.0462183, 0, 4.30192e-20, 0, 1.41421, -4.30192e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.98665e-21, 0, 3.30325e-20, 0, 0, 0
0.0540856, 0, 9.33861e-20, 0, 1.41421, -9.33861e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19843e-20, 0, 7.14018e-20, 0, 0, 0
0.0619529, 0, 2.00162e-19, 0, 1.41421, -2.00162e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77715e-20, 0, 1.5239e-19, 0, 0, 0
0.0698202, 0, 4.23818e-19, 0, 1.41421, -4.23818e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02527e-19, 0, 3.21291e-19, 0, 0, 0
0.0776875, 0, 8.86895e-19, 0, 1.41421, -8.86895e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1744e-19, 0, 6.69455e-19, 0, 0, 0
0.0855548, 0, 1.83501e-18, 0, 1.41421, -1.83501e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.55905e-19, 0, 1.3791e-18, 0, 0, 0
0.0934221, 0, 3.75525e-18, 0, 1.41421, -3.75525e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.45424e-19, 0, 2.80982e-18, 0, 0, 0
0.101289, 0, 7.60361e-18, 0, 1.41421, -7.60361e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93982e-18, 0, 5.6638e-18, 0, 0, 0
0.109157, 0, 1.52376e-17, 0, 1.41421, -1.52376e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93937e-18, 0, 1.12982e-17, 0, 0, 0
0.117024, 0, 3.02308e-17, 0, 1.41421, -3.02308e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.92072e-18, 0, 2.23101e-17, 0, 0, 0
0.124891, 0, 5.93923e-17, 0, 1.41421, -5.93923e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57724e-17, 0, 4.362e-17, 0, 0, 0
0.132759, 0, 1.15574e-16, 0, 1.41421, -1.15574e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11129e-17, 0, 8.44608e-17, 0, 0, 0
0.140626, 0, 2.22807e-16, 0, 1.41421, -2.22807e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.08137e-17, 0, 1.61993e-16, 0, 0, 0
0.148493, 0, 4.25621e-16, 0, 1.41421, -4.25621e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17808e-16, 0, 3.07812e-16, 0, 0, 0
0.156361, 0, 8.05791e-16, 0, 1.41421, -8.05791e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26234e-16, 0, 5.79557e-16, 0, 0, 0
0.164228, 0, 1.51216e-15, 0, 1.41421, -1.51216e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30756e-16, 0, 1.08141e-15, 0, 0, 0
0.172095, 0, 2.81332e-15, 0, 1.41421, -2.81332e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.13344e-16, 0, 1.99997e-15, 0, 0, 0
0.179962, 0, 5.18973e-15, 0, 1.41421, -5.18973e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52321e-15, 0, 3.66652e-15, 0, 0, 0
0.18783, 0, 9.49371e-15, 0, 1.41421, -9.49371e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82984e-15, 0, 6.66387e-15, 0, 0, 0
0.195697, 0, 1.72245e-14, 0, 1.41421, -1.72245e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.21609e-15, 0, 1.20085e-14, 0, 0, 0
0.203564, 0, 3.09979e-14, 0, 1.41421, -3.09979e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.54056e-15, 0, 2.14574e-14, 0, 0, 0
0.211432, 0, 5.53402e-14, 0, 1.41421, -5.53402e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73185e-14, 0, 3.80218e-14, 0, 0, 0
0.219299, 0, 9.80211e-14, 0, 1.41421, -9.80211e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12039e-14, 0, 6.68173e-14, 0, 0, 0
0.227166, 0, 1.72272e-13, 0, 1.41421, -1.72272e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58122e-14, 0, 1.1646e-13, 0, 0, 0
0.235034, 0, 3.00452e-13, 0, 1.41421, -3.00452e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.91126e-14, 0, 2.01339e-13, 0, 0, 0
0.242901, 0, 5.2005e-13, 0, 1.41421, -5.2005e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74771e-13, 0, 3.45279e-13, 0, 0, 0
0.250768, 0, 8.93473e-13, 0, 1.41421, -8.93473e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0608e-13, 0, 5.87393e-13, 0, 0, 0
0.258636, 0, 1.52379e-12, 0, 1.41421, -1.52379e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.32439e-13, 0, 9.91348e-13, 0, 0, 0
0.266503, 0, 2.58332e-12, 0, 1.41421, -2.58332e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.22194e-13, 0, 1.66113e-12, 0, 0, 0
0.27437, 0, 4.34252e-12, 0, 1.41421, -4.34252e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58321e-12, 0, 2.75931e-12, 0, 0, 0
0.282237, 0, 7.24905e-12, 0, 1.41421, -7.24905e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70115e-12, 0, 4.5479e-12, 0, 0, 0
0.290105, 0, 1.20187e-11, 0, 1.41421, -1.20187e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58076e-12, 0, 7.43793e-12, 0, 0, 0
0.297972, 0, 1.97941e-11, 0, 1.41421, -1.97941e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.72313e-12, 0, 1.2071e-11, 0, 0, 0
0.305839, 0, 3.23885e-11, 5.60519e-44, 1.41421, -3.23885e-11, 5.60519e-44, 0, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 1.29483e-11, 5.60519e-44, 1.94402e-11, 5.60519e-44, 5.60519e-44, 5.60519e-44
0.313707, 0, 5.26629e-11, 1.01874e-42, 1.41421, -5.26629e-11, 1.01874e-42, 0, 1.01874e-42, 1.01874e-42, 1.01874e-42, 1.01874e-42, 1.01874e-42, 1.01874e-42, 1.01874e-42, 1.01874e-42, 1.01874e-42, 1.01874e-42, 1.01874e-42, 1.01874e-42, 2.15929e-11, 1.01874e-42, 3.107e-11, 1.01874e-42, 1.01874e-42, 1.01874e-42
0.321574, 0, 8.51079e-11, 1.55082e-41, 1.41421, -8.51079e-11, 1.55082e-41, 0, 1.55082e-41, 1.55082e-41, 1.55082e-41, 1.55082e-41, 1.55082e-41, 1.55082e-41, 1.55082e-41, 1.55082e-41, 1.55082e-41, 1.55082e-41, 1.55082e-41, 1.55082e-41, 3.58263e-11, 1.55082e-41, 4.92816e-11, 1.55082e-41, 1.55082e-41, 1.55082e-41
0.329441, 0, 1.36738e-10, 2.06825e-40, 1.41421, -1.36738e-10, 2.06825e-40, 0, 2.06825e-40, 2.06825e-40, 2.06825e-40, 2.06825e-40, 2.06825e-40, 2.06825e-40, 2.06825e-40, 2.06825e-40, 2.06825e-40, 2.06825e-40, 2.06825e-40, 2.06825e-40, 5.91588e-11, 2.06825e-40, 7.75796e-11, 2.06825e-40, 2.06825e-40, 2.06825e-40
