   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_441.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00598812, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00187629, 0, 5.37167e-17, 0, 1.41421, -5.37167e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.11942e-21, 0, 4.98215e-18, 0, 4.87255e-17, 0, 0, 0
0.0097407, 0, 9.55041e-17, 0, 1.41421, -9.55041e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64745e-20, 0, 9.0298e-18, 0, 8.64578e-17, 0, 0, 0
0.0176051, 0, 1.68648e-16, 0, 1.41421, -1.68648e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95605e-20, 0, 1.62604e-17, 0, 1.52358e-16, 0, 0, 0
0.0254695, 0, 2.9583e-16, 0, 1.41421, -2.9583e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26889e-20, 0, 2.90965e-17, 0, 2.66681e-16, 0, 0, 0
0.0333339, 0, 5.1553e-16, 0, 1.41421, -5.1553e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33009e-20, 0, 5.17442e-17, 0, 4.63693e-16, 0, 0, 0
0.0411983, 0, 8.92611e-16, 0, 1.41421, -8.92611e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64158e-19, 0, 9.14635e-17, 0, 8.00983e-16, 0, 0, 0
0.0490627, 0, 1.53572e-15, 0, 1.41421, -1.53572e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87006e-19, 0, 1.60714e-16, 0, 1.37472e-15, 0, 0, 0
0.0569272, 0, 2.62569e-15, 0, 1.41421, -2.62569e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98672e-19, 0, 2.80751e-16, 0, 2.34444e-15, 0, 0, 0
0.0647916, 0, 4.46163e-15, 0, 1.41421, -4.46163e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.61143e-19, 0, 4.87641e-16, 0, 3.97313e-15, 0, 0, 0
0.072656, 0, 7.5353e-15, 0, 1.41421, -7.5353e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47811e-18, 0, 8.4223e-16, 0, 6.69159e-15, 0, 0, 0
0.0805204, 0, 1.26501e-14, 0, 1.41421, -1.26501e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.522e-18, 0, 1.4466e-15, 0, 1.1201e-14, 0, 0, 0
0.0883848, 0, 2.1111e-14, 0, 1.41421, -2.1111e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2778e-18, 0, 2.47112e-15, 0, 1.86356e-14, 0, 0, 0
0.0962492, 0, 3.50248e-14, 0, 1.41421, -3.50248e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21406e-18, 0, 4.19858e-15, 0, 3.0819e-14, 0, 0, 0
0.104114, 0, 5.77724e-14, 0, 1.41421, -5.77724e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20963e-17, 0, 7.09584e-15, 0, 5.06644e-14, 0, 0, 0
0.111978, 0, 9.47477e-14, 0, 1.41421, -9.47477e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01682e-17, 0, 1.19297e-14, 0, 8.27979e-14, 0, 0, 0
0.119842, 0, 1.54507e-13, 0, 1.41421, -1.54507e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34396e-17, 0, 1.99529e-14, 0, 1.34521e-13, 0, 0, 0
0.127707, 0, 2.50544e-13, 0, 1.41421, -2.50544e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.51393e-17, 0, 3.32021e-14, 0, 2.17286e-13, 0, 0, 0
0.135571, 0, 4.04013e-13, 0, 1.41421, -4.04013e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.04274e-17, 0, 5.49709e-14, 0, 3.48952e-13, 0, 0, 0
0.143436, 0, 6.47905e-13, 0, 1.41421, -6.47905e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47506e-16, 0, 9.05655e-14, 0, 5.57192e-13, 0, 0, 0
0.1513, 0, 1.03336e-12, 0, 1.41421, -1.03336e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39348e-16, 0, 1.48481e-13, 0, 8.84642e-13, 0, 0, 0
0.159164, 0, 1.63923e-12, 0, 1.41421, -1.63923e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8636e-16, 0, 2.4226e-13, 0, 1.39659e-12, 0, 0, 0
0.167029, 0, 2.58641e-12, 0, 1.41421, -2.58641e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.20495e-16, 0, 3.93392e-13, 0, 2.19239e-12, 0, 0, 0
0.174893, 0, 4.05923e-12, 0, 1.41421, -4.05923e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.91582e-16, 0, 6.3582e-13, 0, 3.42242e-12, 0, 0, 0
0.182758, 0, 6.33728e-12, 0, 1.41421, -6.33728e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57689e-15, 0, 1.02291e-12, 0, 5.31279e-12, 0, 0, 0
0.190622, 0, 9.84233e-12, 0, 1.41421, -9.84233e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49579e-15, 0, 1.63822e-12, 0, 8.20161e-12, 0, 0, 0
0.198487, 0, 1.52073e-11, 0, 1.41421, -1.52073e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.932e-15, 0, 2.61203e-12, 0, 1.25914e-11, 0, 0, 0
0.206351, 0, 2.33772e-11, 0, 1.41421, -2.33772e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.16709e-15, 0, 4.14657e-12, 0, 1.92245e-11, 0, 0, 0
0.214215, 0, 3.57556e-11, 0, 1.41421, -3.57556e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.63125e-15, 0, 6.55469e-12, 0, 2.91913e-11, 0, 0, 0
0.22208, 0, 5.44173e-11, 0, 1.41421, -5.44173e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49797e-14, 0, 1.03184e-11, 0, 4.40839e-11, 0, 0, 0
0.229944, 0, 8.24138e-11, 0, 1.41421, -8.24138e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32077e-14, 0, 1.61779e-11, 0, 6.62126e-11, 0, 0, 0
0.237809, 0, 1.24213e-10, 0, 1.41421, -1.24213e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58234e-14, 0, 2.52658e-11, 0, 9.89114e-11, 0, 0, 0
0.245673, 0, 1.86327e-10, 0, 1.41421, -1.86327e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.51085e-14, 0, 3.93101e-11, 0, 1.46962e-10, 0, 0, 0
0.253537, 0, 2.78207e-10, 0, 1.41421, -2.78207e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.45094e-14, 0, 6.09394e-11, 0, 2.17183e-10, 0, 0, 0
0.261402, 0, 4.13511e-10, 1.79366e-43, 1.41421, -4.13511e-10, 1.79366e-43, 0, 1.79366e-43, 1.79366e-43, 1.79366e-43, 1.79366e-43, 1.79366e-43, 1.79366e-43, 1.79366e-43, 1.79366e-43, 1.79366e-43, 1.79366e-43, 1.79366e-43, 1.29227e-13, 1.79366e-43, 9.41412e-11, 1.79366e-43, 3.19241e-10, 1.79366e-43, 1.79366e-43, 1.79366e-43
0.269266, 0, 6.11901e-10, 3.024e-42, 1.41421, -6.11901e-10, 3.024e-42, 0, 3.024e-42, 3.024e-42, 3.024e-42, 3.024e-42, 3.024e-42, 3.024e-42, 3.024e-42, 3.024e-42, 3.024e-42, 3.024e-42, 3.024e-42, 1.97104e-13, 3.024e-42, 1.4495e-10, 3.024e-42, 4.66754e-10, 3.024e-42, 3.024e-42, 3.024e-42
0.277131, 0, 9.01582e-10, 4.32231e-41, 1.41421, -9.01582e-10, 4.32231e-41, 0, 4.32231e-41, 4.32231e-41, 4.32231e-41, 4.32231e-41, 4.32231e-41, 4.32231e-41, 4.32231e-41, 4.32231e-41, 4.32231e-41, 4.32231e-41, 4.32231e-41, 2.99968e-13, 4.32231e-41, 2.22475e-10, 4.32231e-41, 6.78807e-10, 4.32231e-41, 4.32231e-41, 4.32231e-41
0.284995, 0, 1.32288e-09, 5.48125e-40, 1.41421, -1.32288e-09, 5.48125e-40, 0, 5.48125e-40, 5.48125e-40, 5.48125e-40, 5.48125e-40, 5.48125e-40, 5.48125e-40, 5.48125e-40, 5.48125e-40, 5.48125e-40, 5.48125e-40, 5.48125e-40, 4.55657e-13, 5.48125e-40, 3.40447e-10, 5.48125e-40, 9.81976e-10, 5.48125e-40, 5.48125e-40, 5.48125e-40
0.292859, 0, 1.93326e-09, 6.21888e-39, 1.41421, -1.93326e-09, 6.21888e-39, 0, 6.21888e-39, 6.21888e-39, 6.21888e-39, 6.21888e-39, 6.21888e-39, 6.21888e-39, 6.21888e-39, 6.21888e-39, 6.21888e-39, 6.21888e-39, 6.21888e-39, 6.91081e-13, 6.21888e-39, 5.19506e-10, 6.21888e-39, 1.41306e-09, 6.21888e-39, 6.21888e-39, 6.21888e-39
0.300724, 0, 2.81441e-09, 6.37386e-38, 1.41421, -2.81441e-09, 6.37386e-38, 0, 6.37386e-38, 6.37386e-38, 6.37386e-38, 6.37386e-38, 6.37386e-38, 6.37386e-38, 6.37386e-38, 6.37386e-38, 6.37386e-38, 6.37386e-38, 6.37386e-38, 1.04688e-12, 6.37386e-38, 7.90648e-10, 6.37386e-38, 2.02272e-09, 6.37386e-38, 6.37386e-38, 6.37386e-38
0.308588, 0, 4.08218e-09, 5.92711e-37, 1.41421, -4.08218e-09, 5.92711e-37, 0, 5.92711e-37, 5.92711e-37, 5.92711e-37, 5.92711e-37, 5.92711e-37, 5.92711e-37, 5.92711e-37, 5.92711e-37, 5.92711e-37, 5.92711e-37, 5.92711e-37, 1.58443e-12, 5.92711e-37, 1.20032e-09, 5.92711e-37, 2.88028e-09, 5.92711e-37, 5.92711e-37, 5.92711e-37
0.316453, 0, 5.9005e-09, 5.03258e-36, 1.41421, -5.9005e-09, 5.03258e-36, 0, 5.03258e-36, 5.03258e-36, 5.03258e-36, 5.03258e-36, 5.03258e-36, 5.03258e-36, 5.03258e-36, 5.03258e-36, 5.03258e-36, 5.03258e-36, 5.03258e-36, 2.39657e-12, 5.03258e-36, 1.81803e-09, 5.03258e-36, 4.08007e-09, 5.03258e-36, 5.03258e-36, 5.03258e-36
0.324317, 0, 8.50099e-09, 3.91845e-35, 1.41421, -8.50099e-09, 3.91845e-35, 0, 3.91845e-35, 3.91845e-35, 3.91845e-35, 3.91845e-35, 3.91845e-35, 3.91845e-35, 3.91845e-35, 3.91845e-35, 3.91845e-35, 3.91845e-35, 3.91845e-35, 3.62375e-12, 3.91845e-35, 2.74764e-09, 3.91845e-35, 5.74973e-09, 3.91845e-35, 3.91845e-35, 3.91845e-35
0.332181, 0, 1.22104e-08, 2.81043e-34, 1.41421, -1.22104e-08, 2.81043e-34, 0, 2.81043e-34, 2.81043e-34, 2.81043e-34, 2.81043e-34, 2.81043e-34, 2.81043e-34, 2.81043e-34, 2.81043e-34, 2.81043e-34, 2.81043e-34, 2.81043e-34, 5.47858e-12, 2.81043e-34, 4.14405e-09, 2.81043e-34, 8.06089e-09, 2.81043e-34, 2.81043e-34, 2.81043e-34
0.340046, 0, 1.74894e-08, 1.87017e-33, 1.41421, -1.74894e-08, 1.87017e-33, 0, 1.87017e-33, 1.87017e-33, 1.87017e-33, 1.87017e-33, 1.87017e-33, 1.87017e-33, 1.87017e-33, 1.87017e-33, 1.87017e-33, 1.87017e-33, 1.87017e-33, 8.28293e-12, 1.87017e-33, 6.23801e-09, 1.87017e-33, 1.12431e-08, 1.87017e-33, 1.87017e-33, 1.87017e-33
0.34791, 0, 2.49866e-08, 1.10967e-32, 1.41421, -2.49866e-08, 1.10967e-32, 0, 1.10967e-32, 1.10967e-32, 1.10967e-32, 1.10967e-32, 1.10967e-32, 1.10967e-32, 1.10967e-32, 1.10967e-32, 1.10967e-32, 1.10967e-32, 1.10967e-32, 1.25241e-11, 1.10967e-32, 9.37248e-09, 1.10967e-32, 1.56016e-08, 1.10967e-32, 1.10967e-32, 1.10967e-32
0.355775, 0, 3.56153e-08, 6.63763e-32, 1.41421, -3.56153e-08, 6.63763e-32, 0, 6.63763e-32, 6.63763e-32, 6.63763e-32, 6.63763e-32, 6.63763e-32, 6.63763e-32, 6.63763e-32, 6.63763e-32, 6.63763e-32, 6.63763e-32, 6.63763e-32, 1.89393e-11, 6.63763e-32, 1.40563e-08, 6.63763e-32, 2.154e-08, 6.63763e-32, 6.63763e-32, 6.63763e-32
