   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00191967, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00593506, 0, 3.3059e-18, 0, 1.41421, -3.3059e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94654e-20, 0, 0, 8.23911e-23, 0, 3.33198e-21, 0, 3.28302e-18, 0, 0
0.0137898, 0, 6.45258e-18, 0, 1.41421, -6.45258e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79926e-20, 0, 0, 1.63073e-22, 0, 6.63002e-21, 0, 6.4078e-18, 0, 0
0.0216445, 0, 1.24783e-17, 0, 1.41421, -1.24783e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.34702e-20, 0, 0, 3.19844e-22, 0, 1.30713e-20, 0, 1.23914e-17, 0, 0
0.0294993, 0, 2.39148e-17, 0, 1.41421, -2.39148e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40804e-19, 0, 0, 6.2182e-22, 0, 2.55419e-20, 0, 2.37479e-17, 0, 0
0.037354, 0, 4.54331e-17, 0, 1.41421, -4.54331e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67492e-19, 0, 0, 1.19858e-21, 0, 4.94809e-20, 0, 4.5115e-17, 0, 0
0.0452087, 0, 8.55783e-17, 0, 1.41421, -8.55783e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03839e-19, 0, 0, 2.2911e-21, 0, 9.5058e-20, 0, 8.49771e-17, 0, 0
0.0530635, 0, 1.62074e-16, 0, 1.41421, -1.62074e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.54175e-19, 0, 0, 4.4214e-21, 0, 1.84636e-19, 0, 1.60931e-16, 0, 0
0.0609182, 0, 2.99845e-16, 0, 1.41421, -2.99845e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76524e-18, 0, 0, 8.30283e-21, 0, 3.48482e-19, 0, 2.97723e-16, 0, 0
0.068773, 0, 5.50379e-16, 0, 1.41421, -5.50379e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24009e-18, 0, 0, 1.5473e-20, 0, 6.52778e-19, 0, 5.46471e-16, 0, 0
0.0766277, 0, 1.00247e-15, 0, 1.41421, -1.00247e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90137e-18, 0, 0, 2.86201e-20, 0, 1.21382e-18, 0, 9.95321e-16, 0, 0
0.0844824, 0, 1.81206e-15, 0, 1.41421, -1.81206e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06671e-17, 0, 0, 5.255e-20, 0, 2.24086e-18, 0, 1.7991e-15, 0, 0
0.0923372, 0, 3.25104e-15, 0, 1.41421, -3.25104e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91374e-17, 0, 0, 9.57933e-20, 0, 4.10787e-18, 0, 3.2277e-15, 0, 0
0.100192, 0, 5.78988e-15, 0, 1.41421, -5.78988e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40814e-17, 0, 0, 1.73385e-19, 0, 7.47872e-18, 0, 5.74815e-15, 0, 0
0.108047, 0, 1.02366e-14, 0, 1.41421, -1.02366e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.02543e-17, 0, 0, 3.11637e-19, 0, 1.35239e-17, 0, 1.01625e-14, 0, 0
0.115901, 0, 1.79688e-14, 0, 1.41421, -1.79688e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05765e-16, 0, 0, 5.56279e-19, 0, 2.42943e-17, 0, 1.78382e-14, 0, 0
0.123756, 0, 3.13186e-14, 0, 1.41421, -3.13186e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84335e-16, 0, 0, 9.86244e-19, 0, 4.33594e-17, 0, 3.10899e-14, 0, 0
0.131611, 0, 5.42045e-14, 0, 1.41421, -5.42045e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19026e-16, 0, 0, 1.73685e-18, 0, 7.68937e-17, 0, 5.38068e-14, 0, 0
0.139466, 0, 9.31646e-14, 0, 1.41421, -9.31646e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48312e-16, 0, 0, 3.03859e-18, 0, 1.35512e-16, 0, 9.24777e-14, 0, 0
0.14732, 0, 1.5903e-13, 0, 1.41421, -1.5903e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.35925e-16, 0, 0, 5.28146e-18, 0, 2.37348e-16, 0, 1.57852e-13, 0, 0
0.155175, 0, 2.69617e-13, 0, 1.41421, -2.69617e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5867e-15, 0, 0, 9.12109e-18, 0, 4.13203e-16, 0, 2.67608e-13, 0, 0
0.16303, 0, 4.54025e-13, 0, 1.41421, -4.54025e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67186e-15, 0, 0, 1.56525e-17, 0, 7.15071e-16, 0, 4.50623e-13, 0, 0
0.170885, 0, 7.59452e-13, 0, 1.41421, -7.59452e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46911e-15, 0, 0, 2.66935e-17, 0, 1.23022e-15, 0, 7.53726e-13, 0, 0
0.178739, 0, 1.26191e-12, 0, 1.41421, -1.26191e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.42574e-15, 0, 0, 4.52427e-17, 0, 2.10429e-15, 0, 1.25234e-12, 0, 0
0.186594, 0, 2.08299e-12, 0, 1.41421, -2.08299e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22572e-14, 0, 0, 7.62171e-17, 0, 3.57889e-15, 0, 2.06708e-12, 0, 0
0.194449, 0, 3.41581e-12, 0, 1.41421, -3.41581e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00998e-14, 0, 0, 1.27632e-16, 0, 6.05322e-15, 0, 3.38953e-12, 0, 0
0.202303, 0, 5.56501e-12, 0, 1.41421, -5.56501e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27464e-14, 0, 0, 2.12479e-16, 0, 1.01821e-14, 0, 5.52187e-12, 0, 0
0.210158, 0, 9.00779e-12, 0, 1.41421, -9.00779e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.30058e-14, 0, 0, 3.51698e-16, 0, 1.70351e-14, 0, 8.9374e-12, 0, 0
0.218013, 0, 1.44866e-11, 0, 1.41421, -1.44866e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.52485e-14, 0, 0, 5.78861e-16, 0, 2.83495e-14, 0, 1.43724e-11, 0, 0
0.225868, 0, 2.31487e-11, 0, 1.41421, -2.31487e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3623e-13, 0, 0, 9.47544e-16, 0, 4.6934e-14, 0, 2.29646e-11, 0, 0
0.233722, 0, 3.67545e-11, 0, 1.41421, -3.67545e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1632e-13, 0, 0, 1.5428e-15, 0, 7.73064e-14, 0, 3.64593e-11, 0, 0
0.241577, 0, 5.79869e-11, 0, 1.41421, -5.79869e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41328e-13, 0, 0, 2.49907e-15, 0, 1.26701e-13, 0, 5.75164e-11, 0, 0
0.249432, 0, 9.09075e-11, 0, 1.41421, -9.09075e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.35204e-13, 0, 0, 4.02801e-15, 0, 2.06648e-13, 0, 9.01616e-11, 0, 0
0.257287, 0, 1.41622e-10, 0, 1.41421, -1.41622e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.33976e-13, 0, 0, 6.46162e-15, 0, 3.35453e-13, 0, 1.40446e-10, 0, 0
0.265141, 0, 2.19248e-10, 0, 1.41421, -2.19248e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29149e-12, 0, 0, 1.0319e-14, 0, 5.42052e-13, 0, 2.17404e-10, 0, 0
0.272996, 0, 3.37305e-10, 0, 1.41421, -3.37305e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98769e-12, 0, 0, 1.64094e-14, 0, 8.72019e-13, 0, 3.34429e-10, 0, 0
0.280851, 0, 5.15712e-10, 7.9874e-44, 1.41421, -5.15712e-10, 7.9874e-44, 0, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 3.04053e-12, 7.9874e-44, 7.9874e-44, 2.5992e-14, 7.9874e-44, 1.39689e-12, 7.9874e-44, 5.11248e-10, 7.9874e-44, 7.9874e-44
0.288706, 0, 7.83605e-10, 1.43493e-42, 1.41421, -7.83605e-10, 1.43493e-42, 0, 1.43493e-42, 1.43493e-42, 1.43493e-42, 1.43493e-42, 1.43493e-42, 1.43493e-42, 1.43493e-42, 1.43493e-42, 1.43493e-42, 1.43493e-42, 1.43493e-42, 4.62283e-12, 1.43493e-42, 1.43493e-42, 4.10223e-14, 1.43493e-42, 2.22855e-12, 1.43493e-42, 7.76713e-10, 1.43493e-42, 1.43493e-42
0.29656, 0, 1.18333e-09, 2.12171e-41, 1.41421, -1.18333e-09, 2.12171e-41, 0, 2.12171e-41, 2.12171e-41, 2.12171e-41, 2.12171e-41, 2.12171e-41, 2.12171e-41, 2.12171e-41, 2.12171e-41, 2.12171e-41, 2.12171e-41, 2.12171e-41, 6.98632e-12, 2.12171e-41, 2.12171e-41, 6.4534e-14, 2.12171e-41, 3.5416e-12, 2.12171e-41, 1.17274e-09, 2.12171e-41, 2.12171e-41
0.304415, 0, 1.77601e-09, 2.86196e-40, 1.41421, -1.77601e-09, 2.86196e-40, 0, 2.86196e-40, 2.86196e-40, 2.86196e-40, 2.86196e-40, 2.86196e-40, 2.86196e-40, 2.86196e-40, 2.86196e-40, 2.86196e-40, 2.86196e-40, 2.86196e-40, 1.04953e-11, 2.86196e-40, 2.86196e-40, 1.0123e-13, 2.86196e-40, 5.60761e-12, 2.86196e-40, 1.75981e-09, 2.86196e-40, 2.86196e-40
0.31227, 0, 2.64928e-09, 3.46297e-39, 1.41421, -2.64928e-09, 3.46297e-39, 0, 3.46297e-39, 3.46297e-39, 3.46297e-39, 3.46297e-39, 3.46297e-39, 3.46297e-39, 3.46297e-39, 3.46297e-39, 3.46297e-39, 3.46297e-39, 3.46297e-39, 1.56736e-11, 3.46297e-39, 3.46297e-39, 1.58399e-13, 3.46297e-39, 8.84818e-12, 3.46297e-39, 2.6246e-09, 3.46297e-39, 3.46297e-39
0.320125, 0, 3.92793e-09, 3.77601e-38, 1.41421, -3.92793e-09, 3.77601e-38, 0, 3.77601e-38, 3.77601e-38, 3.77601e-38, 3.77601e-38, 3.77601e-38, 3.77601e-38, 3.77601e-38, 3.77601e-38, 3.77601e-38, 3.77601e-38, 3.77601e-38, 2.32702e-11, 3.77601e-38, 3.77601e-38, 2.47343e-13, 3.77601e-38, 1.39164e-11, 3.77601e-38, 3.8905e-09, 3.77601e-38, 3.77601e-38
0.327979, 0, 5.78854e-09, 3.72573e-37, 1.41421, -5.78854e-09, 3.72573e-37, 0, 3.72573e-37, 3.72573e-37, 3.72573e-37, 3.72573e-37, 3.72573e-37, 3.72573e-37, 3.72573e-37, 3.72573e-37, 3.72573e-37, 3.72573e-37, 3.72573e-37, 3.43493e-11, 3.72573e-37, 3.72573e-37, 3.85594e-13, 3.72573e-37, 2.1822e-11, 3.72573e-37, 5.73198e-09, 3.72573e-37, 3.72573e-37
0.335834, 0, 8.47921e-09, 3.3438e-36, 1.41421, -8.47921e-09, 3.3438e-36, 0, 3.3438e-36, 3.3438e-36, 3.3438e-36, 3.3438e-36, 3.3438e-36, 3.3438e-36, 3.3438e-36, 3.3438e-36, 3.3438e-36, 3.3438e-36, 3.3438e-36, 5.04144e-11, 3.3438e-36, 3.3438e-36, 6.00365e-13, 3.3438e-36, 3.41243e-11, 3.3438e-36, 8.39407e-09, 3.3438e-36, 3.3438e-36
0.343689, 0, 1.23463e-08, 2.74438e-35, 1.41421, -1.23463e-08, 2.74438e-35, 0, 2.74438e-35, 2.74438e-35, 2.74438e-35, 2.74438e-35, 2.74438e-35, 2.74438e-35, 2.74438e-35, 2.74438e-35, 2.74438e-35, 2.74438e-35, 2.74438e-35, 7.35772e-11, 2.74438e-35, 2.74438e-35, 9.33947e-13, 2.74438e-35, 5.32269e-11, 2.74438e-35, 1.22186e-08, 2.74438e-35, 2.74438e-35
0.351543, 0, 1.78704e-08, 2.0698e-34, 1.41421, -1.78704e-08, 2.0698e-34, 0, 2.0698e-34, 2.0698e-34, 2.0698e-34, 2.0698e-34, 2.0698e-34, 2.0698e-34, 2.0698e-34, 2.0698e-34, 2.0698e-34, 2.0698e-34, 2.0698e-34, 1.06788e-10, 2.0698e-34, 2.0698e-34, 1.45211e-12, 2.0698e-34, 8.28313e-11, 2.0698e-34, 1.76793e-08, 2.0698e-34, 2.0698e-34
0.359398, 0, 2.57133e-08, 1.44093e-33, 1.41421, -2.57133e-08, 1.44093e-33, 0, 1.44093e-33, 1.44093e-33, 1.44093e-33, 1.44093e-33, 1.44093e-33, 1.44093e-33, 1.44093e-33, 1.44093e-33, 1.44093e-33, 1.44093e-33, 1.44093e-33, 1.54148e-10, 1.44093e-33, 1.44093e-33, 2.2572e-12, 1.44093e-33, 1.2863e-10, 1.44093e-33, 2.54283e-08, 1.44093e-33, 1.44093e-33
0.367253, 0, 3.67814e-08, 9.77661e-33, 1.41421, -3.67814e-08, 9.77661e-33, 0, 9.77661e-33, 9.77661e-33, 9.77661e-33, 9.77661e-33, 9.77661e-33, 9.77661e-33, 9.77661e-33, 9.77661e-33, 9.77661e-33, 9.77661e-33, 9.77661e-33, 2.21323e-10, 9.77661e-33, 9.77661e-33, 3.50855e-12, 9.77661e-33, 1.99367e-10, 9.77661e-33, 3.63572e-08, 9.77661e-33, 9.77661e-33
0.375108, 0, 5.23076e-08, 6.40806e-32, 1.41421, -5.23076e-08, 6.40806e-32, 0, 6.40806e-32, 6.40806e-32, 6.40806e-32, 6.40806e-32, 6.40806e-32, 6.40806e-32, 6.40806e-32, 6.40806e-32, 6.40806e-32, 6.40806e-32, 6.40806e-32, 3.16111e-10, 6.40806e-32, 6.40806e-32, 5.45424e-12, 6.40806e-32, 3.08455e-10, 6.40806e-32, 5.16775e-08, 6.40806e-32, 6.40806e-32
0.382962, 0, 7.39585e-08, 3.94773e-31, 1.41421, -7.39585e-08, 3.94773e-31, 0, 3.94773e-31, 3.94773e-31, 3.94773e-31, 3.94773e-31, 3.94773e-31, 3.94773e-31, 3.94773e-31, 3.94773e-31, 3.94773e-31, 3.94773e-31, 3.94773e-31, 4.49186e-10, 3.94773e-31, 3.94773e-31, 8.4803e-12, 3.94773e-31, 4.76437e-10, 3.94773e-31, 7.30244e-08, 3.94773e-31, 3.94773e-31
0.390817, 0, 1.03973e-07, 2.27453e-30, 1.41421, -1.03973e-07, 2.27453e-30, 0, 2.27453e-30, 2.27453e-30, 2.27453e-30, 2.27453e-30, 2.27453e-30, 2.27453e-30, 2.27453e-30, 2.27453e-30, 2.27453e-30, 2.27453e-30, 2.27453e-30, 6.35095e-10, 2.27453e-30, 2.27453e-30, 1.31868e-11, 2.27453e-30, 7.34718e-10, 2.27453e-30, 1.0259e-07, 2.27453e-30, 2.27453e-30
0.398672, 0, 1.4534e-07, 1.22644e-29, 1.41421, -1.4534e-07, 1.22644e-29, 0, 1.22644e-29, 1.22644e-29, 1.22644e-29, 1.22644e-29, 1.22644e-29, 1.22644e-29, 1.22644e-29, 1.22644e-29, 1.22644e-29, 1.22644e-29, 1.22644e-29, 8.93576e-10, 1.22644e-29, 1.22644e-29, 2.05049e-11, 1.22644e-29, 1.13121e-09, 1.22644e-29, 1.43295e-07, 1.22644e-29, 1.22644e-29
