   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_536.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0106712, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00280127, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0050687, 0, 2.40824e-15, 0, 1.41421, -2.40824e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15572e-17, 0, 0, 2.95478e-18, 1.19082e-16, 0, 2.27465e-15, 0, 0, 0
0.0129387, 0, 3.96954e-15, 0, 1.41421, -3.96954e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9024e-17, 0, 0, 4.95087e-18, 2.01324e-16, 0, 3.74424e-15, 0, 0, 0
0.0208087, 0, 6.50773e-15, 0, 1.41421, -6.50773e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11439e-17, 0, 0, 8.25143e-18, 3.38697e-16, 0, 6.12964e-15, 0, 0, 0
0.0286786, 0, 1.0612e-14, 0, 1.41421, -1.0612e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.07097e-17, 0, 0, 1.36804e-17, 5.67052e-16, 0, 9.98052e-15, 0, 0, 0
0.0365486, 0, 1.72133e-14, 0, 1.41421, -1.72133e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.21261e-17, 0, 0, 2.25641e-17, 9.44845e-16, 0, 1.61638e-14, 0, 0, 0
0.0444186, 0, 2.77754e-14, 0, 1.41421, -2.77754e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32301e-16, 0, 0, 3.70266e-17, 1.56694e-15, 0, 2.60392e-14, 0, 0, 0
0.0522886, 0, 4.45869e-14, 0, 1.41421, -4.45869e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12014e-16, 0, 0, 6.0453e-17, 2.58657e-15, 0, 4.17279e-14, 0, 0, 0
0.0601585, 0, 7.12076e-14, 0, 1.41421, -7.12076e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37986e-16, 0, 0, 9.82109e-17, 4.25011e-15, 0, 6.65213e-14, 0, 0, 0
0.0680285, 0, 1.13145e-13, 0, 1.41421, -1.13145e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.36026e-16, 0, 0, 1.58768e-16, 6.95191e-15, 0, 1.05498e-13, 0, 0, 0
0.0758985, 0, 1.78878e-13, 0, 1.41421, -1.78878e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.45752e-16, 0, 0, 2.55417e-16, 1.13202e-14, 0, 1.66457e-13, 0, 0, 0
0.0837685, 0, 2.81989e-13, 0, 1.41421, -2.81989e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33023e-15, 0, 0, 4.10374e-16, 1.84424e-14, 0, 2.61806e-13, 0, 0, 0
0.0916384, 0, 4.41295e-13, 0, 1.41421, -4.41295e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07716e-15, 0, 0, 6.53709e-16, 2.9754e-14, 0, 4.0881e-13, 0, 0, 0
0.0995084, 0, 6.87229e-13, 0, 1.41421, -6.87229e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22732e-15, 0, 0, 1.0365e-15, 4.77992e-14, 0, 6.35165e-13, 0, 0, 0
0.107378, 0, 1.06503e-12, 0, 1.41421, -1.06503e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9894e-15, 0, 0, 1.6359e-15, 7.64613e-14, 0, 9.81943e-13, 0, 0, 0
