   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_580.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00761671, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00024655, 0, 2.05386e-21, 0, 1.41421, -2.05386e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19818e-26, 0, 3.80447e-22, 0, 1.67338e-21, 0, 0
0.00810981, 0, 4.61115e-21, 0, 1.41421, -4.61115e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.25837e-26, 0, 8.67891e-22, 0, 3.74319e-21, 0, 0
0.0159731, 0, 1.02077e-20, 0, 1.41421, -1.02077e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62446e-25, 0, 1.95113e-21, 0, 8.2564e-21, 0, 0
0.0238363, 0, 2.22961e-20, 0, 1.41421, -2.22961e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58771e-25, 0, 4.32617e-21, 0, 1.79695e-20, 0, 0
0.0316996, 0, 4.80807e-20, 0, 1.41421, -4.80807e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.82382e-25, 0, 9.46702e-21, 0, 3.86129e-20, 0, 0
0.0395628, 0, 1.02421e-19, 0, 1.41421, -1.02421e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68557e-24, 0, 2.04588e-20, 0, 8.19603e-20, 0, 0
0.0474261, 0, 2.15617e-19, 0, 1.41421, -2.15617e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58925e-24, 0, 4.3685e-20, 0, 1.71928e-19, 0, 0
0.0552894, 0, 4.48785e-19, 0, 1.41421, -4.48785e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.55738e-24, 0, 9.22108e-20, 0, 3.56566e-19, 0, 0
0.0631526, 0, 9.23886e-19, 0, 1.41421, -9.23886e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57403e-23, 0, 1.92491e-19, 0, 7.31379e-19, 0, 0
0.0710159, 0, 1.88178e-18, 0, 1.41421, -1.88178e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24393e-23, 0, 3.97545e-19, 0, 1.4842e-18, 0, 0
0.0788791, 0, 3.79336e-18, 0, 1.41421, -3.79336e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.61733e-23, 0, 8.12566e-19, 0, 2.98073e-18, 0, 0
0.0867424, 0, 7.57019e-18, 0, 1.41421, -7.57019e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3365e-22, 0, 1.64426e-18, 0, 5.9258e-18, 0, 0
0.0946056, 0, 1.49598e-17, 0, 1.41421, -1.49598e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67323e-22, 0, 3.29491e-18, 0, 1.16646e-17, 0, 0
0.102469, 0, 2.92809e-17, 0, 1.41421, -2.92809e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.2965e-22, 0, 6.54032e-18, 0, 2.274e-17, 0, 0
0.110332, 0, 5.67776e-17, 0, 1.41421, -5.67776e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03973e-21, 0, 1.28631e-17, 0, 4.39134e-17, 0, 0
0.118195, 0, 1.09092e-16, 0, 1.41421, -1.09092e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02266e-21, 0, 2.50719e-17, 0, 8.40178e-17, 0, 0
0.126059, 0, 2.07736e-16, 0, 1.41421, -2.07736e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.90008e-21, 0, 4.84416e-17, 0, 1.5929e-16, 0, 0
0.133922, 0, 3.92113e-16, 0, 1.41421, -3.92113e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.45502e-21, 0, 9.27963e-17, 0, 2.99309e-16, 0, 0
0.141785, 0, 7.33775e-16, 0, 1.41421, -7.33775e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41293e-20, 0, 1.76282e-16, 0, 5.57479e-16, 0, 0
0.149648, 0, 1.36156e-15, 0, 1.41421, -1.36156e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65556e-20, 0, 3.3215e-16, 0, 1.02938e-15, 0, 0
0.157512, 0, 2.50548e-15, 0, 1.41421, -2.50548e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95013e-20, 0, 6.20844e-16, 0, 1.88459e-15, 0, 0
0.165375, 0, 4.57291e-15, 0, 1.41421, -4.57291e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.15297e-20, 0, 1.15141e-15, 0, 3.42141e-15, 0, 0
0.173238, 0, 8.27931e-15, 0, 1.41421, -8.27931e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67898e-19, 0, 2.11905e-15, 0, 6.16009e-15, 0, 0
0.181101, 0, 1.48714e-14, 0, 1.41421, -1.48714e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05588e-19, 0, 3.87068e-15, 0, 1.10004e-14, 0, 0
0.188965, 0, 2.65041e-14, 0, 1.41421, -2.65041e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.51931e-19, 0, 7.01822e-15, 0, 1.94854e-14, 0, 0
0.196828, 0, 4.68739e-14, 0, 1.41421, -4.68739e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.89336e-19, 0, 1.26335e-14, 0, 3.42395e-14, 0, 0
0.204691, 0, 8.22716e-14, 0, 1.41421, -8.22716e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76021e-18, 0, 2.25803e-14, 0, 5.96895e-14, 0, 0
0.212554, 0, 1.43322e-13, 0, 1.41421, -1.43322e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10885e-18, 0, 4.00777e-14, 0, 1.03241e-13, 0, 0
0.220418, 0, 2.47838e-13, 0, 1.41421, -2.47838e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45133e-18, 0, 7.0648e-14, 0, 1.77184e-13, 0, 0
0.228281, 0, 4.25456e-13, 0, 1.41421, -4.25456e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49134e-18, 0, 1.23703e-13, 0, 3.01743e-13, 0, 0
0.236144, 0, 7.25142e-13, 0, 1.41421, -7.25142e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64111e-17, 0, 2.15187e-13, 0, 5.09938e-13, 0, 0
0.244008, 0, 1.22719e-12, 0, 1.41421, -1.22719e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81833e-17, 0, 3.7192e-13, 0, 8.55241e-13, 0, 0
0.251871, 0, 2.06237e-12, 0, 1.41421, -2.06237e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80801e-17, 0, 6.38768e-13, 0, 1.42356e-12, 0, 0
0.259734, 0, 3.44217e-12, 0, 1.41421, -3.44217e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.14946e-17, 0, 1.09033e-12, 0, 2.35176e-12, 0, 0
0.267597, 0, 5.70633e-12, 0, 1.41421, -5.70633e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37274e-16, 0, 1.84996e-12, 0, 3.85624e-12, 0, 0
0.275461, 0, 9.3971e-12, 0, 1.41421, -9.3971e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29841e-16, 0, 3.12052e-12, 0, 6.27634e-12, 0, 0
0.283324, 0, 1.53745e-11, 0, 1.41421, -1.53745e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82615e-16, 0, 5.23403e-12, 0, 1.014e-11, 0, 0
