   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_612.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00459727, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00326703, 0, 1.37544e-17, 0, 1.41421, -1.37544e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.68306e-21, 0, 0, 1.37478e-17, 0, 0, 0
0.0111313, 0, 2.49423e-17, 0, 1.41421, -2.49423e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23411e-20, 0, 0, 2.493e-17, 0, 0, 0
0.0189956, 0, 4.4901e-17, 0, 1.41421, -4.4901e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2625e-20, 0, 0, 4.48784e-17, 0, 0, 0
0.0268599, 0, 8.02527e-17, 0, 1.41421, -8.02527e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11851e-20, 0, 0, 8.02116e-17, 0, 0, 0
0.0347242, 0, 1.42431e-16, 0, 1.41421, -1.42431e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.44524e-20, 0, 0, 1.42357e-16, 0, 0, 0
0.0425885, 0, 2.51038e-16, 0, 1.41421, -2.51038e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33675e-19, 0, 0, 2.50904e-16, 0, 0, 0
0.0504528, 0, 4.39452e-16, 0, 1.41421, -4.39452e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38401e-19, 0, 0, 4.39214e-16, 0, 0, 0
0.0583171, 0, 7.6413e-16, 0, 1.41421, -7.6413e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22379e-19, 0, 0, 7.63708e-16, 0, 0, 0
0.0661814, 0, 1.31992e-15, 0, 1.41421, -1.31992e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.43494e-19, 0, 0, 1.31917e-15, 0, 0, 0
0.0740457, 0, 2.26508e-15, 0, 1.41421, -2.26508e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30039e-18, 0, 0, 2.26378e-15, 0, 0, 0
0.08191, 0, 3.86206e-15, 0, 1.41421, -3.86206e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26012e-18, 0, 0, 3.85979e-15, 0, 0, 0
0.0897743, 0, 6.54305e-15, 0, 1.41421, -6.54305e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9038e-18, 0, 0, 6.53915e-15, 0, 0, 0
0.0976386, 0, 1.10154e-14, 0, 1.41421, -1.10154e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.70159e-18, 0, 0, 1.10087e-14, 0, 0, 0
0.105503, 0, 1.84291e-14, 0, 1.41421, -1.84291e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14353e-17, 0, 0, 1.84176e-14, 0, 0, 0
0.113367, 0, 3.06422e-14, 0, 1.41421, -3.06422e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93967e-17, 0, 0, 3.06228e-14, 0, 0, 0
0.121231, 0, 5.06373e-14, 0, 1.41421, -5.06373e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27078e-17, 0, 0, 5.06046e-14, 0, 0, 0
0.129096, 0, 8.31723e-14, 0, 1.41421, -8.31723e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48344e-17, 0, 0, 8.31175e-14, 0, 0, 0
0.13696, 0, 1.35789e-13, 0, 1.41421, -1.35789e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.14036e-17, 0, 0, 1.35697e-13, 0, 0, 0
0.144824, 0, 2.20367e-13, 0, 1.41421, -2.20367e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51501e-16, 0, 0, 2.20215e-13, 0, 0, 0
