   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_614.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0214359, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0135475, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0056592, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00222913, 0, 1.65157e-14, 0, 1.41421, -1.65157e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31465e-16, 0, 0, 6.07812e-17, 0, 0, 1.63234e-14, 0, 0, 0
0.0101175, 0, 2.57561e-14, 0, 1.41421, -2.57561e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05005e-16, 0, 0, 9.65518e-17, 0, 0, 2.54545e-14, 0, 0, 0
0.0180058, 0, 3.99813e-14, 0, 1.41421, -3.99813e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18208e-16, 0, 0, 1.52697e-16, 0, 0, 3.95104e-14, 0, 0, 0
0.0258941, 0, 6.17793e-14, 0, 1.41421, -6.17793e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91662e-16, 0, 0, 2.40436e-16, 0, 0, 6.10472e-14, 0, 0, 0
0.0337824, 0, 9.50282e-14, 0, 1.41421, -9.50282e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.56215e-16, 0, 0, 3.76957e-16, 0, 0, 9.38951e-14, 0, 0, 0
0.0416708, 0, 1.45512e-13, 0, 1.41421, -1.45512e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15788e-15, 0, 0, 5.88478e-16, 0, 0, 1.43766e-13, 0, 0, 0
0.0495591, 0, 2.21819e-13, 0, 1.41421, -2.21819e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76493e-15, 0, 0, 9.14817e-16, 0, 0, 2.19139e-13, 0, 0, 0
