   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_624.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00440244, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00345879, 0, 3.24747e-16, 0, 1.41421, -3.24747e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.56662e-19, 0, 0, 1.4541e-19, 0, 4.72712e-17, 0, 2.76774e-16, 0, 0, 0
0.01132, 0, 5.5236e-16, 0, 1.41421, -5.5236e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.43509e-19, 0, 0, 2.51087e-19, 0, 8.20513e-17, 0, 4.69115e-16, 0, 0, 0
0.0191812, 0, 9.34046e-16, 0, 1.41421, -9.34046e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58966e-18, 0, 0, 4.31016e-19, 0, 1.41644e-16, 0, 7.90381e-16, 0, 0, 0
0.0270425, 0, 1.57044e-15, 0, 1.41421, -1.57044e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66257e-18, 0, 0, 7.35603e-19, 0, 2.43208e-16, 0, 1.32384e-15, 0, 0, 0
0.0349037, 0, 2.62555e-15, 0, 1.41421, -2.62555e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43374e-18, 0, 0, 1.24827e-18, 0, 4.15397e-16, 0, 2.20447e-15, 0, 0, 0
0.0427649, 0, 4.3651e-15, 0, 1.41421, -4.3651e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.34075e-18, 0, 0, 2.10631e-18, 0, 7.05812e-16, 0, 3.64984e-15, 0, 0, 0
0.0506262, 0, 7.21737e-15, 0, 1.41421, -7.21737e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20848e-17, 0, 0, 3.53444e-18, 0, 1.19314e-15, 0, 6.00861e-15, 0, 0, 0
0.0584874, 0, 1.18687e-14, 0, 1.41421, -1.18687e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97831e-17, 0, 0, 5.89834e-18, 0, 2.00677e-15, 0, 9.83624e-15, 0, 0, 0
0.0663486, 0, 1.94131e-14, 0, 1.41421, -1.94131e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22055e-17, 0, 0, 9.78994e-18, 0, 3.35845e-15, 0, 1.60127e-14, 0, 0, 0
