   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_625.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00732462, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000540812, 0, 3.9077e-20, 0, 1.41421, -3.9077e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.54391e-25, 0, 5.85591e-21, 0, 3.32204e-20, 0, 0, 0
0.00840625, 0, 8.18864e-20, 0, 1.41421, -8.18864e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6009e-24, 0, 1.2462e-20, 0, 6.94228e-20, 0, 0, 0
0.0162717, 0, 1.6962e-19, 0, 1.41421, -1.6962e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35853e-24, 0, 2.62117e-20, 0, 1.43405e-19, 0, 0, 0
0.0241371, 0, 3.47469e-19, 0, 1.41421, -3.47469e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.96872e-24, 0, 5.45179e-20, 0, 2.92945e-19, 0, 0, 0
0.0320026, 0, 7.04231e-19, 0, 1.41421, -7.04231e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43073e-23, 0, 1.12182e-19, 0, 5.92035e-19, 0, 0, 0
0.039868, 0, 1.41265e-18, 0, 1.41421, -1.41265e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90755e-23, 0, 2.2847e-19, 0, 1.18415e-18, 0, 0, 0
0.0477334, 0, 2.80555e-18, 0, 1.41421, -2.80555e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.85065e-23, 0, 4.607e-19, 0, 2.34479e-18, 0, 0, 0
0.0555989, 0, 5.51823e-18, 0, 1.41421, -5.51823e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16606e-22, 0, 9.20109e-19, 0, 4.59801e-18, 0, 0, 0
0.0634643, 0, 1.07522e-17, 0, 1.41421, -1.07522e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30249e-22, 0, 1.82065e-18, 0, 8.93133e-18, 0, 0, 0
0.0713298, 0, 2.07596e-17, 0, 1.41421, -2.07596e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.50547e-22, 0, 3.57024e-18, 0, 1.71889e-17, 0, 0, 0
0.0791952, 0, 3.9725e-17, 0, 1.41421, -3.9725e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.73875e-22, 0, 6.9402e-18, 0, 3.27839e-17, 0, 0, 0
0.0870606, 0, 7.53564e-17, 0, 1.41421, -7.53564e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68039e-21, 0, 1.33766e-17, 0, 6.19781e-17, 0, 0, 0
