   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_673.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0200947, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0122057, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0043167, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0035723, 0, 2.42816e-16, 0, 1.41421, -2.42816e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.30437e-19, 0, 0, 2.43761e-19, 0, 1.3883e-18, 0, 2.40253e-16, 0, 0, 0
0.0114613, 0, 4.17187e-16, 0, 1.41421, -4.17187e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59838e-18, 0, 0, 4.25687e-19, 0, 2.43789e-18, 0, 4.12725e-16, 0, 0, 0
0.0193503, 0, 7.12467e-16, 0, 1.41421, -7.12467e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72927e-18, 0, 0, 7.39034e-19, 0, 4.25714e-18, 0, 7.04741e-16, 0, 0, 0
0.0272393, 0, 1.20952e-15, 0, 1.41421, -1.20952e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.63265e-18, 0, 0, 1.27564e-18, 0, 7.39341e-18, 0, 1.19622e-15, 0, 0, 0
0.0351283, 0, 2.04134e-15, 0, 1.41421, -2.04134e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.81733e-18, 0, 0, 2.18935e-18, 0, 1.27714e-17, 0, 2.01856e-15, 0, 0, 0
0.0430173, 0, 3.42527e-15, 0, 1.41421, -3.42527e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31149e-17, 0, 0, 3.73648e-18, 0, 2.19451e-17, 0, 3.38648e-15, 0, 0, 0
0.0509063, 0, 5.71458e-15, 0, 1.41421, -5.71458e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18765e-17, 0, 0, 6.34162e-18, 0, 3.75128e-17, 0, 5.64885e-15, 0, 0, 0
0.0587953, 0, 9.48002e-15, 0, 1.41421, -9.48002e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62845e-17, 0, 0, 1.07043e-17, 0, 6.37975e-17, 0, 9.36924e-15, 0, 0, 0
0.0666843, 0, 1.56385e-14, 0, 1.41421, -1.56385e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.98442e-17, 0, 0, 1.79709e-17, 0, 1.07955e-16, 0, 1.54527e-14, 0, 0, 0
0.0745733, 0, 2.56545e-14, 0, 1.41421, -2.56545e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.81526e-17, 0, 0, 3.00098e-17, 0, 1.81771e-16, 0, 2.53446e-14, 0, 0, 0
0.0824623, 0, 4.18539e-14, 0, 1.41421, -4.18539e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60096e-16, 0, 0, 4.98505e-17, 0, 3.04569e-16, 0, 4.13394e-14, 0, 0, 0
0.0903512, 0, 6.79096e-14, 0, 1.41421, -6.79096e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59705e-16, 0, 0, 8.2379e-17, 0, 5.07866e-16, 0, 6.70596e-14, 0, 0, 0
0.0982402, 0, 1.09589e-13, 0, 1.41421, -1.09589e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19001e-16, 0, 0, 1.35434e-16, 0, 8.42833e-16, 0, 1.08192e-13, 0, 0, 0
0.106129, 0, 1.75898e-13, 0, 1.41421, -1.75898e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.72362e-16, 0, 0, 2.21531e-16, 0, 1.39216e-15, 0, 1.73612e-13, 0, 0, 0
0.114018, 0, 2.80821e-13, 0, 1.41421, -2.80821e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07315e-15, 0, 0, 3.60544e-16, 0, 2.28883e-15, 0, 2.77098e-13, 0, 0, 0
0.121907, 0, 4.45948e-13, 0, 1.41421, -4.45948e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70372e-15, 0, 0, 5.83888e-16, 0, 3.74576e-15, 0, 4.39914e-13, 0, 0, 0
