   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_682.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00615084, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00171308, 0, 9.62495e-23, 0, 1.41421, -9.62495e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.70531e-25, 0, 0, 2.10678e-27, 0, 1.85746e-23, 0, 7.67022e-23, 0, 0, 0
0.009577, 0, 2.37084e-22, 0, 1.41421, -2.37084e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38039e-24, 0, 0, 5.24086e-27, 0, 4.65732e-23, 0, 1.88125e-22, 0, 0, 0
0.0174409, 0, 5.73324e-22, 0, 1.41421, -5.73324e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.73248e-24, 0, 0, 1.2802e-26, 0, 1.14534e-22, 0, 4.53045e-22, 0, 0, 0
0.0253048, 0, 1.36269e-21, 0, 1.41421, -1.36269e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35701e-23, 0, 0, 3.07426e-26, 0, 2.76628e-22, 0, 1.07246e-21, 0, 0, 0
0.0331688, 0, 3.18656e-21, 0, 1.41421, -3.18656e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16073e-23, 0, 0, 7.26468e-26, 0, 6.56919e-22, 0, 2.49796e-21, 0, 0, 0
0.0410327, 0, 7.3376e-21, 0, 1.41421, -7.3376e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24978e-23, 0, 0, 1.69074e-25, 0, 1.53535e-21, 0, 5.72958e-21, 0, 0, 0
0.0488966, 0, 1.66502e-20, 0, 1.41421, -1.66502e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63876e-22, 0, 0, 3.87833e-25, 0, 3.53468e-21, 0, 1.29513e-20, 0, 0, 0
0.0567605, 0, 3.72574e-20, 0, 1.41421, -3.72574e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65292e-22, 0, 0, 8.77424e-25, 0, 8.02176e-21, 0, 2.88695e-20, 0, 0, 0
0.0646245, 0, 8.22593e-20, 0, 1.41421, -8.22593e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.03433e-22, 0, 0, 1.95895e-24, 0, 1.79577e-20, 0, 6.34962e-20, 0, 0, 0
0.0724884, 0, 1.79295e-19, 0, 1.41421, -1.79295e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74448e-21, 0, 0, 4.31832e-24, 0, 3.9678e-20, 0, 1.37868e-19, 0, 0, 0
