   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_749.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0156975, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00782074, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5.59845e-05, 0, 1.91436e-14, 0, 1.41421, -1.91436e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41868e-17, 0, 1.50556e-15, 0, 1.75939e-14, 0, 0, 0
0.00793271, 0, 2.99419e-14, 0, 1.41421, -2.99419e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.02447e-17, 0, 2.41994e-15, 0, 2.74517e-14, 0, 0, 0
0.0158094, 0, 4.66211e-14, 0, 1.41421, -4.66211e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11174e-16, 0, 3.87343e-15, 0, 4.26365e-14, 0, 0, 0
0.0236862, 0, 7.22691e-14, 0, 1.41421, -7.22691e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75181e-16, 0, 6.17435e-15, 0, 6.59195e-14, 0, 0, 0
0.0315629, 0, 1.11534e-13, 0, 1.41421, -1.11534e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74843e-16, 0, 9.80183e-15, 0, 1.01457e-13, 0, 0, 0
0.0394396, 0, 1.7138e-13, 0, 1.41421, -1.7138e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2936e-16, 0, 1.54975e-14, 0, 1.55453e-13, 0, 0, 0
0.0473163, 0, 2.622e-13, 0, 1.41421, -2.622e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.67916e-16, 0, 2.44048e-14, 0, 2.37128e-13, 0, 0, 0
0.0551931, 0, 3.99428e-13, 0, 1.41421, -3.99428e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03468e-15, 0, 3.82805e-14, 0, 3.60113e-13, 0, 0, 0
