   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_755.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00113279, 0, 9.02011e-17, 0, 1.41421, -9.02011e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.43419e-19, 0, 0, 4.1031e-19, 0, 4.16196e-20, 0, 8.91058e-17, 0, 0, 0
0.00898564, 0, 1.54806e-16, 0, 1.41421, -1.54806e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10416e-18, 0, 0, 7.16242e-19, 0, 7.29642e-20, 0, 1.52913e-16, 0, 0, 0
0.0168385, 0, 2.64081e-16, 0, 1.41421, -2.64081e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8834e-18, 0, 0, 1.24289e-18, 0, 1.27201e-19, 0, 2.60828e-16, 0, 0, 0
0.0246914, 0, 4.47818e-16, 0, 1.41421, -4.47818e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19349e-18, 0, 0, 2.14427e-18, 0, 2.2054e-19, 0, 4.4226e-16, 0, 0, 0
0.0325442, 0, 7.54942e-16, 0, 1.41421, -7.54942e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38314e-18, 0, 0, 3.6782e-18, 0, 3.80316e-19, 0, 7.45501e-16, 0, 0, 0
0.0403971, 0, 1.26535e-15, 0, 1.41421, -1.26535e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.02169e-18, 0, 0, 6.27391e-18, 0, 6.52391e-19, 0, 1.2494e-15, 0, 0, 0
0.0482499, 0, 2.10871e-15, 0, 1.41421, -2.10871e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50332e-17, 0, 0, 1.0642e-17, 0, 1.1133e-18, 0, 2.08192e-15, 0, 0, 0
0.0561028, 0, 3.49436e-15, 0, 1.41421, -3.49436e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4909e-17, 0, 0, 1.79523e-17, 0, 1.89018e-18, 0, 3.44961e-15, 0, 0, 0
0.0639556, 0, 5.75819e-15, 0, 1.41421, -5.75819e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10419e-17, 0, 0, 3.01206e-17, 0, 3.19307e-18, 0, 5.68383e-15, 0, 0, 0
0.0718085, 0, 9.43618e-15, 0, 1.41421, -9.43618e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.72496e-17, 0, 0, 5.02665e-17, 0, 5.36738e-18, 0, 9.31329e-15, 0, 0, 0
0.0796614, 0, 1.53788e-14, 0, 1.41421, -1.53788e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09589e-16, 0, 0, 8.34464e-17, 0, 8.97838e-18, 0, 1.51768e-14, 0, 0, 0
0.0875142, 0, 2.49278e-14, 0, 1.41421, -2.49278e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77614e-16, 0, 0, 1.37808e-16, 0, 1.49465e-17, 0, 2.45975e-14, 0, 0, 0
0.0953671, 0, 4.01886e-14, 0, 1.41421, -4.01886e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86314e-16, 0, 0, 2.26419e-16, 0, 2.4764e-17, 0, 3.96511e-14, 0, 0, 0
0.10322, 0, 6.44454e-14, 0, 1.41421, -6.44454e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5907e-16, 0, 0, 3.70121e-16, 0, 4.08375e-17, 0, 6.35754e-14, 0, 0, 0
0.111073, 0, 1.02795e-13, 0, 1.41421, -1.02795e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.32156e-16, 0, 0, 6.02004e-16, 0, 6.70326e-17, 0, 1.01394e-13, 0, 0, 0
0.118926, 0, 1.63101e-13, 0, 1.41421, -1.63101e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16153e-15, 0, 0, 9.74331e-16, 0, 1.09527e-16, 0, 1.60855e-13, 0, 0, 0
0.126778, 0, 2.5743e-13, 0, 1.41421, -2.5743e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83306e-15, 0, 0, 1.56926e-15, 0, 1.78156e-16, 0, 2.5385e-13, 0, 0, 0
