   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_776.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00779318, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7.28874e-05, 0, 4.98437e-18, 0, 1.41421, -4.98437e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34763e-22, 0, 1.31826e-18, 0, 3.66557e-18, 0, 0
0.00793896, 0, 9.20619e-18, 0, 1.41421, -9.20619e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.9945e-22, 0, 2.47117e-18, 0, 6.73402e-18, 0, 0
0.015805, 0, 1.68753e-17, 0, 1.41421, -1.68753e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85369e-21, 0, 4.59795e-18, 0, 1.22755e-17, 0, 0
0.0236711, 0, 3.07046e-17, 0, 1.41421, -3.07046e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41248e-21, 0, 8.49331e-18, 0, 2.22079e-17, 0, 0
0.0315372, 0, 5.54638e-17, 0, 1.41421, -5.54638e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2363e-21, 0, 1.55783e-17, 0, 3.98792e-17, 0, 0
0.0394032, 0, 1.00631e-16, 0, 1.41421, -1.00631e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14731e-20, 0, 2.88107e-17, 0, 7.18085e-17, 0, 0
0.0472693, 0, 1.79049e-16, 0, 1.41421, -1.79049e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06457e-20, 0, 5.20636e-17, 0, 1.26965e-16, 0, 0
0.0551354, 0, 3.16444e-16, 0, 1.41421, -3.16444e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.69006e-20, 0, 9.34756e-17, 0, 2.22931e-16, 0, 0
0.0630015, 0, 5.5559e-16, 0, 1.41421, -5.5559e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.55145e-20, 0, 1.66764e-16, 0, 3.88761e-16, 0, 0
0.0708675, 0, 9.6916e-16, 0, 1.41421, -9.6916e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15555e-19, 0, 2.95663e-16, 0, 6.73381e-16, 0, 0
0.0787336, 0, 1.67983e-15, 0, 1.41421, -1.67983e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02503e-19, 0, 5.20999e-16, 0, 1.15863e-15, 0, 0
0.0865997, 0, 2.89338e-15, 0, 1.41421, -2.89338e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52616e-19, 0, 9.12569e-16, 0, 1.98046e-15, 0, 0
0.0944658, 0, 4.95289e-15, 0, 1.41421, -4.95289e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10152e-19, 0, 1.58902e-15, 0, 3.36326e-15, 0, 0
0.102332, 0, 8.4268e-15, 0, 1.41421, -8.4268e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04924e-18, 0, 2.75085e-15, 0, 5.6749e-15, 0, 0
0.110198, 0, 1.42513e-14, 0, 1.41421, -1.42513e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79333e-18, 0, 4.73503e-15, 0, 9.51452e-15, 0, 0
0.118064, 0, 2.39592e-14, 0, 1.41421, -2.39592e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04666e-18, 0, 8.10459e-15, 0, 1.58516e-14, 0, 0
0.12593, 0, 4.0045e-14, 0, 1.41421, -4.0045e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.14518e-18, 0, 1.37952e-14, 0, 2.62446e-14, 0, 0
0.133796, 0, 6.65446e-14, 0, 1.41421, -6.65446e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.6382e-18, 0, 2.3353e-14, 0, 4.31829e-14, 0, 0
0.141662, 0, 1.09951e-13, 0, 1.41421, -1.09951e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44187e-17, 0, 3.932e-14, 0, 7.06168e-14, 0, 0
0.149528, 0, 1.80652e-13, 0, 1.41421, -1.80652e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.393e-17, 0, 6.58521e-14, 0, 1.14776e-13, 0, 0
0.157394, 0, 2.9517e-13, 0, 1.41421, -2.9517e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94919e-17, 0, 1.09712e-13, 0, 1.85419e-13, 0, 0
0.16526, 0, 4.79651e-13, 0, 1.41421, -4.79651e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48127e-17, 0, 1.81846e-13, 0, 2.9774e-13, 0, 0
0.173126, 0, 7.75229e-13, 0, 1.41421, -7.75229e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05788e-16, 0, 2.99879e-13, 0, 4.75244e-13, 0, 0
0.180993, 0, 1.24628e-12, 0, 1.41421, -1.24628e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71745e-16, 0, 4.92052e-13, 0, 7.54061e-13, 0, 0
0.188859, 0, 1.99306e-12, 0, 1.41421, -1.99306e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77371e-16, 0, 8.03403e-13, 0, 1.18938e-12, 0, 0
0.196725, 0, 3.17083e-12, 0, 1.41421, -3.17083e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.45666e-16, 0, 1.30542e-12, 0, 1.86497e-12, 0, 0
0.204591, 0, 5.01894e-12, 0, 1.41421, -5.01894e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.12507e-16, 0, 2.11105e-12, 0, 2.90719e-12, 0, 0
0.212457, 0, 7.90453e-12, 0, 1.41421, -7.90453e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13361e-15, 0, 3.39797e-12, 0, 4.50542e-12, 0, 0
0.220323, 0, 1.23881e-11, 0, 1.41421, -1.23881e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79518e-15, 0, 5.44453e-12, 0, 6.94179e-12, 0, 0
0.228189, 0, 1.93216e-11, 0, 1.41421, -1.93216e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83007e-15, 0, 8.68491e-12, 0, 1.06338e-11, 0, 0
0.236055, 0, 2.99942e-11, 0, 1.41421, -2.99942e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44245e-15, 0, 1.37939e-11, 0, 1.61958e-11, 0, 0
0.243921, 0, 4.6349e-11, 0, 1.41421, -4.6349e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.94517e-15, 0, 2.18164e-11, 0, 2.45257e-11, 0, 0
0.251787, 0, 7.13032e-11, 0, 1.41421, -7.13032e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08165e-14, 0, 3.43646e-11, 0, 3.69278e-11, 0, 0
0.259653, 0, 1.0922e-10, 0, 1.41421, -1.0922e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67861e-14, 0, 5.39185e-11, 0, 5.52852e-11, 0, 0
0.267519, 0, 1.66607e-10, 1.00893e-43, 1.41421, -1.66607e-10, 1.00893e-43, 0, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 2.59661e-14, 1.00893e-43, 8.4281e-11, 1.00893e-43, 8.22996e-11, 1.00893e-43, 1.00893e-43
0.275385, 0, 2.53133e-10, 1.76003e-42, 1.41421, -2.53133e-10, 1.76003e-42, 0, 1.76003e-42, 1.76003e-42, 1.76003e-42, 1.76003e-42, 1.76003e-42, 1.76003e-42, 1.76003e-42, 1.76003e-42, 1.76003e-42, 1.76003e-42, 1.76003e-42, 4.00492e-14, 1.76003e-42, 1.31269e-10, 1.76003e-42, 1.21824e-10, 1.76003e-42, 1.76003e-42
0.283251, 0, 3.83133e-10, 2.59352e-41, 1.41421, -3.83133e-10, 2.59352e-41, 0, 2.59352e-41, 2.59352e-41, 2.59352e-41, 2.59352e-41, 2.59352e-41, 2.59352e-41, 2.59352e-41, 2.59352e-41, 2.59352e-41, 2.59352e-41, 2.59352e-41, 6.1611e-14, 2.59352e-41, 2.03757e-10, 2.59352e-41, 1.79315e-10, 2.59352e-41, 2.59352e-41
0.291118, 0, 5.77809e-10, 3.36377e-40, 1.41421, -5.77809e-10, 3.36377e-40, 0, 3.36377e-40, 3.36377e-40, 3.36377e-40, 3.36377e-40, 3.36377e-40, 3.36377e-40, 3.36377e-40, 3.36377e-40, 3.36377e-40, 3.36377e-40, 3.36377e-40, 9.45702e-14, 3.36377e-40, 3.15253e-10, 3.36377e-40, 2.62461e-10, 3.36377e-40, 3.36377e-40
0.298984, 0, 8.68445e-10, 3.90783e-39, 1.41421, -8.68445e-10, 3.90783e-39, 0, 3.90783e-39, 3.90783e-39, 3.90783e-39, 3.90783e-39, 3.90783e-39, 3.90783e-39, 3.90783e-39, 3.90783e-39, 3.90783e-39, 3.90783e-39, 3.90783e-39, 1.44891e-13, 3.90783e-39, 4.86279e-10, 3.90783e-39, 3.82021e-10, 3.90783e-39, 3.90783e-39
0.30685, 0, 1.30113e-09, 4.1006e-38, 1.41421, -1.30113e-09, 4.1006e-38, 0, 4.1006e-38, 4.1006e-38, 4.1006e-38, 4.1006e-38, 4.1006e-38, 4.1006e-38, 4.1006e-38, 4.1006e-38, 4.1006e-38, 4.1006e-38, 4.1006e-38, 2.21655e-13, 4.1006e-38, 7.47954e-10, 4.1006e-38, 5.52959e-10, 4.1006e-38, 4.1006e-38
