   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_93.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00165872, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00620007, 0, 1.96181e-18, 0, 1.41421, -1.96181e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81396e-20, 0, 3.34141e-23, 2.0369e-22, 0, 1.94343e-18, 0, 0
0.0140589, 0, 3.716e-18, 0, 1.41421, -3.716e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43594e-20, 0, 6.42172e-23, 3.92936e-22, 0, 3.68118e-18, 0, 0
0.0219176, 0, 6.97978e-18, 0, 1.41421, -6.97978e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.45373e-20, 0, 1.22405e-22, 7.51796e-22, 0, 6.91437e-18, 0, 0
0.0297764, 0, 1.30033e-17, 0, 1.41421, -1.30033e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20232e-19, 0, 2.31457e-22, 1.42699e-21, 0, 1.28814e-17, 0, 0
0.0376352, 0, 2.40323e-17, 0, 1.41421, -2.40323e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2221e-19, 0, 4.34268e-22, 2.68776e-21, 0, 2.3807e-17, 0, 0
0.045494, 0, 4.40706e-17, 0, 1.41421, -4.40706e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07488e-19, 0, 8.08619e-22, 5.0246e-21, 0, 4.36573e-17, 0, 0
0.0533528, 0, 8.02017e-17, 0, 1.41421, -8.02017e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.41563e-19, 0, 1.49452e-21, 9.3249e-21, 0, 7.94493e-17, 0, 0
0.0612116, 0, 1.44866e-16, 0, 1.41421, -1.44866e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33946e-18, 0, 2.74223e-21, 1.7183e-20, 0, 1.43506e-16, 0, 0
0.0690704, 0, 2.59748e-16, 0, 1.41421, -2.59748e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40168e-18, 0, 4.99586e-21, 3.14442e-20, 0, 2.5731e-16, 0, 0
0.0769292, 0, 4.62381e-16, 0, 1.41421, -4.62381e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27525e-18, 0, 9.03814e-21, 5.71531e-20, 0, 4.5804e-16, 0, 0
0.084788, 0, 8.17255e-16, 0, 1.41421, -8.17255e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.55644e-18, 0, 1.62392e-20, 1.03195e-19, 0, 8.09579e-16, 0, 0
0.0926467, 0, 1.4344e-15, 0, 1.41421, -1.4344e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32626e-17, 0, 2.89811e-20, 1.85125e-19, 0, 1.42093e-15, 0, 0
0.100506, 0, 2.50023e-15, 0, 1.41421, -2.50023e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31173e-17, 0, 5.13777e-20, 3.29996e-19, 0, 2.47673e-15, 0, 0
0.108364, 0, 4.32834e-15, 0, 1.41421, -4.32834e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00199e-17, 0, 9.04868e-20, 5.84577e-19, 0, 4.28765e-15, 0, 0
0.116223, 0, 7.44276e-15, 0, 1.41421, -7.44276e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.88156e-17, 0, 1.58339e-19, 1.02925e-18, 0, 7.37275e-15, 0, 0
0.124082, 0, 1.27129e-14, 0, 1.41421, -1.27129e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17543e-16, 0, 2.75307e-19, 1.80129e-18, 0, 1.25933e-14, 0, 0
0.131941, 0, 2.15719e-14, 0, 1.41421, -2.15719e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99452e-16, 0, 4.75685e-19, 3.13388e-18, 0, 2.13688e-14, 0, 0
0.1398, 0, 3.63652e-14, 0, 1.41421, -3.63652e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.36229e-16, 0, 8.16826e-19, 5.42072e-18, 0, 3.60228e-14, 0, 0
0.147658, 0, 6.09068e-14, 0, 1.41421, -6.09068e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.63138e-16, 0, 1.39406e-18, 9.32279e-18, 0, 6.03329e-14, 0, 0
0.155517, 0, 1.01356e-13, 0, 1.41421, -1.01356e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.37127e-16, 0, 2.36489e-18, 1.59436e-17, 0, 1.00401e-13, 0, 0
0.163376, 0, 1.67594e-13, 0, 1.41421, -1.67594e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54956e-15, 0, 3.98798e-18, 2.71155e-17, 0, 1.66013e-13, 0, 0
0.171235, 0, 2.75367e-13, 0, 1.41421, -2.75367e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54604e-15, 0, 6.68562e-18, 4.58639e-17, 0, 2.72768e-13, 0, 0
