   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_95.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00378345, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00408267, 0, 1.28494e-18, 0, 1.41421, -1.28494e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.80644e-21, 0, 0, 2.48415e-23, 1.86938e-22, 0, 1.27792e-18, 0, 0
0.0119488, 0, 2.4606e-18, 0, 1.41421, -2.4606e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3034e-20, 0, 0, 4.82344e-23, 3.65259e-22, 0, 2.44715e-18, 0, 0
0.0198149, 0, 4.67145e-18, 0, 1.41421, -4.67145e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47449e-20, 0, 0, 9.28684e-23, 7.07629e-22, 0, 4.64591e-18, 0, 0
0.027681, 0, 8.7945e-18, 0, 1.41421, -8.7945e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.65847e-20, 0, 0, 1.77342e-22, 1.35966e-21, 0, 8.74638e-18, 0, 0
0.0355472, 0, 1.64211e-17, 0, 1.41421, -1.64211e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.69825e-20, 0, 0, 3.3595e-22, 2.59165e-21, 0, 1.63312e-17, 0, 0
0.0434133, 0, 3.0416e-17, 0, 1.41421, -3.0416e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61113e-19, 0, 0, 6.31452e-22, 4.90167e-21, 0, 3.02494e-17, 0, 0
0.0512794, 0, 5.58967e-17, 0, 1.41421, -5.58967e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96083e-19, 0, 0, 1.17783e-21, 9.20073e-21, 0, 5.55902e-17, 0, 0
0.0591455, 0, 1.01934e-16, 0, 1.41421, -1.01934e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39939e-19, 0, 0, 2.1806e-21, 1.71433e-20, 0, 1.01375e-16, 0, 0
0.0670116, 0, 1.84483e-16, 0, 1.41421, -1.84483e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.77196e-19, 0, 0, 4.00755e-21, 3.17129e-20, 0, 1.83471e-16, 0, 0
0.0748778, 0, 3.31405e-16, 0, 1.41421, -3.31405e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75542e-18, 0, 0, 7.31226e-21, 5.82531e-20, 0, 3.29584e-16, 0, 0
0.0827439, 0, 5.90984e-16, 0, 1.41421, -5.90984e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13037e-18, 0, 0, 1.3248e-20, 1.0627e-19, 0, 5.87734e-16, 0, 0
0.09061, 0, 1.04629e-15, 0, 1.41421, -1.04629e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54203e-18, 0, 0, 2.38353e-20, 1.92563e-19, 0, 1.04053e-15, 0, 0
0.0984761, 0, 1.83921e-15, 0, 1.41421, -1.83921e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.74198e-18, 0, 0, 4.25907e-20, 3.46627e-19, 0, 1.82908e-15, 0, 0
0.106342, 0, 3.21036e-15, 0, 1.41421, -3.21036e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70047e-17, 0, 0, 7.55916e-20, 6.19922e-19, 0, 3.19266e-15, 0, 0
0.114208, 0, 5.56489e-15, 0, 1.41421, -5.56489e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94759e-17, 0, 0, 1.33271e-19, 1.10165e-18, 0, 5.53418e-15, 0, 0
0.122074, 0, 9.58018e-15, 0, 1.41421, -9.58018e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.07437e-17, 0, 0, 2.33424e-19, 1.94553e-18, 0, 9.52725e-15, 0, 0
0.129941, 0, 1.63808e-14, 0, 1.41421, -1.63808e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.67644e-17, 0, 0, 4.06202e-19, 3.41478e-18, 0, 1.62902e-14, 0, 0
0.137807, 0, 2.78209e-14, 0, 1.41421, -2.78209e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47359e-16, 0, 0, 7.02369e-19, 5.95748e-18, 0, 2.76669e-14, 0, 0
0.145673, 0, 4.69362e-14, 0, 1.41421, -4.69362e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48606e-16, 0, 0, 1.20684e-18, 1.03318e-17, 0, 4.6676e-14, 0, 0
0.153539, 0, 7.8663e-14, 0, 1.41421, -7.8663e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16651e-16, 0, 0, 2.06079e-18, 1.78136e-17, 0, 7.82264e-14, 0, 0
0.161405, 0, 1.30973e-13, 0, 1.41421, -1.30973e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.93719e-16, 0, 0, 3.49744e-18, 3.05365e-17, 0, 1.30245e-13, 0, 0
0.169271, 0, 2.16652e-13, 0, 1.41421, -2.16652e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14754e-15, 0, 0, 5.89982e-18, 5.20499e-17, 0, 2.15447e-13, 0, 0
0.177137, 0, 3.56069e-13, 0, 1.41421, -3.56069e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88599e-15, 0, 0, 9.89314e-18, 8.82239e-17, 0, 3.54085e-13, 0, 0
0.185003, 0, 5.81452e-13, 0, 1.41421, -5.81452e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07982e-15, 0, 0, 1.64922e-17, 1.48728e-16, 0, 5.78207e-13, 0, 0
0.19287, 0, 9.4345e-13, 0, 1.41421, -9.4345e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.99732e-15, 0, 0, 2.73346e-17, 2.49376e-16, 0, 9.38176e-13, 0, 0
0.200736, 0, 1.52113e-12, 0, 1.41421, -1.52113e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.05743e-15, 0, 0, 4.50489e-17, 4.15922e-16, 0, 1.51261e-12, 0, 0
0.208602, 0, 2.43709e-12, 0, 1.41421, -2.43709e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29097e-14, 0, 0, 7.38314e-17, 6.90092e-16, 0, 2.42341e-12, 0, 0
0.216468, 0, 3.88013e-12, 0, 1.41421, -3.88013e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05548e-14, 0, 0, 1.20349e-16, 1.13915e-15, 0, 3.85832e-12, 0, 0
0.224334, 0, 6.13912e-12, 0, 1.41421, -6.13912e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25238e-14, 0, 0, 1.95144e-16, 1.87102e-15, 0, 6.10453e-12, 0, 0
0.2322, 0, 9.653e-12, 0, 1.41421, -9.653e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1144e-14, 0, 0, 3.14804e-16, 3.05806e-15, 0, 9.59848e-12, 0, 0
0.240066, 0, 1.50844e-11, 0, 1.41421, -1.50844e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.99296e-14, 0, 0, 5.05329e-16, 4.97437e-15, 0, 1.4999e-11, 0, 0
0.247932, 0, 2.34269e-11, 0, 1.41421, -2.34269e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24152e-13, 0, 0, 8.07313e-16, 8.05394e-15, 0, 2.32939e-11, 0, 0
0.255799, 0, 3.61604e-11, 0, 1.41421, -3.61604e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91668e-13, 0, 0, 1.28392e-15, 1.29813e-14, 0, 3.59545e-11, 0, 0
0.263665, 0, 5.54746e-11, 0, 1.41421, -5.54746e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94106e-13, 0, 0, 2.03313e-15, 2.08318e-14, 0, 5.51576e-11, 0, 0
0.271531, 0, 8.45877e-11, 0, 1.41421, -8.45877e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48573e-13, 0, 0, 3.20657e-15, 3.32894e-14, 0, 8.41026e-11, 0, 0
0.279397, 0, 1.28199e-10, 0, 1.41421, -1.28199e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.80069e-13, 0, 0, 5.03839e-15, 5.29825e-14, 0, 1.27461e-10, 0, 0
0.287263, 0, 1.93123e-10, 1.37327e-43, 1.41421, -1.93123e-10, 1.37327e-43, 0, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.37327e-43, 1.02489e-12, 1.37327e-43, 1.37327e-43, 7.8896e-15, 8.40009e-14, 1.37327e-43, 1.92006e-10, 1.37327e-43, 1.37327e-43
0.295129, 0, 2.8918e-10, 2.28131e-42, 1.41421, -2.8918e-10, 2.28131e-42, 0, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 2.28131e-42, 1.53541e-12, 2.28131e-42, 2.28131e-42, 1.23163e-14, 1.32693e-13, 2.28131e-42, 2.875e-10, 2.28131e-42, 2.28131e-42
0.302995, 0, 4.30424e-10, 3.16778e-41, 1.41421, -4.30424e-10, 3.16778e-41, 0, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 3.16778e-41, 2.28668e-12, 3.16778e-41, 3.16778e-41, 1.91746e-14, 2.08887e-13, 3.16778e-41, 4.27909e-10, 3.16778e-41, 3.16778e-41
0.310861, 0, 6.36839e-10, 3.89949e-40, 1.41421, -6.36839e-10, 3.89949e-40, 0, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.89949e-40, 3.38567e-12, 3.89949e-40, 3.89949e-40, 2.97824e-14, 3.27772e-13, 3.89949e-40, 6.33096e-10, 3.89949e-40, 3.89949e-40
0.318728, 0, 9.36654e-10, 4.31302e-39, 1.41421, -9.36654e-10, 4.31302e-39, 0, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.31302e-39, 4.98377e-12, 4.31302e-39, 4.31302e-39, 4.61687e-14, 5.12772e-13, 4.31302e-39, 9.31111e-10, 4.31302e-39, 4.31302e-39
0.326594, 0, 1.36948e-09, 4.31156e-38, 1.41421, -1.36948e-09, 4.31156e-38, 0, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 4.31156e-38, 7.29403e-12, 4.31156e-38, 4.31156e-38, 7.14596e-14, 7.99958e-13, 4.31156e-38, 1.36132e-09, 4.31156e-38, 4.31156e-38
0.33446, 0, 1.99054e-09, 3.91664e-37, 1.41421, -1.99054e-09, 3.91664e-37, 0, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 3.91664e-37, 1.06144e-11, 3.91664e-37, 3.91664e-37, 1.10474e-13, 1.24479e-12, 3.91664e-37, 1.97858e-09, 3.91664e-37, 3.91664e-37
0.342326, 0, 2.87634e-09, 3.25015e-36, 1.41421, -2.87634e-09, 3.25015e-36, 0, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 3.25015e-36, 1.53591e-11, 3.25015e-36, 3.25015e-36, 1.70649e-13, 1.93244e-12, 3.25015e-36, 2.85888e-09, 3.25015e-36, 3.25015e-36
0.350192, 0, 4.13231e-09, 7.95996e-35, 1.41421, -4.13231e-09, 7.95996e-35, 0, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 7.95996e-35, 2.2102e-11, 7.95996e-35, 7.95996e-35, 2.63874e-13, 2.99724e-12, 7.95996e-35, 4.10694e-09, 7.95996e-35, 7.95996e-35
0.358058, 0, 5.90204e-09, 5.40546e-34, 1.41421, -5.90204e-09, 5.40546e-34, 0, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 5.40546e-34, 3.16273e-11, 5.40546e-34, 5.40546e-34, 4.07273e-13, 4.63352e-12, 5.40546e-34, 5.86537e-09, 5.40546e-34, 5.40546e-34
0.365924, 0, 8.38119e-09, 3.57223e-33, 1.41421, -8.38119e-09, 3.57223e-33, 0, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 3.57223e-33, 4.50113e-11, 3.57223e-33, 3.57223e-33, 6.2856e-13, 7.15006e-12, 3.57223e-33, 8.3284e-09, 3.57223e-33, 3.57223e-33
0.37379, 0, 1.18337e-08, 2.2223e-32, 1.41421, -1.18337e-08, 2.2223e-32, 0, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 2.2223e-32, 6.37147e-11, 2.2223e-32, 2.2223e-32, 9.70141e-13, 1.10147e-11, 2.2223e-32, 1.1758e-08, 2.2223e-32, 2.2223e-32
0.381656, 0, 1.66134e-08, 1.2924e-31, 1.41421, -1.66134e-08, 1.2924e-31, 0, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 1.2924e-31, 8.97119e-11, 1.2924e-31, 1.2924e-31, 1.49749e-12, 1.69406e-11, 1.2924e-31, 1.65052e-08, 1.2924e-31, 1.2924e-31
