   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_122.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00184882, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00601397, 0, 1.39428e-17, 0, 1.41421, -1.39428e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99559e-20, 0, 0, 3.6843e-22, 1.54987e-19, 0, 1.37274e-17, 0, 0
0.0138768, 0, 2.50953e-17, 0, 1.41421, -2.50953e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07889e-19, 0, 0, 6.73739e-22, 2.84627e-19, 0, 2.47021e-17, 0, 0
0.0217395, 0, 4.48465e-17, 0, 1.41421, -4.48465e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92756e-19, 0, 0, 1.22346e-21, 5.19179e-19, 0, 4.41334e-17, 0, 0
0.0296023, 0, 7.95823e-17, 0, 1.41421, -7.95823e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4197e-19, 0, 0, 2.20654e-21, 9.40784e-19, 0, 7.82973e-17, 0, 0
0.0374651, 0, 1.40252e-16, 0, 1.41421, -1.40252e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.02517e-19, 0, 0, 3.95294e-21, 1.69386e-18, 0, 1.37952e-16, 0, 0
0.0453279, 0, 2.455e-16, 0, 1.41421, -2.455e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05437e-18, 0, 0, 7.03486e-21, 3.03056e-18, 0, 2.41408e-16, 0, 0
0.0531907, 0, 4.26863e-16, 0, 1.41421, -4.26863e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83277e-18, 0, 0, 1.24385e-20, 5.38869e-18, 0, 4.19629e-16, 0, 0
0.0610535, 0, 7.37328e-16, 0, 1.41421, -7.37328e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16483e-18, 0, 0, 2.18525e-20, 9.52385e-18, 0, 7.24617e-16, 0, 0
0.0689163, 0, 1.26533e-15, 0, 1.41421, -1.26533e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.42949e-18, 0, 0, 3.81501e-20, 1.67324e-17, 0, 1.24313e-15, 0, 0
0.0767791, 0, 2.15754e-15, 0, 1.41421, -2.15754e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.25486e-18, 0, 0, 6.61899e-20, 2.92262e-17, 0, 2.11899e-15, 0, 0
0.0846419, 0, 3.65555e-15, 0, 1.41421, -3.65555e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56753e-17, 0, 0, 1.14137e-19, 5.0757e-17, 0, 3.58901e-15, 0, 0
0.0925046, 0, 6.15487e-15, 0, 1.41421, -6.15487e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6383e-17, 0, 0, 1.95627e-19, 8.7654e-17, 0, 6.04064e-15, 0, 0
0.100367, 0, 1.02988e-14, 0, 1.41421, -1.02988e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41291e-17, 0, 0, 3.33307e-19, 1.50536e-16, 0, 1.01038e-14, 0, 0
0.10823, 0, 1.71268e-14, 0, 1.41421, -1.71268e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.33572e-17, 0, 0, 5.64552e-19, 2.5712e-16, 0, 1.67958e-14, 0, 0
0.116093, 0, 2.83086e-14, 0, 1.41421, -2.83086e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.212e-16, 0, 0, 9.50691e-19, 4.36812e-16, 0, 2.77497e-14, 0, 0
0.123956, 0, 4.65086e-14, 0, 1.41421, -4.65086e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99032e-16, 0, 0, 1.59178e-18, 7.38158e-16, 0, 4.55699e-14, 0, 0
0.131819, 0, 7.59528e-14, 0, 1.41421, -7.59528e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24885e-16, 0, 0, 2.65012e-18, 1.24088e-15, 0, 7.43844e-14, 0, 0
0.139681, 0, 1.23301e-13, 0, 1.41421, -1.23301e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.27156e-16, 0, 0, 4.38752e-18, 2.07523e-15, 0, 1.20694e-13, 0, 0
0.147544, 0, 1.98986e-13, 0, 1.41421, -1.98986e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.50296e-16, 0, 0, 7.22394e-18, 3.45292e-15, 0, 1.94676e-13, 0, 0
0.155407, 0, 3.19249e-13, 0, 1.41421, -3.19249e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36345e-15, 0, 0, 1.18295e-17, 5.71671e-15, 0, 3.12157e-13, 0, 0
0.16327, 0, 5.09217e-13, 0, 1.41421, -5.09217e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17351e-15, 0, 0, 1.92677e-17, 9.41799e-15, 0, 4.97606e-13, 0, 0
0.171133, 0, 8.07527e-13, 0, 1.41421, -8.07527e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4447e-15, 0, 0, 3.12178e-17, 1.54401e-14, 0, 7.88611e-13, 0, 0
0.178995, 0, 1.27324e-12, 0, 1.41421, -1.27324e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.42781e-15, 0, 0, 5.03185e-17, 2.51915e-14, 0, 1.24257e-12, 0, 0
0.186858, 0, 1.99605e-12, 0, 1.41421, -1.99605e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.50342e-15, 0, 0, 8.06977e-17, 4.09072e-14, 0, 1.94656e-12, 0, 0
0.194721, 0, 3.11141e-12, 0, 1.41421, -3.11141e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32456e-14, 0, 0, 1.2878e-16, 6.61181e-14, 0, 3.03191e-12, 0, 0
0.202584, 0, 4.8226e-12, 0, 1.41421, -4.8226e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0515e-14, 0, 0, 2.04526e-16, 1.06378e-13, 0, 4.6955e-12, 0, 0
0.210446, 0, 7.43284e-12, 0, 1.41421, -7.43284e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1594e-14, 0, 0, 3.23311e-16, 1.70384e-13, 0, 7.23053e-12, 0, 0
0.218309, 0, 1.13918e-11, 0, 1.41421, -1.13918e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.8382e-14, 0, 0, 5.0879e-16, 2.71703e-13, 0, 1.10712e-11, 0, 0
0.226172, 0, 1.73622e-11, 0, 1.41421, -1.73622e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.36749e-14, 0, 0, 7.97222e-16, 4.31407e-13, 0, 1.68563e-11, 0, 0
0.234035, 0, 2.63152e-11, 0, 1.41421, -2.63152e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11564e-13, 0, 0, 1.24403e-15, 6.82111e-13, 0, 2.55203e-11, 0, 0
0.241898, 0, 3.96653e-11, 0, 1.41421, -3.96653e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68001e-13, 0, 0, 1.93372e-15, 1.07411e-12, 0, 3.84213e-11, 0, 0
0.24976, 0, 5.94608e-11, 0, 1.41421, -5.94608e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5159e-13, 0, 0, 2.99484e-15, 1.68469e-12, 0, 5.75215e-11, 0, 0
0.257623, 0, 8.86503e-11, 0, 1.41421, -8.86503e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74698e-13, 0, 0, 4.62262e-15, 2.63225e-12, 0, 8.56388e-11, 0, 0
0.265486, 0, 1.31454e-10, 1.26117e-44, 1.41421, -1.31454e-10, 1.26117e-44, 0, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 5.54995e-13, 1.26117e-44, 1.26117e-44, 7.11324e-15, 4.0976e-12, 1.26117e-44, 1.26794e-10, 1.26117e-44, 1.26117e-44
0.273349, 0, 1.93878e-10, 2.45227e-43, 1.41421, -1.93878e-10, 2.45227e-43, 0, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 2.45227e-43, 8.17579e-13, 2.45227e-43, 2.45227e-43, 1.09156e-14, 6.35615e-12, 2.45227e-43, 1.86693e-10, 2.45227e-43, 2.45227e-43
0.281212, 0, 2.8442e-10, 3.57191e-42, 1.41421, -2.8442e-10, 3.57191e-42, 0, 3.57191e-42, 3.57191e-42, 3.57191e-42, 3.57191e-42, 3.57191e-42, 3.57191e-42, 3.57191e-42, 3.57191e-42, 3.57191e-42, 3.57191e-42, 3.57191e-42, 3.57191e-42, 1.1979e-12, 3.57191e-42, 3.57191e-42, 1.671e-14, 9.8263e-12, 3.57191e-42, 2.73379e-10, 3.57191e-42, 3.57191e-42
0.289074, 0, 4.15039e-10, 4.76848e-41, 1.41421, -4.15039e-10, 4.76848e-41, 0, 4.76848e-41, 4.76848e-41, 4.76848e-41, 4.76848e-41, 4.76848e-41, 4.76848e-41, 4.76848e-41, 4.76848e-41, 4.76848e-41, 4.76848e-41, 4.76848e-41, 4.76848e-41, 1.74573e-12, 4.76848e-41, 4.76848e-41, 2.55274e-14, 1.51422e-11, 4.76848e-41, 3.98126e-10, 4.76848e-41, 4.76848e-41
0.296937, 0, 6.02469e-10, 5.71284e-40, 1.41421, -6.02469e-10, 5.71284e-40, 0, 5.71284e-40, 5.71284e-40, 5.71284e-40, 5.71284e-40, 5.71284e-40, 5.71284e-40, 5.71284e-40, 5.71284e-40, 5.71284e-40, 5.71284e-40, 5.71284e-40, 5.71284e-40, 2.53054e-12, 5.71284e-40, 5.71284e-40, 3.89307e-14, 2.32628e-11, 5.71284e-40, 5.76637e-10, 5.71284e-40, 5.71284e-40
