   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_138.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00473656, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00313704, 0, 1.40511e-18, 0, 1.41421, -1.40511e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.69633e-21, 0, 0, 1.87339e-23, 1.55772e-20, 0, 1.38382e-18, 0, 0
0.0110106, 0, 2.70746e-18, 0, 1.41421, -2.70746e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09735e-20, 0, 0, 3.66133e-23, 3.06492e-20, 0, 2.6658e-18, 0, 0
0.0188842, 0, 5.17054e-18, 0, 1.41421, -5.17054e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09513e-20, 0, 0, 7.09325e-23, 5.97755e-20, 0, 5.08974e-18, 0, 0
0.0267578, 0, 9.78878e-18, 0, 1.41421, -9.78878e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96547e-20, 0, 0, 1.36253e-22, 1.15589e-19, 0, 9.6334e-18, 0, 0
0.0346314, 0, 1.83749e-17, 0, 1.41421, -1.83749e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.44183e-20, 0, 0, 2.59558e-22, 2.21667e-19, 0, 1.80786e-17, 0, 0
0.042505, 0, 3.42063e-17, 0, 1.41421, -3.42063e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38498e-19, 0, 0, 4.90442e-22, 4.21677e-19, 0, 3.36457e-17, 0, 0
0.0503786, 0, 6.31606e-17, 0, 1.41421, -6.31606e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55661e-19, 0, 0, 9.19362e-22, 7.95874e-19, 0, 6.21082e-17, 0, 0
0.0582522, 0, 1.15694e-16, 0, 1.41421, -1.15694e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6817e-19, 0, 0, 1.71001e-21, 1.49066e-18, 0, 1.13733e-16, 0, 0
0.0661258, 0, 2.10263e-16, 0, 1.41421, -2.10263e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.50602e-19, 0, 0, 3.15642e-21, 2.77115e-18, 0, 2.06638e-16, 0, 0
0.0739994, 0, 3.79194e-16, 0, 1.41421, -3.79194e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53352e-18, 0, 0, 5.78271e-21, 5.11408e-18, 0, 3.7254e-16, 0, 0
0.081873, 0, 6.78669e-16, 0, 1.41421, -6.78669e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74375e-18, 0, 0, 1.05165e-20, 9.37066e-18, 0, 6.66544e-16, 0, 0
0.0897466, 0, 1.20561e-15, 0, 1.41421, -1.20561e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87241e-18, 0, 0, 1.89873e-20, 1.70504e-17, 0, 1.18366e-15, 0, 0
0.0976202, 0, 2.12592e-15, 0, 1.41421, -2.12592e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.58877e-18, 0, 0, 3.40377e-20, 3.08124e-17, 0, 2.08649e-15, 0, 0
0.105494, 0, 3.7216e-15, 0, 1.41421, -3.7216e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50297e-17, 0, 0, 6.05917e-20, 5.53098e-17, 0, 3.6512e-15, 0, 0
0.113367, 0, 6.46835e-15, 0, 1.41421, -6.46835e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61122e-17, 0, 0, 1.07119e-19, 9.8633e-17, 0, 6.3435e-15, 0, 0
0.121241, 0, 1.11629e-14, 0, 1.41421, -1.11629e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.50451e-17, 0, 0, 1.88088e-19, 1.7476e-16, 0, 1.09429e-14, 0, 0
0.129115, 0, 1.913e-14, 0, 1.41421, -1.913e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.71606e-17, 0, 0, 3.28056e-19, 3.07687e-16, 0, 1.87448e-14, 0, 0
0.136988, 0, 3.25567e-14, 0, 1.41421, -3.25567e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31257e-16, 0, 0, 5.6842e-19, 5.38364e-16, 0, 3.18865e-14, 0, 0
0.144862, 0, 5.50282e-14, 0, 1.41421, -5.50282e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21747e-16, 0, 0, 9.78508e-19, 9.3624e-16, 0, 5.38693e-14, 0, 0
0.152735, 0, 9.23802e-14, 0, 1.41421, -9.23802e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72075e-16, 0, 0, 1.67369e-18, 1.6184e-15, 0, 9.0388e-14, 0, 0
0.160609, 0, 1.54045e-13, 0, 1.41421, -1.54045e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.20105e-16, 0, 0, 2.8447e-18, 2.78109e-15, 0, 1.50641e-13, 0, 0
0.168483, 0, 2.55162e-13, 0, 1.41421, -2.55162e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02657e-15, 0, 0, 4.805e-18, 4.75131e-15, 0, 2.4938e-13, 0, 0
0.176356, 0, 4.19865e-13, 0, 1.41421, -4.19865e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68819e-15, 0, 0, 8.06648e-18, 8.07078e-15, 0, 4.10098e-13, 0, 0
0.18423, 0, 6.86358e-13, 0, 1.41421, -6.86358e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75795e-15, 0, 0, 1.34602e-17, 1.36332e-14, 0, 6.69954e-13, 0, 0
0.192103, 0, 1.11471e-12, 0, 1.41421, -1.11471e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.47616e-15, 0, 0, 2.23276e-17, 2.29023e-14, 0, 1.08731e-12, 0, 0
0.199977, 0, 1.7987e-12, 0, 1.41421, -1.7987e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21765e-15, 0, 0, 3.68214e-17, 3.82646e-14, 0, 1.75318e-12, 0, 0
0.207851, 0, 2.88378e-12, 0, 1.41421, -2.88378e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15632e-14, 0, 0, 6.03784e-17, 6.35907e-14, 0, 2.80857e-12, 0, 0
0.215724, 0, 4.59402e-12, 0, 1.41421, -4.59402e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84062e-14, 0, 0, 9.84572e-17, 1.05127e-13, 0, 4.47039e-12, 0, 0
0.223598, 0, 7.27219e-12, 0, 1.41421, -7.27219e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91121e-14, 0, 0, 1.59685e-16, 1.72901e-13, 0, 7.07002e-12, 0, 0
0.231471, 0, 1.14393e-11, 0, 1.41421, -1.14393e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.57535e-14, 0, 0, 2.57632e-16, 2.82943e-13, 0, 1.11103e-11, 0, 0
0.239345, 0, 1.78818e-11, 0, 1.41421, -1.78818e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.14546e-14, 0, 0, 4.13553e-16, 4.60752e-13, 0, 1.73491e-11, 0, 0
0.247219, 0, 2.77789e-11, 0, 1.41421, -2.77789e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10894e-13, 0, 0, 6.60615e-16, 7.46718e-13, 0, 2.69206e-11, 0, 0
0.255092, 0, 4.28877e-11, 0, 1.41421, -4.28877e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7103e-13, 0, 0, 1.05039e-15, 1.20456e-12, 0, 4.1511e-11, 0, 0
0.262966, 0, 6.58079e-11, 0, 1.41421, -6.58079e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62142e-13, 0, 0, 1.66282e-15, 1.93441e-12, 0, 6.36097e-11, 0, 0
0.270839, 0, 1.00362e-10, 0, 1.41421, -1.00362e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9932e-13, 0, 0, 2.62154e-15, 3.09303e-12, 0, 9.68674e-11, 0, 0
0.278713, 0, 1.52136e-10, 0, 1.41421, -1.52136e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04563e-13, 0, 0, 4.11731e-15, 4.9251e-12, 0, 1.46602e-10, 0, 0
0.286587, 0, 2.29233e-10, 1.41531e-43, 1.41421, -2.29233e-10, 1.41531e-43, 0, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 9.09733e-13, 1.41531e-43, 1.41531e-43, 6.44413e-15, 7.81123e-12, 1.41531e-43, 2.20506e-10, 1.41531e-43, 1.41531e-43
