   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_140.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00262946, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00523533, 0, 4.80861e-18, 0, 1.41421, -4.80861e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37131e-20, 0, 4.45517e-23, 8.50879e-20, 0, 4.70976e-18, 0, 0
0.0131001, 0, 8.97025e-18, 0, 1.41421, -8.97025e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55721e-20, 0, 8.43782e-23, 1.61894e-19, 0, 8.7827e-18, 0, 0
0.0209649, 0, 1.65998e-17, 0, 1.41421, -1.65998e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73046e-20, 0, 1.58556e-22, 3.05653e-19, 0, 1.62467e-17, 0, 0
0.0288297, 0, 3.04781e-17, 0, 1.41421, -3.04781e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.682e-20, 0, 2.95661e-22, 5.72735e-19, 0, 2.98182e-17, 0, 0
0.0366945, 0, 5.55299e-17, 0, 1.41421, -5.55299e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58119e-19, 0, 5.47192e-22, 1.06535e-18, 0, 5.43059e-17, 0, 0
0.0445592, 0, 1.00411e-16, 0, 1.41421, -1.00411e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85798e-19, 0, 1.00527e-21, 1.9675e-18, 0, 9.8157e-17, 0, 0
0.052424, 0, 1.80224e-16, 0, 1.41421, -1.80224e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.12742e-19, 0, 1.83352e-21, 3.60829e-18, 0, 1.76101e-16, 0, 0
0.0602888, 0, 3.21121e-16, 0, 1.41421, -3.21121e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.13183e-19, 0, 3.32051e-21, 6.57226e-18, 0, 3.13632e-16, 0, 0
0.0681536, 0, 5.6807e-16, 0, 1.41421, -5.6807e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61467e-18, 0, 5.97159e-21, 1.1891e-17, 0, 5.54558e-16, 0, 0
0.0760184, 0, 9.97829e-16, 0, 1.41421, -9.97829e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8348e-18, 0, 1.06657e-20, 2.13734e-17, 0, 9.7361e-16, 0, 0
0.0838832, 0, 1.74051e-15, 0, 1.41421, -1.74051e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94214e-18, 0, 1.89213e-20, 3.81709e-17, 0, 1.69738e-15, 0, 0
0.0917479, 0, 3.01508e-15, 0, 1.41421, -3.01508e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.55656e-18, 0, 3.33436e-20, 6.77405e-17, 0, 2.93875e-15, 0, 0
0.0996127, 0, 5.18752e-15, 0, 1.41421, -5.18752e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47133e-17, 0, 5.83733e-20, 1.19472e-16, 0, 5.05327e-15, 0, 0
0.107478, 0, 8.86534e-15, 0, 1.41421, -8.86534e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51294e-17, 0, 1.0153e-19, 2.0943e-16, 0, 8.63068e-15, 0, 0
0.115342, 0, 1.505e-14, 0, 1.41421, -1.505e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2633e-17, 0, 1.75468e-19, 3.64927e-16, 0, 1.46423e-14, 0, 0
0.123207, 0, 2.53812e-14, 0, 1.41421, -2.53812e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.18505e-17, 0, 3.01342e-19, 6.32135e-16, 0, 2.4677e-14, 0, 0
0.131072, 0, 4.25259e-14, 0, 1.41421, -4.25259e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20299e-16, 0, 5.14297e-19, 1.08866e-15, 0, 4.13164e-14, 0, 0
0.138937, 0, 7.07913e-14, 0, 1.41421, -7.07913e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00108e-16, 0, 8.72359e-19, 1.86416e-15, 0, 6.87262e-14, 0, 0
0.146801, 0, 1.1709e-13, 0, 1.41421, -1.1709e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30721e-16, 0, 1.47075e-18, 3.17414e-15, 0, 1.13584e-13, 0, 0
0.154666, 0, 1.92441e-13, 0, 1.41421, -1.92441e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43095e-16, 0, 2.4648e-18, 5.37467e-15, 0, 1.86521e-13, 0, 0
0.162531, 0, 3.14292e-13, 0, 1.41421, -3.14292e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.86192e-16, 0, 4.10638e-18, 9.05092e-15, 0, 3.04351e-13, 0, 0
0.170396, 0, 5.10091e-13, 0, 1.41421, -5.10091e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43693e-15, 0, 6.80158e-18, 1.51606e-14, 0, 4.93487e-13, 0, 0
