   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_155.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0264487, 0, 8.65459e-18, 0, 1.41421, -8.65459e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.04562e-20, 0, 1.39205e-22, 2.83518e-21, 0, 8.57116e-18, 0, 0, 0
0.0341821, 0, 1.56998e-17, 0, 1.41421, -1.56998e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4595e-19, 0, 2.56164e-22, 5.24291e-21, 0, 1.55484e-17, 0, 0, 0
0.0419155, 0, 2.82726e-17, 0, 1.41421, -2.82726e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62829e-19, 0, 4.68032e-22, 9.62714e-21, 0, 2.79997e-17, 0, 0, 0
0.0496489, 0, 5.05508e-17, 0, 1.41421, -5.05508e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69928e-19, 0, 8.49184e-22, 1.75566e-20, 0, 5.00624e-17, 0, 0, 0
0.0573823, 0, 8.97514e-17, 0, 1.41421, -8.97514e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.34338e-19, 0, 1.53025e-21, 3.18038e-20, 0, 8.88837e-17, 0, 0, 0
0.0651157, 0, 1.58258e-16, 0, 1.41421, -1.58258e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47117e-18, 0, 2.73919e-21, 5.72386e-20, 0, 1.56726e-16, 0, 0, 0
0.072849, 0, 2.77171e-16, 0, 1.41421, -2.77171e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57657e-18, 0, 4.8712e-21, 1.02361e-19, 0, 2.74488e-16, 0, 0, 0
0.0805824, 0, 4.82216e-16, 0, 1.41421, -4.82216e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48262e-18, 0, 8.60708e-21, 1.81919e-19, 0, 4.77543e-16, 0, 0, 0
0.0883158, 0, 8.33468e-16, 0, 1.41421, -8.33468e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74775e-18, 0, 1.51123e-20, 3.21353e-19, 0, 8.25384e-16, 0, 0, 0
0.0960492, 0, 1.4313e-15, 0, 1.41421, -1.4313e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3305e-17, 0, 2.63699e-20, 5.64286e-19, 0, 1.41741e-15, 0, 0, 0
0.103783, 0, 2.44233e-15, 0, 1.41421, -2.44233e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2703e-17, 0, 4.57328e-20, 9.85104e-19, 0, 2.4186e-15, 0, 0, 0
0.111516, 0, 4.14138e-15, 0, 1.41421, -4.14138e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.84963e-17, 0, 7.88366e-20, 1.70992e-18, 0, 4.1011e-15, 0, 0, 0
0.119249, 0, 6.97884e-15, 0, 1.41421, -6.97884e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48713e-17, 0, 1.35097e-19, 2.95141e-18, 0, 6.91088e-15, 0, 0, 0
0.126983, 0, 1.16882e-14, 0, 1.41421, -1.16882e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08645e-16, 0, 2.30156e-19, 5.06618e-18, 0, 1.15742e-14, 0, 0, 0
0.134716, 0, 1.94563e-14, 0, 1.41421, -1.94563e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80851e-16, 0, 3.89846e-19, 8.64911e-18, 0, 1.92664e-14, 0, 0, 0
0.14245, 0, 3.21921e-14, 0, 1.41421, -3.21921e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99231e-16, 0, 6.56586e-19, 1.46871e-17, 0, 3.18775e-14, 0, 0, 0
0.150183, 0, 5.29463e-14, 0, 1.41421, -5.29463e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92141e-16, 0, 1.09964e-18, 2.48092e-17, 0, 5.24283e-14, 0, 0, 0
0.157916, 0, 8.6564e-14, 0, 1.41421, -8.6564e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.04616e-16, 0, 1.83147e-18, 4.16899e-17, 0, 8.57159e-14, 0, 0, 0
0.16565, 0, 1.40693e-13, 0, 1.41421, -1.40693e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30774e-15, 0, 3.03369e-18, 6.96982e-17, 0, 1.39313e-13, 0, 0, 0
0.173383, 0, 2.27331e-13, 0, 1.41421, -2.27331e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11304e-15, 0, 4.99804e-18, 1.15935e-16, 0, 2.25097e-13, 0, 0, 0
0.181117, 0, 3.65181e-13, 0, 1.41421, -3.65181e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39438e-15, 0, 8.19066e-18, 1.91901e-16, 0, 3.61586e-13, 0, 0, 0
0.18885, 0, 5.83224e-13, 0, 1.41421, -5.83224e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.42116e-15, 0, 1.33526e-17, 3.16096e-16, 0, 5.77473e-13, 0, 0, 0
0.196583, 0, 9.26091e-13, 0, 1.41421, -9.26091e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60831e-15, 0, 2.16562e-17, 5.1817e-16, 0, 9.16943e-13, 0, 0, 0
0.204317, 0, 1.46209e-12, 0, 1.41421, -1.46209e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3591e-14, 0, 3.49469e-17, 8.45417e-16, 0, 1.44762e-12, 0, 0, 0
0.21205, 0, 2.29513e-12, 0, 1.41421, -2.29513e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13353e-14, 0, 5.61176e-17, 1.37294e-15, 0, 2.27236e-12, 0, 0, 0
0.219784, 0, 3.58229e-12, 0, 1.41421, -3.58229e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33025e-14, 0, 8.96829e-17, 2.21948e-15, 0, 3.54668e-12, 0, 0, 0
