   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_158.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0106372, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00273654, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00516414, 0, 2.33377e-19, 0, 1.41421, -2.33377e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26608e-21, 0, 0, 5.30458e-24, 2.87853e-23, 0, 2.31076e-19, 0, 0, 0
0.0130648, 0, 4.73715e-19, 0, 1.41421, -4.73715e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59975e-21, 0, 0, 1.09599e-23, 5.9596e-23, 0, 4.69045e-19, 0, 0, 0
0.0209655, 0, 9.51272e-19, 0, 1.41421, -9.51272e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.23677e-21, 0, 0, 2.24032e-23, 1.22067e-22, 0, 9.41891e-19, 0, 0, 0
0.0288662, 0, 1.89045e-18, 0, 1.41421, -1.89045e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8356e-20, 0, 0, 4.53217e-23, 2.4745e-22, 0, 1.8718e-18, 0, 0, 0
0.0367669, 0, 3.71898e-18, 0, 1.41421, -3.71898e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61108e-20, 0, 0, 9.07678e-23, 4.96629e-22, 0, 3.68229e-18, 0, 0, 0
0.0446675, 0, 7.37084e-18, 0, 1.41421, -7.37084e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.15695e-20, 0, 0, 1.84088e-22, 1.01034e-21, 0, 7.29807e-18, 0, 0, 0
0.0525682, 0, 1.41956e-17, 0, 1.41421, -1.41956e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37836e-19, 0, 0, 3.60891e-22, 1.98543e-21, 0, 1.40554e-17, 0, 0, 0
0.0604689, 0, 2.70888e-17, 0, 1.41421, -2.70888e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63025e-19, 0, 0, 7.01105e-22, 3.86695e-21, 0, 2.68212e-17, 0, 0, 0
0.0683696, 0, 5.12283e-17, 0, 1.41421, -5.12283e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97412e-19, 0, 0, 1.35e-21, 7.4664e-21, 0, 5.07221e-17, 0, 0, 0
0.0762702, 0, 9.60272e-17, 0, 1.41421, -9.60272e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.32393e-19, 0, 0, 2.57702e-21, 1.42949e-20, 0, 9.50779e-17, 0, 0, 0
0.0841709, 0, 1.78449e-16, 0, 1.41421, -1.78449e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73267e-18, 0, 0, 4.87763e-21, 2.71437e-20, 0, 1.76684e-16, 0, 0, 0
