   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_166.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0114459, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00354389, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00435815, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0122602, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0201622, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0280643, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0359663, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0438683, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0517704, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0596724, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0675745, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0754765, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0833785, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0912806, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0991826, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.107085, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.114987, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.122889, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.130791, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.138693, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.146595, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.154497, 0, 1.08461e-29, 0, 1.41421, -1.08461e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.28348e-32, 0, 0, 1.01886e-34, 3.39871e-35, 0, 1.07832e-29, 0, 0, 0
0.162399, 0, 1.29329e-28, 0, 1.41421, -1.29329e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.49204e-31, 0, 0, 1.21483e-33, 6.74149e-33, 0, 1.28572e-28, 0, 0, 0
0.170301, 0, 9.6775e-28, 0, 1.41421, -9.6775e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.60602e-30, 0, 0, 9.09011e-33, 7.81139e-32, 0, 9.62057e-28, 0, 0, 0
0.178203, 0, 5.7803e-27, 0, 1.41421, -5.7803e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34837e-29, 0, 0, 5.43264e-32, 5.78052e-31, 0, 5.74619e-27, 0, 0, 0
0.186105, 0, 3.00092e-26, 0, 1.41421, -3.00092e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73833e-28, 0, 0, 2.82547e-31, 3.43072e-30, 0, 2.98316e-26, 0, 0, 0
0.194007, 0, 1.4107e-25, 0, 1.41421, -1.4107e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.17161e-28, 0, 0, 1.33234e-30, 1.77354e-29, 0, 1.40234e-25, 0, 0, 0
0.201909, 0, 6.14415e-25, 0, 1.41421, -6.14415e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55901e-27, 0, 0, 5.82467e-30, 8.31021e-29, 0, 6.10767e-25, 0, 0, 0
0.209811, 0, 2.51515e-24, 0, 1.41421, -2.51515e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45689e-26, 0, 0, 2.3943e-29, 3.60989e-28, 0, 2.5002e-24, 0, 0, 0
0.217713, 0, 9.77108e-24, 0, 1.41421, -9.77108e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.65983e-26, 0, 0, 9.34315e-29, 1.47446e-27, 0, 9.71291e-24, 0, 0, 0
0.225615, 0, 3.62733e-23, 0, 1.41421, -3.62733e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10109e-25, 0, 0, 3.48488e-28, 5.71715e-27, 0, 3.60571e-23, 0, 0, 0
0.233517, 0, 1.29339e-22, 0, 1.41421, -1.29339e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.49175e-25, 0, 0, 1.24879e-27, 2.11884e-26, 0, 1.28567e-22, 0, 0, 0
0.241419, 0, 4.44724e-22, 0, 1.41421, -4.44724e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57598e-24, 0, 0, 4.3164e-27, 7.5441e-26, 0, 4.42068e-22, 0, 0, 0
0.249321, 0, 1.47925e-21, 0, 1.41421, -1.47925e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.56823e-24, 0, 0, 1.44363e-26, 2.59072e-25, 0, 1.47041e-21, 0, 0, 0
0.257223, 0, 4.7718e-21, 0, 1.41421, -4.7718e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76395e-23, 0, 0, 4.68379e-26, 8.6078e-25, 0, 4.74325e-21, 0, 0, 0
0.265125, 0, 1.496e-20, 0, 1.41421, -1.496e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.66518e-23, 0, 0, 1.4773e-25, 2.77417e-24, 0, 1.48704e-20, 0, 0, 0
0.273027, 0, 4.56615e-20, 0, 1.41421, -4.56615e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6448e-22, 0, 0, 4.53773e-25, 8.69069e-24, 0, 4.53879e-20, 0, 0, 0
0.280929, 0, 1.35888e-19, 0, 1.41421, -1.35888e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.87085e-22, 0, 0, 1.35942e-24, 2.65104e-23, 0, 1.35073e-19, 0, 0, 0
0.288832, 0, 4.07812e-19, 0, 1.41421, -4.07812e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3621e-21, 0, 0, 4.11832e-24, 8.19898e-23, 0, 4.05363e-19, 0, 0, 0
0.296734, 0, 1.1522e-18, 0, 1.41421, -1.1522e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.67367e-21, 0, 0, 1.17198e-23, 2.36772e-22, 0, 1.14528e-18, 0, 0, 0
0.304636, 0, 3.18669e-18, 0, 1.41421, -3.18669e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84575e-20, 0, 0, 3.26604e-23, 6.68908e-22, 0, 3.16753e-18, 0, 0, 0
0.312538, 0, 8.63377e-18, 0, 1.41421, -8.63377e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00067e-20, 0, 0, 8.91955e-23, 1.85022e-21, 0, 8.58182e-18, 0, 0, 0
0.32044, 0, 2.29288e-17, 0, 1.41421, -2.29288e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32802e-19, 0, 0, 2.38874e-22, 5.01435e-21, 0, 2.27908e-17, 0, 0, 0
0.328342, 0, 5.97205e-17, 0, 1.41421, -5.97205e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45889e-19, 0, 0, 6.27695e-22, 1.33235e-20, 0, 5.93607e-17, 0, 0, 0
