   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_203.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00210425, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00576162, 0, 5.46226e-17, 0, 1.41421, -5.46226e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34736e-19, 0, 0, 1.17832e-21, 0, 6.36096e-21, 0, 5.44803e-17, 0, 0, 0
0.0136275, 0, 1.01916e-16, 0, 1.41421, -1.01916e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51393e-19, 0, 0, 2.23392e-21, 0, 1.21045e-20, 0, 1.01651e-16, 0, 0, 0
0.0214933, 0, 1.88627e-16, 0, 1.41421, -1.88627e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.65278e-19, 0, 0, 4.2018e-21, 0, 2.28556e-20, 0, 1.88135e-16, 0, 0, 0
0.0293592, 0, 3.46361e-16, 0, 1.41421, -3.46361e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54349e-19, 0, 0, 7.8423e-21, 0, 4.28308e-20, 0, 3.45456e-16, 0, 0, 0
0.0372251, 0, 6.31081e-16, 0, 1.41421, -6.31081e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55665e-18, 0, 0, 1.45266e-20, 0, 7.96749e-20, 0, 6.2943e-16, 0, 0, 0
0.0450909, 0, 1.14113e-15, 0, 1.41421, -1.14113e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81474e-18, 0, 0, 2.67093e-20, 0, 1.47151e-19, 0, 1.13814e-15, 0, 0, 0
0.0529568, 0, 2.04801e-15, 0, 1.41421, -2.04801e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05168e-18, 0, 0, 4.87527e-20, 0, 2.69869e-19, 0, 2.04264e-15, 0, 0, 0
0.0608227, 0, 3.64866e-15, 0, 1.41421, -3.64866e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.99984e-18, 0, 0, 8.83544e-20, 0, 4.91539e-19, 0, 3.63908e-15, 0, 0, 0
0.0686885, 0, 6.4534e-15, 0, 1.41421, -6.4534e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5918e-17, 0, 0, 1.59003e-19, 0, 8.89293e-19, 0, 6.43643e-15, 0, 0, 0
