   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_247.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0618555, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0537265, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0455975, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0374686, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0293396, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0212106, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0130816, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00495266, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00317631, 0, 1.39952e-27, 0, 1.41421, -1.39952e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45569e-30, 0, 0, 6.5378e-33, 3.25072e-32, 0, 1.39603e-27, 0, 0
0.0113053, 0, 8.33988e-27, 0, 1.41421, -8.33988e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05925e-29, 0, 0, 3.89588e-32, 3.09159e-31, 0, 8.31893e-27, 0, 0
0.0194343, 0, 3.9885e-26, 0, 1.41421, -3.9885e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.84813e-29, 0, 0, 1.86316e-31, 1.86349e-30, 0, 3.97844e-26, 0, 0
0.0275632, 0, 1.66861e-25, 0, 1.41421, -1.66861e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11999e-28, 0, 0, 7.80803e-31, 9.00043e-30, 0, 1.66439e-25, 0, 0
0.0356922, 0, 6.36441e-25, 0, 1.41421, -6.36441e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57144e-27, 0, 0, 2.98822e-30, 3.79601e-29, 0, 6.34829e-25, 0, 0
0.0438212, 0, 2.26507e-24, 0, 1.41421, -2.26507e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.59266e-27, 0, 0, 1.06836e-29, 1.45765e-28, 0, 2.25932e-24, 0, 0
0.0519501, 0, 7.63051e-24, 0, 1.41421, -7.63051e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88403e-26, 0, 0, 3.61839e-29, 5.21935e-28, 0, 7.61112e-24, 0, 0
0.0600791, 0, 2.45651e-23, 0, 1.41421, -2.45651e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06531e-26, 0, 0, 1.17175e-28, 1.76825e-27, 0, 2.45026e-23, 0, 0
0.0682081, 0, 7.60836e-23, 0, 1.41421, -7.60836e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87855e-25, 0, 0, 3.65193e-28, 5.72305e-27, 0, 7.58897e-23, 0, 0
0.0763371, 0, 2.27828e-22, 0, 1.41421, -2.27828e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.62519e-25, 0, 0, 1.10075e-27, 1.78161e-26, 0, 2.27246e-22, 0, 0
0.0844661, 0, 6.62058e-22, 0, 1.41421, -6.62058e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63465e-24, 0, 0, 3.22064e-27, 5.36132e-26, 0, 6.60366e-22, 0, 0
