   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_260.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00760885, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000261234, 0, 1.29805e-18, 0, 1.41421, -1.29805e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55644e-20, 0, 0, 1.70325e-22, 2.24276e-19, 0, 1.05804e-18, 0, 0, 0
0.00813132, 0, 2.4932e-18, 0, 1.41421, -2.4932e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97961e-20, 0, 0, 3.31625e-22, 4.37595e-19, 0, 2.02548e-18, 0, 0, 0
0.0160014, 0, 4.74726e-18, 0, 1.41421, -4.74726e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.65413e-20, 0, 0, 6.40084e-22, 8.46514e-19, 0, 3.84356e-18, 0, 0, 0
0.0238715, 0, 8.96289e-18, 0, 1.41421, -8.96289e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06377e-19, 0, 0, 1.22504e-21, 1.62398e-18, 0, 7.2313e-18, 0, 0, 0
0.0317416, 0, 1.67828e-17, 0, 1.41421, -1.67828e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9847e-19, 0, 0, 2.32533e-21, 3.09043e-18, 0, 1.34916e-17, 0, 0, 0
0.0396116, 0, 3.11729e-17, 0, 1.41421, -3.11729e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6727e-19, 0, 0, 4.37841e-21, 5.83502e-18, 0, 2.49663e-17, 0, 0, 0
0.0474817, 0, 5.7447e-17, 0, 1.41421, -5.7447e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.74212e-19, 0, 0, 8.17962e-21, 1.09331e-17, 0, 4.58315e-17, 0, 0, 0
0.0553518, 0, 1.05052e-16, 0, 1.41421, -1.05052e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22798e-18, 0, 0, 1.51636e-20, 2.0333e-17, 0, 8.34757e-17, 0, 0, 0
0.0632219, 0, 1.90659e-16, 0, 1.41421, -1.90659e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21941e-18, 0, 0, 2.78994e-20, 3.75402e-17, 0, 1.50871e-16, 0, 0, 0
0.071092, 0, 3.43467e-16, 0, 1.41421, -3.43467e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.98097e-18, 0, 0, 5.09527e-20, 6.88172e-17, 0, 2.70618e-16, 0, 0, 0
0.0789621, 0, 6.1426e-16, 0, 1.41421, -6.1426e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08762e-18, 0, 0, 9.23812e-20, 1.25278e-16, 0, 4.81802e-16, 0, 0, 0
0.0868321, 0, 1.09071e-15, 0, 1.41421, -1.09071e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25262e-17, 0, 0, 1.66301e-19, 2.26511e-16, 0, 8.51509e-16, 0, 0, 0
0.0947022, 0, 1.92314e-15, 0, 1.41421, -1.92314e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19783e-17, 0, 0, 2.97269e-19, 4.06819e-16, 0, 1.49404e-15, 0, 0, 0
0.102572, 0, 3.36745e-15, 0, 1.41421, -3.36745e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82881e-17, 0, 0, 5.27711e-19, 7.2588e-16, 0, 2.60275e-15, 0, 0, 0
0.110442, 0, 5.85637e-15, 0, 1.41421, -5.85637e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62321e-17, 0, 0, 9.30416e-19, 1.28687e-15, 0, 4.50234e-15, 0, 0, 0
