   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_273.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.0042583, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00360642, 0, 1.63171e-21, 0, 1.41421, -1.63171e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.14308e-22, 0, 1.1174e-21, 0, 0
0.0114712, 0, 3.70613e-21, 0, 1.41421, -3.70613e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18321e-21, 0, 2.52292e-21, 0, 0
0.0193359, 0, 8.73269e-21, 0, 1.41421, -8.73269e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83863e-21, 0, 5.89406e-21, 0, 0
0.0272006, 0, 1.91582e-20, 0, 1.41421, -1.91582e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29959e-21, 0, 1.28586e-20, 0, 0
0.0350653, 0, 4.14872e-20, 0, 1.41421, -4.14872e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37964e-20, 0, 2.76908e-20, 0, 0
0.0429301, 0, 8.87285e-20, 0, 1.41421, -8.87285e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9835e-20, 0, 5.88935e-20, 0, 0
0.0507948, 0, 1.87504e-19, 0, 1.41421, -1.87504e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.37418e-20, 0, 1.23762e-19, 0, 0
0.0586595, 0, 3.91689e-19, 0, 1.41421, -3.91689e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34607e-19, 0, 2.57083e-19, 0, 0
0.0665243, 0, 8.09147e-19, 0, 1.41421, -8.09147e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81085e-19, 0, 5.28062e-19, 0, 0
0.074389, 0, 1.65356e-18, 0, 1.41421, -1.65356e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80643e-19, 0, 1.07292e-18, 0, 0
0.0822537, 0, 3.34395e-18, 0, 1.41421, -3.34395e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18695e-18, 0, 2.157e-18, 0, 0
0.0901184, 0, 6.69385e-18, 0, 1.41421, -6.69385e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40189e-18, 0, 4.29196e-18, 0, 0
0.0979832, 0, 1.32675e-17, 0, 1.41421, -1.32675e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81289e-18, 0, 8.45464e-18, 0, 0
0.105848, 0, 2.60441e-17, 0, 1.41421, -2.60441e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.55234e-18, 0, 1.64918e-17, 0, 0
0.113713, 0, 5.06453e-17, 0, 1.41421, -5.06453e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87837e-17, 0, 3.18616e-17, 0, 0
0.121577, 0, 9.75836e-17, 0, 1.41421, -9.75836e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6604e-17, 0, 6.09796e-17, 0, 0
0.129442, 0, 1.86342e-16, 0, 1.41421, -1.86342e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.07054e-17, 0, 1.15637e-16, 0, 0
0.137307, 0, 3.52717e-16, 0, 1.41421, -3.52717e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35409e-16, 0, 2.17308e-16, 0, 0
0.145172, 0, 6.61916e-16, 0, 1.41421, -6.61916e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5716e-16, 0, 4.04756e-16, 0, 0
