   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_280.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00492849, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00293866, 0, 2.17566e-19, 0, 1.41421, -2.17566e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81527e-21, 0, 0, 4.3871e-24, 0, 7.96617e-20, 0, 1.35085e-19, 0, 0
0.0108058, 0, 4.31663e-19, 0, 1.41421, -4.31663e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.55043e-21, 0, 0, 8.80613e-24, 0, 1.59779e-19, 0, 2.66325e-19, 0, 0
0.018673, 0, 8.48433e-19, 0, 1.41421, -8.48433e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08391e-20, 0, 0, 1.75094e-23, 0, 3.17489e-19, 0, 5.20088e-19, 0, 0
0.0265401, 0, 1.65248e-18, 0, 1.41421, -1.65248e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09718e-20, 0, 0, 3.44951e-23, 0, 6.25188e-19, 0, 1.00628e-18, 0, 0
0.0344073, 0, 3.19012e-18, 0, 1.41421, -3.19012e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02121e-20, 0, 0, 6.73525e-23, 0, 1.22036e-18, 0, 1.92949e-18, 0, 0
0.0422744, 0, 6.10575e-18, 0, 1.41421, -6.10575e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64282e-20, 0, 0, 1.30365e-22, 0, 2.36195e-18, 0, 3.66724e-18, 0, 0
0.0501416, 0, 1.15884e-17, 0, 1.41421, -1.15884e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44017e-19, 0, 0, 2.50192e-22, 0, 4.53382e-18, 0, 6.91032e-18, 0, 0
0.0580088, 0, 2.18148e-17, 0, 1.41421, -2.18148e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69101e-19, 0, 0, 4.76185e-22, 0, 8.63307e-18, 0, 1.29122e-17, 0, 0
0.0658759, 0, 4.07385e-17, 0, 1.41421, -4.07385e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98692e-19, 0, 0, 8.9897e-22, 0, 1.63103e-17, 0, 2.39286e-17, 0, 0
0.0737431, 0, 7.54848e-17, 0, 1.41421, -7.54848e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.16711e-19, 0, 0, 1.68366e-21, 0, 3.058e-17, 0, 4.39864e-17, 0, 0
0.0816102, 0, 1.40324e-16, 0, 1.41421, -1.40324e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68709e-18, 0, 0, 3.1689e-21, 0, 5.76826e-17, 0, 8.09512e-17, 0, 0
0.0894774, 0, 2.55829e-16, 0, 1.41421, -2.55829e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04972e-18, 0, 0, 5.83673e-21, 0, 1.0644e-16, 0, 1.46334e-16, 0, 0
0.0973445, 0, 4.63035e-16, 0, 1.41421, -4.63035e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.47114e-18, 0, 0, 1.06711e-20, 0, 1.95032e-16, 0, 2.62521e-16, 0, 0
0.105212, 0, 8.321e-16, 0, 1.41421, -8.321e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.74178e-18, 0, 0, 1.93673e-20, 0, 3.549e-16, 0, 4.67438e-16, 0, 0
