   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_28.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.000963331, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00689204, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0147474, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0226028, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0304582, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0383135, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0461689, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0540243, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0618797, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.069735, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0775904, 0, 5.92826e-30, 0, 1.41421, -5.92826e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9066e-32, 0, 0, 1.85207e-34, 1.73589e-35, 0, 5.87899e-30, 0, 0
0.0854458, 0, 6.42104e-29, 0, 1.41421, -6.42104e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31428e-31, 0, 0, 2.00596e-33, 2.27806e-33, 0, 6.36747e-29, 0, 0
0.0933012, 0, 4.36508e-28, 0, 1.41421, -4.36508e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61262e-30, 0, 0, 1.36364e-32, 2.48823e-32, 0, 4.32857e-28, 0, 0
0.101157, 0, 2.37187e-27, 0, 1.41421, -2.37187e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96297e-29, 0, 0, 7.40956e-32, 1.71465e-31, 0, 2.352e-27, 0, 0
0.109012, 0, 1.12256e-26, 0, 1.41421, -1.12256e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.29024e-29, 0, 0, 3.51012e-31, 9.41854e-31, 0, 1.11314e-26, 0, 0
0.116867, 0, 4.82238e-26, 0, 1.41421, -4.82238e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99094e-28, 0, 0, 1.51095e-30, 4.49516e-30, 0, 4.78187e-26, 0, 0
0.124723, 0, 1.92447e-25, 0, 1.41421, -1.92447e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59265e-27, 0, 0, 6.04699e-30, 1.9439e-29, 0, 1.90828e-25, 0, 0
0.132578, 0, 7.238e-25, 0, 1.41421, -7.238e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.98999e-27, 0, 0, 2.28218e-29, 7.79952e-29, 0, 7.17709e-25, 0, 0
0.140433, 0, 2.59043e-24, 0, 1.41421, -2.59043e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14376e-26, 0, 0, 8.19983e-29, 2.94694e-28, 0, 2.56862e-24, 0, 0
0.148289, 0, 8.88265e-24, 0, 1.41421, -8.88265e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.35098e-26, 0, 0, 2.82382e-28, 1.05897e-27, 0, 8.8078e-24, 0, 0
0.156144, 0, 2.93311e-23, 0, 1.41421, -2.93311e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42733e-25, 0, 0, 9.36748e-28, 3.64456e-27, 0, 2.90838e-23, 0, 0
0.164, 0, 9.36301e-23, 0, 1.41421, -9.36301e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74843e-25, 0, 0, 3.00498e-27, 1.20752e-26, 0, 9.28402e-23, 0, 0
0.171855, 0, 2.89825e-22, 0, 1.41421, -2.89825e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39846e-24, 0, 0, 9.35015e-27, 3.86686e-26, 0, 2.87379e-22, 0, 0
0.17971, 0, 8.72101e-22, 0, 1.41421, -8.72101e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21707e-24, 0, 0, 2.82899e-26, 1.20058e-25, 0, 8.64736e-22, 0, 0
0.187566, 0, 2.5562e-21, 0, 1.41421, -2.5562e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11537e-23, 0, 0, 8.34001e-26, 3.62317e-25, 0, 2.5346e-21, 0, 0
0.195421, 0, 7.31075e-21, 0, 1.41421, -7.31075e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04996e-23, 0, 0, 2.39977e-25, 1.06502e-24, 0, 7.24895e-21, 0, 0
0.203276, 0, 2.04313e-20, 0, 1.41421, -2.04313e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69077e-22, 0, 0, 6.74946e-25, 3.05459e-24, 0, 2.02585e-20, 0, 0
0.211132, 0, 5.58634e-20, 0, 1.41421, -5.58634e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6229e-22, 0, 0, 1.85782e-24, 8.56075e-24, 0, 5.53907e-20, 0, 0
0.218987, 0, 1.49597e-19, 0, 1.41421, -1.49597e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23796e-21, 0, 0, 5.00999e-24, 2.34737e-23, 0, 1.4833e-19, 0, 0
0.226843, 0, 4.05262e-19, 0, 1.41421, -4.05262e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35366e-21, 0, 0, 1.37087e-23, 6.54887e-23, 0, 4.0183e-19, 0, 0
0.234698, 0, 1.03943e-18, 0, 1.41421, -1.03943e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60157e-21, 0, 0, 3.543e-23, 1.716e-22, 0, 1.03062e-18, 0, 0
0.242553, 0, 2.61877e-18, 0, 1.41421, -2.61877e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16709e-20, 0, 0, 8.9979e-23, 4.41449e-22, 0, 2.59656e-18, 0, 0
0.250409, 0, 6.48463e-18, 0, 1.41421, -6.48463e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.36616e-20, 0, 0, 2.2468e-22, 1.11569e-21, 0, 6.42963e-18, 0, 0
0.258264, 0, 1.57898e-17, 0, 1.41421, -1.57898e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30663e-19, 0, 0, 5.51906e-22, 2.77175e-21, 0, 1.56558e-17, 0, 0
0.266119, 0, 3.78234e-17, 0, 1.41421, -3.78234e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12993e-19, 0, 0, 1.33426e-21, 6.77232e-21, 0, 3.75023e-17, 0, 0
0.273975, 0, 8.91682e-17, 0, 1.41421, -8.91682e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.37873e-19, 0, 0, 3.17593e-21, 1.62815e-20, 0, 8.84108e-17, 0, 0
0.28183, 0, 2.06956e-16, 0, 1.41421, -2.06956e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71257e-18, 0, 0, 7.446e-21, 3.85309e-20, 0, 2.05198e-16, 0, 0
0.289686, 0, 4.73046e-16, 0, 1.41421, -4.73046e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91445e-18, 0, 0, 1.72006e-20, 8.97926e-20, 0, 4.69025e-16, 0, 0
0.297541, 0, 1.06515e-15, 0, 1.41421, -1.06515e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.81401e-18, 0, 0, 3.91622e-20, 2.06129e-19, 0, 1.05609e-15, 0, 0
0.305396, 0, 2.36326e-15, 0, 1.41421, -2.36326e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95556e-17, 0, 0, 8.79057e-20, 4.66275e-19, 0, 2.34315e-15, 0, 0
0.313252, 0, 5.16782e-15, 0, 1.41421, -5.16782e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27625e-17, 0, 0, 1.94585e-19, 1.03962e-18, 0, 5.12383e-15, 0, 0
0.321107, 0, 1.11401e-14, 0, 1.41421, -1.11401e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.2181e-17, 0, 0, 4.24879e-19, 2.28535e-18, 0, 1.10452e-14, 0, 0
0.328962, 0, 2.36781e-14, 0, 1.41421, -2.36781e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95926e-16, 0, 0, 9.15369e-19, 4.95438e-18, 0, 2.34763e-14, 0, 0
0.336818, 0, 4.96308e-14, 0, 1.41421, -4.96308e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10671e-16, 0, 0, 1.9463e-18, 1.05947e-17, 0, 4.92076e-14, 0, 0
0.344673, 0, 1.02607e-13, 0, 1.41421, -1.02607e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.49013e-16, 0, 0, 4.08523e-18, 2.23535e-17, 0, 1.01731e-13, 0, 0
0.352529, 0, 2.09259e-13, 0, 1.41421, -2.09259e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73149e-15, 0, 0, 8.46711e-18, 4.65437e-17, 0, 2.07473e-13, 0, 0
0.360384, 0, 4.21054e-13, 0, 1.41421, -4.21054e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48396e-15, 0, 0, 1.73339e-17, 9.56597e-17, 0, 4.17457e-13, 0, 0
0.368239, 0, 8.3597e-13, 0, 1.41421, -8.3597e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.9172e-15, 0, 0, 3.50623e-17, 1.94108e-16, 0, 8.28824e-13, 0, 0
0.376095, 0, 1.63793e-12, 1.12104e-44, 1.41421, -1.63793e-12, 1.12104e-44, 0, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.35533e-14, 1.12104e-44, 1.12104e-44, 7.01025e-17, 3.88973e-16, 1.12104e-44, 1.62392e-12, 1.12104e-44, 1.12104e-44
0.38395, 0, 3.1674e-12, 2.38221e-43, 1.41421, -3.1674e-12, 2.38221e-43, 0, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.62101e-14, 2.38221e-43, 2.38221e-43, 1.38599e-16, 7.69938e-16, 2.38221e-43, 3.14028e-12, 2.38221e-43, 2.38221e-43
0.391805, 0, 6.04586e-12, 3.59713e-42, 1.41421, -6.04586e-12, 3.59713e-42, 0, 3.59713e-42, 3.59713e-42, 3.59713e-42, 3.59713e-42, 3.59713e-42, 3.59713e-42, 3.59713e-42, 3.59713e-42, 3.59713e-42, 3.59713e-42, 3.59713e-42, 5.00325e-14, 3.59713e-42, 3.59713e-42, 2.71109e-16, 1.5058e-15, 3.59713e-42, 5.99405e-12, 3.59713e-42, 3.59713e-42
