   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_323.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0080329, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000162773, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00770736, 0, 2.03173e-19, 0, 1.41421, -2.03173e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12499e-20, 0, 1.61924e-19, 0, 0, 0
0.0155775, 0, 4.0981e-19, 0, 1.41421, -4.0981e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.44438e-20, 0, 3.25366e-19, 0, 0, 0
0.0234476, 0, 8.18363e-19, 0, 1.41421, -8.18363e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71139e-19, 0, 6.47223e-19, 0, 0, 0
0.0313177, 0, 1.61842e-18, 0, 1.41421, -1.61842e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43494e-19, 0, 1.27492e-18, 0, 0, 0
0.0391879, 0, 3.17057e-18, 0, 1.41421, -3.17057e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82988e-19, 0, 2.48758e-18, 0, 0, 0
0.047058, 0, 6.15459e-18, 0, 1.41421, -6.15459e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34573e-18, 0, 4.80886e-18, 0, 0, 0
0.0549281, 0, 1.18406e-17, 0, 1.41421, -1.18406e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62822e-18, 0, 9.21234e-18, 0, 0, 0
0.0627983, 0, 2.25815e-17, 0, 1.41421, -2.25815e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08901e-18, 0, 1.74924e-17, 0, 0, 0
0.0706684, 0, 4.26996e-17, 0, 1.41421, -4.26996e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.77168e-18, 0, 3.2928e-17, 0, 0, 0
0.0785385, 0, 8.00694e-17, 0, 1.41421, -8.00694e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86105e-17, 0, 6.14589e-17, 0, 0, 0
0.0864086, 0, 1.4892e-16, 0, 1.41421, -1.4892e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51628e-17, 0, 1.13757e-16, 0, 0, 0
0.0942788, 0, 2.74758e-16, 0, 1.41421, -2.74758e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5921e-17, 0, 2.08836e-16, 0, 0, 0
0.102149, 0, 5.02948e-16, 0, 1.41421, -5.02948e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22646e-16, 0, 3.80302e-16, 0, 0, 0
0.110019, 0, 9.13552e-16, 0, 1.41421, -9.13552e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26486e-16, 0, 6.87066e-16, 0, 0, 0
0.117889, 0, 1.64679e-15, 0, 1.41421, -1.64679e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.15196e-16, 0, 1.23159e-15, 0, 0, 0
0.125759, 0, 2.94637e-15, 0, 1.41421, -2.94637e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.55706e-16, 0, 2.19066e-15, 0, 0, 0
0.133629, 0, 5.23281e-15, 0, 1.41421, -5.23281e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36583e-15, 0, 3.86698e-15, 0, 0, 0
0.1415, 0, 9.22632e-15, 0, 1.41421, -9.22632e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45158e-15, 0, 6.77475e-15, 0, 0, 0
0.14937, 0, 1.61516e-14, 0, 1.41421, -1.61516e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3707e-15, 0, 1.17809e-14, 0, 0, 0
0.15724, 0, 2.80763e-14, 0, 1.41421, -2.80763e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74045e-15, 0, 2.03359e-14, 0, 0, 0
0.16511, 0, 4.84668e-14, 0, 1.41421, -4.84668e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36188e-14, 0, 3.4848e-14, 0, 0, 0
0.17298, 0, 8.30938e-14, 0, 1.41421, -8.30938e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38076e-14, 0, 5.92862e-14, 0, 0, 0
0.18085, 0, 1.41499e-13, 0, 1.41421, -1.41499e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.13566e-14, 0, 1.00143e-13, 0, 0, 0
0.18872, 0, 2.39354e-13, 0, 1.41421, -2.39354e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.13954e-14, 0, 1.67958e-13, 0, 0, 0
0.19659, 0, 4.02224e-13, 0, 1.41421, -4.02224e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22504e-13, 0, 2.7972e-13, 0, 0, 0
0.204461, 0, 6.71549e-13, 0, 1.41421, -6.71549e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08946e-13, 0, 4.62603e-13, 0, 0, 0
0.212331, 0, 1.11406e-12, 0, 1.41421, -1.11406e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54291e-13, 0, 7.59766e-13, 0, 0, 0
0.220201, 0, 1.83651e-12, 0, 1.41421, -1.83651e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.97277e-13, 0, 1.23924e-12, 0, 0, 0
0.228071, 0, 3.00871e-12, 0, 1.41421, -3.00871e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00122e-12, 0, 2.00748e-12, 0, 0, 0
0.235941, 0, 4.89899e-12, 0, 1.41421, -4.89899e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66908e-12, 0, 3.22992e-12, 0, 0, 0
0.243811, 0, 7.92903e-12, 0, 1.41421, -7.92903e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76739e-12, 0, 5.16164e-12, 0, 0, 0
