   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_370.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00514337, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00272339, 0, 3.74634e-25, 0, 1.41421, -3.74634e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56259e-27, 0, 0, 0, 1.01718e-25, 0, 2.71354e-25, 0, 0
0.0105901, 0, 1.12503e-24, 0, 1.41421, -1.12503e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.64568e-27, 0, 0, 0, 3.13634e-25, 0, 8.06752e-25, 0, 0
0.0184569, 0, 3.26389e-24, 0, 1.41421, -3.26389e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33565e-26, 0, 0, 0, 9.31098e-25, 0, 2.31944e-24, 0, 0
0.0263237, 0, 9.18452e-24, 0, 1.41421, -9.18452e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72744e-26, 0, 0, 0, 2.6743e-24, 0, 6.47294e-24, 0, 0
0.0341904, 0, 2.51469e-23, 0, 1.41421, -2.51469e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01273e-25, 0, 0, 0, 7.45896e-24, 0, 1.75866e-23, 0, 0
0.0420572, 0, 6.71575e-23, 0, 1.41421, -6.71575e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68509e-25, 0, 0, 0, 2.02607e-23, 0, 4.66283e-23, 0, 0
0.0499239, 0, 1.75296e-22, 0, 1.41421, -1.75296e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.96074e-25, 0, 0, 0, 5.37225e-23, 0, 1.20878e-22, 0, 0
0.0577907, 0, 4.47971e-22, 0, 1.41421, -4.47971e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76717e-24, 0, 0, 0, 1.39324e-22, 0, 3.0688e-22, 0, 0
0.0656574, 0, 1.12239e-21, 0, 1.41421, -1.12239e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39964e-24, 0, 0, 0, 3.53962e-22, 0, 7.64025e-22, 0, 0
0.0735242, 0, 2.76042e-21, 0, 1.41421, -2.76042e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07541e-23, 0, 0, 0, 8.82142e-22, 0, 1.86753e-21, 0, 0
0.0813909, 0, 6.67113e-21, 0, 1.41421, -6.67113e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58338e-23, 0, 0, 0, 2.15909e-21, 0, 4.48621e-21, 0, 0
0.0892577, 0, 1.58566e-20, 0, 1.41421, -1.58566e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10427e-23, 0, 0, 0, 5.19507e-21, 0, 1.06004e-20, 0, 0
0.0971245, 0, 3.70978e-20, 0, 1.41421, -3.70978e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41984e-22, 0, 0, 0, 1.22993e-20, 0, 2.46565e-20, 0, 0
0.104991, 0, 8.55179e-20, 0, 1.41421, -8.55179e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25391e-22, 0, 0, 0, 2.86863e-20, 0, 5.65061e-20, 0, 0
0.112858, 0, 1.9429e-19, 0, 1.41421, -1.9429e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.34961e-22, 0, 0, 0, 6.59241e-20, 0, 1.27631e-19, 0, 0
0.120725, 0, 4.35286e-19, 0, 1.41421, -4.35286e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63703e-21, 0, 0, 0, 1.49369e-19, 0, 2.8428e-19, 0, 0
0.128591, 0, 9.62169e-19, 0, 1.41421, -9.62169e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5974e-21, 0, 0, 0, 3.3386e-19, 0, 6.24712e-19, 0, 0
0.136458, 0, 2.09929e-18, 0, 1.41421, -2.09929e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.80273e-21, 0, 0, 0, 7.36494e-19, 0, 1.35499e-18, 0, 0
0.144325, 0, 4.5229e-18, 0, 1.41421, -4.5229e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67108e-20, 0, 0, 0, 1.60425e-18, 0, 2.90194e-18, 0, 0
0.152192, 0, 9.6259e-18, 0, 1.41421, -9.6259e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53501e-20, 0, 0, 0, 3.45178e-18, 0, 6.13877e-18, 0, 0
0.160058, 0, 2.05524e-17, 0, 1.41421, -2.05524e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.49083e-20, 0, 0, 0, 7.46923e-18, 0, 1.30083e-17, 0, 0
0.167925, 0, 4.26509e-17, 0, 1.41421, -4.26509e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54485e-19, 0, 0, 0, 1.56691e-17, 0, 2.68273e-17, 0, 0
0.175792, 0, 8.75286e-17, 0, 1.41421, -8.75286e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15015e-19, 0, 0, 0, 3.25091e-17, 0, 5.47045e-17, 0, 0
