   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_378.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00604028, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00182785, 0, 1.2442e-21, 0, 1.41421, -1.2442e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73319e-22, 0, 8.70886e-22, 0, 0
0.00969599, 0, 2.83568e-21, 0, 1.41421, -2.83568e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.62313e-22, 0, 1.97337e-21, 0, 0
0.0175641, 0, 6.36728e-21, 0, 1.41421, -6.36728e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96152e-21, 0, 4.40576e-21, 0, 0
0.0254323, 0, 1.40966e-20, 0, 1.41421, -1.40966e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39774e-21, 0, 9.69881e-21, 0, 0
0.0333004, 0, 3.08069e-20, 0, 1.41421, -3.08069e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.73282e-21, 0, 2.10741e-20, 0, 0
0.0411685, 0, 6.64597e-20, 0, 1.41421, -6.64597e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12577e-20, 0, 4.52021e-20, 0, 0
0.0490367, 0, 1.41607e-19, 0, 1.41421, -1.41607e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58485e-20, 0, 9.57584e-20, 0, 0
0.0569048, 0, 3.07336e-19, 0, 1.41421, -3.07336e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01149e-19, 0, 2.06187e-19, 0, 0
0.0647729, 0, 6.37751e-19, 0, 1.41421, -6.37751e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12358e-19, 0, 4.25394e-19, 0, 0
0.0726411, 0, 1.30921e-18, 0, 1.41421, -1.30921e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41045e-19, 0, 8.6816e-19, 0, 0
0.0805092, 0, 2.65962e-18, 0, 1.41421, -2.65962e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.06478e-19, 0, 1.75315e-18, 0, 0
0.0883774, 0, 5.34829e-18, 0, 1.41421, -5.34829e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84429e-18, 0, 3.504e-18, 0, 0
0.0962455, 0, 1.06489e-17, 0, 1.41421, -1.06489e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71558e-18, 0, 6.93337e-18, 0, 0
0.104114, 0, 2.0999e-17, 0, 1.41421, -2.0999e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.41417e-18, 0, 1.35849e-17, 0, 0
0.111982, 0, 4.10197e-17, 0, 1.41421, -4.10197e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46571e-17, 0, 2.63626e-17, 0, 0
0.11985, 0, 7.93919e-17, 0, 1.41421, -7.93919e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87134e-17, 0, 5.06785e-17, 0, 0
0.127718, 0, 1.52277e-16, 0, 1.41421, -1.52277e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57525e-17, 0, 9.65245e-17, 0, 0
0.135586, 0, 2.89498e-16, 0, 1.41421, -2.89498e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07319e-16, 0, 1.82179e-16, 0, 0
0.143454, 0, 5.45614e-16, 0, 1.41421, -5.45614e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04834e-16, 0, 3.40779e-16, 0, 0
0.151322, 0, 1.01958e-15, 0, 1.41421, -1.01958e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87725e-16, 0, 6.31858e-16, 0, 0
0.159191, 0, 1.88941e-15, 0, 1.41421, -1.88941e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.27973e-16, 0, 1.16143e-15, 0, 0
0.167059, 0, 3.47261e-15, 0, 1.41421, -3.47261e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35597e-15, 0, 2.11665e-15, 0, 0
