   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_395.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0176696, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00981166, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00195369, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00590429, 0, 3.63384e-16, 0, 1.41421, -3.63384e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07422e-18, 0, 0, 2.00231e-18, 0, 1.29137e-19, 0, 3.59178e-16, 0, 0
0.0137623, 0, 6.0118e-16, 0, 1.41421, -6.0118e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43122e-18, 0, 0, 3.37058e-18, 0, 2.19328e-19, 0, 5.94159e-16, 0, 0
0.0216203, 0, 9.891e-16, 0, 1.41421, -9.891e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64463e-18, 0, 0, 5.64347e-18, 0, 3.70654e-19, 0, 9.77441e-16, 0, 0
0.0294782, 0, 1.61845e-15, 0, 1.41421, -1.61845e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.23518e-18, 0, 0, 9.39908e-18, 0, 6.23315e-19, 0, 1.59919e-15, 0, 0
0.0373362, 0, 2.63395e-15, 0, 1.41421, -2.63395e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50281e-17, 0, 0, 1.55722e-17, 0, 1.04314e-18, 0, 2.6023e-15, 0, 0
0.0451942, 0, 4.2637e-15, 0, 1.41421, -4.2637e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43237e-17, 0, 0, 2.56665e-17, 0, 1.73739e-18, 0, 4.21197e-15, 0, 0
0.0530522, 0, 6.86533e-15, 0, 1.41421, -6.86533e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91608e-17, 0, 0, 4.20892e-17, 0, 2.88009e-18, 0, 6.7812e-15, 0, 0
0.0609101, 0, 1.09964e-14, 0, 1.41421, -1.09964e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.27171e-17, 0, 0, 6.86737e-17, 0, 4.75217e-18, 0, 1.08603e-14, 0, 0
0.0687681, 0, 1.75217e-14, 0, 1.41421, -1.75217e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.99203e-17, 0, 0, 1.11494e-16, 0, 7.80511e-18, 0, 1.73024e-14, 0, 0
0.0766261, 0, 2.77748e-14, 0, 1.41421, -2.77748e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5837e-16, 0, 0, 1.80127e-16, 0, 1.27611e-17, 0, 2.74235e-14, 0, 0
0.0844841, 0, 4.38021e-14, 0, 1.41421, -4.38021e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49722e-16, 0, 0, 2.896e-16, 0, 2.07702e-17, 0, 4.3242e-14, 0, 0
0.092342, 0, 6.87261e-14, 0, 1.41421, -6.87261e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91762e-16, 0, 0, 4.6338e-16, 0, 3.36555e-17, 0, 6.78374e-14, 0, 0
0.1002, 0, 1.07287e-13, 0, 1.41421, -1.07287e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.11485e-16, 0, 0, 7.37941e-16, 0, 5.4294e-17, 0, 1.05883e-13, 0, 0
0.108058, 0, 1.66642e-13, 0, 1.41421, -1.66642e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49639e-16, 0, 0, 1.16972e-15, 0, 8.72134e-17, 0, 1.64435e-13, 0, 0
0.115916, 0, 2.5754e-13, 0, 1.41421, -2.5754e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46742e-15, 0, 0, 1.84564e-15, 0, 1.39492e-16, 0, 2.54088e-13, 0, 0
0.123774, 0, 3.96041e-13, 0, 1.41421, -3.96041e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25624e-15, 0, 0, 2.899e-15, 0, 2.2216e-16, 0, 3.90664e-13, 0, 0
0.131632, 0, 6.06015e-13, 0, 1.41421, -6.06015e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45193e-15, 0, 0, 4.5334e-15, 0, 3.52336e-16, 0, 5.97677e-13, 0, 0
0.13949, 0, 9.22748e-13, 0, 1.41421, -9.22748e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.25526e-15, 0, 0, 7.05872e-15, 0, 5.56473e-16, 0, 9.09877e-13, 0, 0
0.147348, 0, 1.39814e-12, 0, 1.41421, -1.39814e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.96148e-15, 0, 0, 1.09444e-14, 0, 8.75287e-16, 0, 1.37836e-12, 0, 0
0.155206, 0, 2.1081e-12, 0, 1.41421, -2.1081e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20024e-14, 0, 0, 1.68994e-14, 0, 1.37119e-15, 0, 2.07783e-12, 0, 0
0.163064, 0, 3.16315e-12, 0, 1.41421, -3.16315e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80065e-14, 0, 0, 2.59905e-14, 0, 2.13952e-15, 0, 3.11702e-12, 0, 0
0.170922, 0, 4.72326e-12, 0, 1.41421, -4.72326e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68835e-14, 0, 0, 3.98182e-14, 0, 3.32527e-15, 0, 4.65324e-12, 0, 0
0.17878, 0, 7.01886e-12, 0, 1.41421, -7.01886e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99434e-14, 0, 0, 6.07773e-14, 0, 5.14828e-15, 0, 6.91299e-12, 0, 0
0.186638, 0, 1.03801e-11, 0, 1.41421, -1.03801e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90632e-14, 0, 0, 9.24419e-14, 0, 7.94056e-15, 0, 1.02207e-11, 0, 0
0.194496, 0, 1.52776e-11, 0, 1.41421, -1.52776e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.69181e-14, 0, 0, 1.40135e-13, 0, 1.22019e-14, 0, 1.50384e-11, 0, 0
0.202354, 0, 2.23789e-11, 0, 1.41421, -2.23789e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27302e-13, 0, 0, 2.11769e-13, 0, 1.86822e-14, 0, 2.20211e-11, 0, 0
0.210212, 0, 3.26253e-11, 0, 1.41421, -3.26253e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85565e-13, 0, 0, 3.19095e-13, 0, 2.85028e-14, 0, 3.20922e-11, 0, 0
0.21807, 0, 4.73387e-11, 0, 1.41421, -4.73387e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6922e-13, 0, 0, 4.79544e-13, 0, 4.33359e-14, 0, 4.65466e-11, 0, 0
0.225928, 0, 6.83644e-11, 0, 1.41421, -6.83644e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88755e-13, 0, 0, 7.18955e-13, 0, 6.56679e-14, 0, 6.7191e-11, 0, 0
