   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_396.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0174332, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00957547, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00171772, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00614002, 0, 1.49731e-16, 0, 1.41421, -1.49731e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64394e-18, 0, 0, 8.41251e-19, 0, 0, 1.47246e-16, 0, 0
0.0139978, 0, 2.52366e-16, 0, 1.41421, -2.52366e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77053e-18, 0, 0, 1.44228e-18, 0, 0, 2.48153e-16, 0, 0
0.0218555, 0, 4.22865e-16, 0, 1.41421, -4.22865e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.64185e-18, 0, 0, 2.45866e-18, 0, 0, 4.15765e-16, 0, 0
0.0297133, 0, 7.0446e-16, 0, 1.41421, -7.0446e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.73216e-18, 0, 0, 4.1678e-18, 0, 0, 6.9256e-16, 0, 0
0.037571, 0, 1.16688e-15, 0, 1.41421, -1.16688e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28063e-17, 0, 0, 7.02601e-18, 0, 0, 1.14705e-15, 0, 0
0.0454287, 0, 1.92193e-15, 0, 1.41421, -1.92193e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10906e-17, 0, 0, 1.17797e-17, 0, 0, 1.88906e-15, 0, 0
0.0532865, 0, 3.14788e-15, 0, 1.41421, -3.14788e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45398e-17, 0, 0, 1.96433e-17, 0, 0, 3.09369e-15, 0, 0
0.0611442, 0, 5.12732e-15, 0, 1.41421, -5.12732e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.62526e-17, 0, 0, 3.2582e-17, 0, 0, 5.03848e-15, 0, 0
0.069002, 0, 8.30572e-15, 0, 1.41421, -8.30572e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.11126e-17, 0, 0, 5.37599e-17, 0, 0, 8.16085e-15, 0, 0
0.0768597, 0, 1.33814e-14, 0, 1.41421, -1.33814e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46774e-16, 0, 0, 8.82446e-17, 0, 0, 1.31463e-14, 0, 0
0.0847175, 0, 2.14426e-14, 0, 1.41421, -2.14426e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35165e-16, 0, 0, 1.4411e-16, 0, 0, 2.10633e-14, 0, 0
0.0925752, 0, 3.41765e-14, 0, 1.41421, -3.41765e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74772e-16, 0, 0, 2.34154e-16, 0, 0, 3.35675e-14, 0, 0
0.100433, 0, 5.41834e-14, 0, 1.41421, -5.41834e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94085e-16, 0, 0, 3.78564e-16, 0, 0, 5.32107e-14, 0, 0
0.108291, 0, 8.54496e-14, 0, 1.41421, -8.54496e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.36774e-16, 0, 0, 6.09028e-16, 0, 0, 8.39038e-14, 0, 0
0.116148, 0, 1.34254e-13, 0, 1.41421, -1.34254e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4716e-15, 0, 0, 9.77939e-16, 0, 0, 1.31804e-13, 0, 0
0.124006, 0, 2.0948e-13, 0, 1.41421, -2.0948e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29587e-15, 0, 0, 1.55784e-15, 0, 0, 2.05626e-13, 0, 0
0.131864, 0, 3.25172e-13, 0, 1.41421, -3.25172e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56334e-15, 0, 0, 2.47002e-15, 0, 0, 3.19139e-13, 0, 0
0.139722, 0, 5.02168e-13, 0, 1.41421, -5.02168e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50214e-15, 0, 0, 3.89837e-15, 0, 0, 4.92767e-13, 0, 0
0.147579, 0, 7.71544e-13, 0, 1.41421, -7.71544e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.45244e-15, 0, 0, 6.12528e-15, 0, 0, 7.56966e-13, 0, 0
0.155437, 0, 1.17939e-12, 0, 1.41421, -1.17939e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29187e-14, 0, 0, 9.58227e-15, 0, 0, 1.15689e-12, 0, 0
0.163295, 0, 1.79369e-12, 0, 1.41421, -1.79369e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96447e-14, 0, 0, 1.49265e-14, 0, 0, 1.75912e-12, 0, 0
0.171153, 0, 2.7142e-12, 0, 1.41421, -2.7142e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97221e-14, 0, 0, 2.31552e-14, 0, 0, 2.66133e-12, 0, 0
0.17901, 0, 4.08648e-12, 0, 1.41421, -4.08648e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.47431e-14, 0, 0, 3.57774e-14, 0, 0, 4.00596e-12, 0, 0
0.186868, 0, 6.12177e-12, 0, 1.41421, -6.12177e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.70186e-14, 0, 0, 5.50688e-14, 0, 0, 5.99968e-12, 0, 0
0.194726, 0, 9.12502e-12, 0, 1.41421, -9.12502e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.98839e-14, 0, 0, 8.44538e-14, 0, 0, 8.94068e-12, 0, 0
0.202584, 0, 1.35341e-11, 0, 1.41421, -1.35341e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48127e-13, 0, 0, 1.29073e-13, 0, 0, 1.32569e-11, 0, 0
0.210441, 0, 1.99742e-11, 0, 1.41421, -1.99742e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18587e-13, 0, 0, 1.96633e-13, 0, 0, 1.9559e-11, 0, 0
0.218299, 0, 2.93335e-11, 0, 1.41421, -2.93335e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.20976e-13, 0, 0, 2.98664e-13, 0, 0, 2.87139e-11, 0, 0
0.226157, 0, 4.2867e-11, 0, 1.41421, -4.2867e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69015e-13, 0, 0, 4.52412e-13, 0, 0, 4.19456e-11, 0, 0
0.234015, 0, 6.23383e-11, 0, 1.41421, -6.23383e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.81992e-13, 0, 0, 6.83651e-13, 0, 0, 6.09726e-11, 0, 0
0.241872, 0, 9.02132e-11, 1.12104e-44, 1.41421, -9.02132e-11, 0, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 9.86874e-13, 1.12104e-44, 1.12104e-44, 1.03091e-12, 1.12104e-44, 1.12104e-44, 8.81955e-11, 1.12104e-44, 1.12104e-44
