   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_531.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0108497, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0029766, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00489653, 0, 6.1474e-14, 0, 1.41421, -6.1474e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43546e-16, 0, 3.81677e-15, 0, 5.74137e-14, 0, 0, 0
0.0127697, 0, 9.38151e-14, 0, 1.41421, -9.38151e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77936e-16, 0, 6.0035e-15, 0, 8.74336e-14, 0, 0, 0
0.0206428, 0, 1.42577e-13, 0, 1.41421, -1.42577e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.84132e-16, 0, 9.40723e-15, 0, 1.32586e-13, 0, 0, 0
0.0285159, 0, 2.15792e-13, 0, 1.41421, -2.15792e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.99243e-16, 0, 1.46851e-14, 0, 2.00208e-13, 0, 0, 0
0.0363891, 0, 3.2527e-13, 0, 1.41421, -3.2527e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37892e-15, 0, 2.28399e-14, 0, 3.01051e-13, 0, 0, 0
0.0442622, 0, 4.88297e-13, 0, 1.41421, -4.88297e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10627e-15, 0, 3.53915e-14, 0, 4.508e-13, 0, 0, 0
0.0521353, 0, 7.30079e-13, 0, 1.41421, -7.30079e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.20499e-15, 0, 5.46398e-14, 0, 6.72234e-13, 0, 0, 0
0.0600085, 0, 1.0872e-12, 0, 1.41421, -1.0872e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85846e-15, 0, 8.40494e-14, 0, 9.98294e-13, 0, 0, 0
0.0678816, 0, 1.61256e-12, 0, 1.41421, -1.61256e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.33796e-15, 0, 1.28822e-13, 0, 1.4764e-12, 0, 0, 0
0.0757547, 0, 2.38232e-12, 0, 1.41421, -2.38232e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10427e-14, 0, 1.96736e-13, 0, 2.17454e-12, 0, 0, 0
0.0836279, 0, 3.50565e-12, 0, 1.41421, -3.50565e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65587e-14, 0, 2.99388e-13, 0, 3.18971e-12, 0, 0, 0
0.091501, 0, 5.13848e-12, 0, 1.41421, -5.13848e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47436e-14, 0, 4.53998e-13, 0, 4.65974e-12, 0, 0, 0
0.0993741, 0, 7.50253e-12, 0, 1.41421, -7.50253e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6849e-14, 0, 6.8605e-13, 0, 6.77963e-12, 0, 0, 0
0.107247, 0, 1.09119e-11, 0, 1.41421, -1.09119e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.46957e-14, 0, 1.03314e-12, 0, 9.82402e-12, 0, 0, 0
0.11512, 0, 1.58095e-11, 0, 1.41421, -1.58095e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.09274e-14, 0, 1.55051e-12, 0, 1.41781e-11, 0, 0, 0
0.122994, 0, 2.28181e-11, 0, 1.41421, -2.28181e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19372e-13, 0, 2.31915e-12, 0, 2.03795e-11, 0, 0, 0
0.130867, 0, 3.28088e-11, 0, 1.41421, -3.28088e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75561e-13, 0, 3.45727e-12, 0, 2.9176e-11, 0, 0, 0
