   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_560.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.017408, 0, 1.78825e-15, 0, 1.41421, -1.78825e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73991e-17, 0, 0, 8.80947e-18, 0, 5.19846e-19, 0, 1.76152e-15, 0, 0
0.0252626, 0, 2.8949e-15, 0, 1.41421, -2.8949e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81637e-17, 0, 0, 1.45277e-17, 0, 8.64783e-19, 0, 2.85135e-15, 0, 0
0.0331171, 0, 4.66195e-15, 0, 1.41421, -4.66195e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53501e-17, 0, 0, 2.38357e-17, 0, 1.43181e-18, 0, 4.59133e-15, 0, 0
0.0409717, 0, 7.46877e-15, 0, 1.41421, -7.46877e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.26463e-17, 0, 0, 3.89106e-17, 0, 2.35958e-18, 0, 7.35485e-15, 0, 0
0.0488263, 0, 1.19042e-14, 0, 1.41421, -1.19042e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15776e-16, 0, 0, 6.32057e-17, 0, 3.87064e-18, 0, 1.17214e-14, 0, 0
0.0566809, 0, 1.88774e-14, 0, 1.41421, -1.88774e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83574e-16, 0, 0, 1.02168e-16, 0, 6.32051e-18, 0, 1.85853e-14, 0, 0
0.0645355, 0, 2.97845e-14, 0, 1.41421, -2.97845e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89607e-16, 0, 0, 1.64352e-16, 0, 1.02746e-17, 0, 2.93203e-14, 0, 0
0.0723901, 0, 4.67588e-14, 0, 1.41421, -4.67588e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54601e-16, 0, 0, 2.63123e-16, 0, 1.66279e-17, 0, 4.60244e-14, 0, 0
0.0802446, 0, 7.30425e-14, 0, 1.41421, -7.30425e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.10054e-16, 0, 0, 4.19268e-16, 0, 2.67914e-17, 0, 7.18864e-14, 0, 0
0.0880992, 0, 1.13539e-13, 0, 1.41421, -1.13539e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10359e-15, 0, 0, 6.64969e-16, 0, 4.2979e-17, 0, 1.11727e-13, 0, 0
0.0959538, 0, 1.75622e-13, 0, 1.41421, -1.75622e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70682e-15, 0, 0, 1.04982e-15, 0, 6.86524e-17, 0, 1.72797e-13, 0, 0
0.103808, 0, 2.70331e-13, 0, 1.41421, -2.70331e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62693e-15, 0, 0, 1.6499e-15, 0, 1.09198e-16, 0, 2.65945e-13, 0, 0
0.111663, 0, 4.14099e-13, 0, 1.41421, -4.14099e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02349e-15, 0, 0, 2.58145e-15, 0, 1.7296e-16, 0, 4.07321e-13, 0, 0
0.119518, 0, 6.31272e-13, 0, 1.41421, -6.31272e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.13282e-15, 0, 0, 4.02124e-15, 0, 2.72814e-16, 0, 6.20846e-13, 0, 0
0.127372, 0, 9.57731e-13, 0, 1.41421, -9.57731e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.30317e-15, 0, 0, 6.23711e-15, 0, 4.28547e-16, 0, 9.41762e-13, 0, 0
0.135227, 0, 1.44609e-12, 0, 1.41421, -1.44609e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40452e-14, 0, 0, 9.63383e-15, 0, 6.70446e-16, 0, 1.42174e-12, 0, 0
0.143081, 0, 2.17311e-12, 0, 1.41421, -2.17311e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11036e-14, 0, 0, 1.48195e-14, 0, 1.04469e-15, 0, 2.13614e-12, 0, 0
0.150936, 0, 3.25019e-12, 0, 1.41421, -3.25019e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15596e-14, 0, 0, 2.27055e-14, 0, 1.62139e-15, 0, 3.1943e-12, 0, 0
0.15879, 0, 4.83825e-12, 0, 1.41421, -4.83825e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6974e-14, 0, 0, 3.46535e-14, 0, 2.50665e-15, 0, 4.75411e-12, 0, 0
0.166645, 0, 7.16846e-12, 0, 1.41421, -7.16846e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.95896e-14, 0, 0, 5.26914e-14, 0, 3.86042e-15, 0, 7.04232e-12, 0, 0
0.1745, 0, 1.05714e-11, 0, 1.41421, -1.05714e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02613e-13, 0, 0, 7.98314e-14, 0, 5.92292e-15, 0, 1.0383e-11, 0, 0
