   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_625.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0135882, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00571048, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00216729, 0, 1.59922e-13, 0, 1.41421, -1.59922e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0527e-16, 0, 0, 2.94035e-16, 0, 1.89054e-14, 0, 1.40517e-13, 0, 0, 0
0.0100451, 0, 2.39934e-13, 0, 1.41421, -2.39934e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06787e-16, 0, 0, 4.47935e-16, 0, 2.91699e-14, 0, 2.1001e-13, 0, 0, 0
0.0179228, 0, 3.58604e-13, 0, 1.41421, -3.58604e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.56687e-16, 0, 0, 6.79816e-16, 0, 4.48462e-14, 0, 3.12621e-13, 0, 0, 0
0.0258006, 0, 5.33931e-13, 0, 1.41421, -5.33931e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.77141e-16, 0, 0, 1.0279e-15, 0, 6.86984e-14, 0, 4.63527e-13, 0, 0, 0
0.0336783, 0, 7.9198e-13, 0, 1.41421, -7.9198e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00006e-15, 0, 0, 1.5485e-15, 0, 1.0486e-13, 0, 6.84572e-13, 0, 0, 0
0.0415561, 0, 1.17035e-12, 0, 1.41421, -1.17035e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4712e-15, 0, 0, 2.32436e-15, 0, 1.59487e-13, 0, 1.00706e-12, 0, 0, 0
0.0494339, 0, 1.72305e-12, 0, 1.41421, -1.72305e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15585e-15, 0, 0, 3.47659e-15, 0, 2.41719e-13, 0, 1.47569e-12, 0, 0, 0
0.0573116, 0, 2.5274e-12, 0, 1.41421, -2.5274e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14687e-15, 0, 0, 5.18205e-15, 0, 3.6507e-13, 0, 2.154e-12, 0, 0, 0
0.0651894, 0, 3.69367e-12, 0, 1.41421, -3.69367e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5757e-15, 0, 0, 7.69785e-15, 0, 5.49464e-13, 0, 3.13193e-12, 0, 0, 0
0.0730672, 0, 5.37845e-12, 0, 1.41421, -5.37845e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62767e-15, 0, 0, 1.13969e-14, 0, 8.24157e-13, 0, 4.53627e-12, 0, 0, 0
0.0809449, 0, 7.80346e-12, 0, 1.41421, -7.80346e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.56306e-15, 0, 0, 1.68186e-14, 0, 1.23199e-12, 0, 6.54508e-12, 0, 0, 0
0.0888227, 0, 1.12813e-11, 0, 1.41421, -1.12813e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37458e-14, 0, 0, 2.47413e-14, 0, 1.83547e-12, 0, 9.40729e-12, 0, 0, 0
0.0967005, 0, 1.6251e-11, 0, 1.41421, -1.6251e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96829e-14, 0, 0, 3.62847e-14, 0, 2.72552e-12, 0, 1.34696e-11, 0, 0, 0
0.104578, 0, 2.33276e-11, 0, 1.41421, -2.33276e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80775e-14, 0, 0, 5.3057e-14, 0, 4.03392e-12, 0, 1.92126e-11, 0, 0, 0
0.112456, 0, 3.33687e-11, 0, 1.41421, -3.33687e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99009e-14, 0, 0, 7.73628e-14, 0, 5.95121e-12, 0, 2.73003e-11, 0, 0, 0
0.120334, 0, 4.75666e-11, 0, 1.41421, -4.75666e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64897e-14, 0, 0, 1.125e-13, 0, 8.75191e-12, 0, 3.86457e-11, 0, 0, 0
0.128212, 0, 6.75729e-11, 0, 1.41421, -6.75729e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.96752e-14, 0, 0, 1.63177e-13, 0, 1.28304e-11, 0, 5.44996e-11, 0, 0, 0
0.136089, 0, 9.56681e-11, 0, 1.41421, -9.56681e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11957e-13, 0, 0, 2.36115e-13, 0, 1.8752e-11, 0, 7.6568e-11, 0, 0, 0
0.143967, 0, 1.3499e-10, 0, 1.41421, -1.3499e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56732e-13, 0, 0, 3.40894e-13, 0, 2.7324e-11, 0, 1.07169e-10, 0, 0, 0
0.151845, 0, 1.89844e-10, 0, 1.41421, -1.89844e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18599e-13, 0, 0, 4.9116e-13, 0, 3.96973e-11, 0, 1.49437e-10, 0, 0, 0
0.159723, 0, 2.66115e-10, 0, 1.41421, -2.66115e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0376e-13, 0, 0, 7.06344e-13, 0, 5.75074e-11, 0, 2.07597e-10, 0, 0, 0
0.1676, 0, 3.71827e-10, 0, 1.41421, -3.71827e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20544e-13, 0, 0, 1.01411e-12, 0, 8.30738e-11, 0, 2.87319e-10, 0, 0, 0
0.175478, 0, 5.17888e-10, 0, 1.41421, -5.17888e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80091e-13, 0, 0, 1.45386e-12, 0, 1.19677e-10, 0, 3.96177e-10, 0, 0, 0
0.183356, 0, 7.19081e-10, 0, 1.41421, -7.19081e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.97247e-13, 0, 0, 2.08172e-12, 0, 1.71949e-10, 0, 5.44252e-10, 0, 0, 0
0.191234, 0, 9.95388e-10, 0, 1.41421, -9.95388e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09171e-12, 0, 0, 2.97765e-12, 0, 2.46413e-10, 0, 7.44906e-10, 0, 0, 0
