   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_638.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.000405497, 0, 7.43966e-23, 0, 1.41421, -7.43966e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37995e-28, 1.4605e-23, 0, 5.97914e-23, 0, 0
0.0082754, 0, 1.83114e-22, 0, 1.41421, -1.83114e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42753e-28, 3.66089e-23, 0, 1.46504e-22, 0, 0
0.0161453, 0, 4.42463e-22, 0, 1.41421, -4.42463e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.3599e-28, 8.99982e-23, 0, 3.52464e-22, 0, 0
0.0240152, 0, 1.05081e-21, 0, 1.41421, -1.05081e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00453e-27, 2.17283e-22, 0, 8.33526e-22, 0, 0
0.0318851, 0, 2.45525e-21, 0, 1.41421, -2.45525e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.72981e-27, 5.15767e-22, 0, 1.93948e-21, 0, 0
0.039755, 0, 5.64899e-21, 0, 1.41421, -5.64899e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09917e-26, 1.20489e-21, 0, 4.44408e-21, 0, 0
0.0476249, 0, 1.28078e-20, 0, 1.41421, -1.28078e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51768e-26, 2.77255e-21, 0, 1.00353e-20, 0, 0
0.0554948, 0, 2.86353e-20, 0, 1.41421, -2.86353e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68769e-26, 6.28888e-21, 0, 2.23463e-20, 0, 0
0.0633648, 0, 6.31691e-20, 0, 1.41421, -6.31691e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26802e-25, 1.40708e-20, 0, 4.90982e-20, 0, 0
0.0712347, 0, 1.37568e-19, 0, 1.41421, -1.37568e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79124e-25, 3.10724e-20, 0, 1.06495e-19, 0, 0
0.0791046, 0, 2.95898e-19, 0, 1.41421, -2.95898e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.0695e-25, 6.77591e-20, 0, 2.28138e-19, 0, 0
0.0869745, 0, 6.28874e-19, 0, 1.41421, -6.28874e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3043e-24, 1.45985e-19, 0, 4.82888e-19, 0, 0
0.0948444, 0, 1.32114e-18, 0, 1.41421, -1.32114e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77097e-24, 3.10872e-19, 0, 1.01027e-18, 0, 0
0.102714, 0, 2.74442e-18, 0, 1.41421, -2.74442e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.82196e-24, 6.54574e-19, 0, 2.08984e-18, 0, 0
