   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_639.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00146757, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00639924, 0, 5.18379e-23, 0, 1.41421, -5.18379e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06991e-27, 0, 9.19623e-24, 0, 4.26406e-23, 0, 0
0.0142661, 0, 1.33098e-22, 0, 1.41421, -1.33098e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76645e-27, 0, 2.41784e-23, 0, 1.08916e-22, 0, 0
0.0221329, 0, 3.34008e-22, 0, 1.41421, -3.34008e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.99275e-27, 0, 6.2001e-23, 0, 2.72e-22, 0, 0
0.0299997, 0, 8.20794e-22, 0, 1.41421, -8.20794e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73122e-26, 0, 1.55437e-22, 0, 6.6534e-22, 0, 0
0.0378665, 0, 2.11029e-21, 0, 1.41421, -2.11029e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.50526e-26, 0, 4.10818e-22, 0, 1.69943e-21, 0, 0
0.0457333, 0, 4.95924e-21, 0, 1.41421, -4.95924e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06693e-25, 0, 9.81746e-22, 0, 3.97739e-21, 0, 0
0.0536001, 0, 1.14678e-20, 0, 1.41421, -1.14678e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48679e-25, 0, 2.30693e-21, 0, 9.16065e-21, 0, 0
0.0614669, 0, 2.61153e-20, 0, 1.41421, -2.61153e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.70924e-25, 0, 5.33542e-21, 0, 2.07793e-20, 0, 0
0.0693337, 0, 5.86095e-20, 0, 1.41421, -5.86095e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29203e-24, 0, 1.21552e-20, 0, 4.6453e-20, 0, 0
0.0772005, 0, 1.29711e-19, 0, 1.41421, -1.29711e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88401e-24, 0, 2.72978e-20, 0, 1.02411e-19, 0, 0
0.0850673, 0, 2.83254e-19, 0, 1.41421, -2.83254e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.3534e-24, 0, 6.04727e-20, 0, 2.22775e-19, 0, 0
0.0929342, 0, 6.10639e-19, 0, 1.41421, -6.10639e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38205e-23, 0, 1.32223e-19, 0, 4.78402e-19, 0, 0
0.100801, 0, 1.30018e-18, 0, 1.41421, -1.30018e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96996e-23, 0, 2.85496e-19, 0, 1.01466e-18, 0, 0
0.108668, 0, 2.73539e-18, 0, 1.41421, -2.73539e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.30773e-23, 0, 6.09041e-19, 0, 2.12629e-18, 0, 0
