   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_706.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0157689, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0078855, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-2.04849e-06, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0078814, 0, 4.17741e-14, 0, 1.41421, -4.17741e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45619e-16, 0, 0, 1.45843e-16, 0, 0, 4.14827e-14, 0, 0, 0
0.0157648, 0, 6.39342e-14, 0, 1.41421, -6.39342e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22852e-16, 0, 0, 2.27489e-16, 0, 0, 6.34838e-14, 0, 0, 0
0.0236483, 0, 9.74243e-14, 0, 1.41421, -9.74243e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39564e-16, 0, 0, 3.53366e-16, 0, 0, 9.67314e-14, 0, 0, 0
0.0315317, 0, 1.47816e-13, 0, 1.41421, -1.47816e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.15167e-16, 0, 0, 5.46638e-16, 0, 0, 1.46755e-13, 0, 0, 0
0.0394152, 0, 2.23311e-13, 0, 1.41421, -2.23311e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.78229e-16, 0, 0, 8.42183e-16, 0, 0, 2.21691e-13, 0, 0, 0
0.0472986, 0, 3.35926e-13, 0, 1.41421, -3.35926e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17061e-15, 0, 0, 1.29232e-15, 0, 0, 3.33463e-13, 0, 0, 0
0.0551821, 0, 5.03189e-13, 0, 1.41421, -5.03189e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75336e-15, 0, 0, 1.9752e-15, 0, 0, 4.99461e-13, 0, 0, 0
0.0630655, 0, 7.50557e-13, 0, 1.41421, -7.50557e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61514e-15, 0, 0, 3.00719e-15, 0, 0, 7.44935e-13, 0, 0, 0
0.070949, 0, 1.11483e-12, 0, 1.41421, -1.11483e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88414e-15, 0, 0, 4.56081e-15, 0, 0, 1.10639e-12, 0, 0, 0
0.0788324, 0, 1.649e-12, 0, 1.41421, -1.649e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.74484e-15, 0, 0, 6.89139e-15, 0, 0, 1.63636e-12, 0, 0, 0
0.0867159, 0, 2.42896e-12, 0, 1.41421, -2.42896e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.46162e-15, 0, 0, 1.03747e-14, 0, 0, 2.41012e-12, 0, 0, 0
0.0945993, 0, 3.56303e-12, 0, 1.41421, -3.56303e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24117e-14, 0, 0, 1.55625e-14, 0, 0, 3.53505e-12, 0, 0, 0
0.102483, 0, 5.20504e-12, 0, 1.41421, -5.20504e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81307e-14, 0, 0, 2.32628e-14, 0, 0, 5.16365e-12, 0, 0, 0
