   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_711.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00237395, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00549249, 0, 9.37295e-18, 0, 1.41421, -9.37295e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16298e-20, 0, 0, 1.30487e-22, 0, 0, 9.34119e-18, 0, 0, 0
0.0133589, 0, 1.7396e-17, 0, 1.41421, -1.7396e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.8704e-20, 0, 0, 2.46091e-22, 0, 0, 1.7337e-17, 0, 0, 0
0.0212254, 0, 3.20285e-17, 0, 1.41421, -3.20285e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08082e-19, 0, 0, 4.60469e-22, 0, 0, 3.19199e-17, 0, 0, 0
0.0290918, 0, 5.85076e-17, 0, 1.41421, -5.85076e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97438e-19, 0, 0, 8.54985e-22, 0, 0, 5.83093e-17, 0, 0, 0
0.0369583, 0, 1.06057e-16, 0, 1.41421, -1.06057e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57899e-19, 0, 0, 1.57558e-21, 0, 0, 1.05698e-16, 0, 0, 0
0.0448247, 0, 1.90804e-16, 0, 1.41421, -1.90804e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.43881e-19, 0, 0, 2.88212e-21, 0, 0, 1.90157e-16, 0, 0, 0
0.0526911, 0, 3.40727e-16, 0, 1.41421, -3.40727e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14981e-18, 0, 0, 5.23405e-21, 0, 0, 3.39572e-16, 0, 0, 0
0.0605576, 0, 6.04022e-16, 0, 1.41421, -6.04022e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03832e-18, 0, 0, 9.43789e-21, 0, 0, 6.01975e-16, 0, 0, 0
0.068424, 0, 1.06311e-15, 0, 1.41421, -1.06311e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58752e-18, 0, 0, 1.68997e-20, 0, 0, 1.0595e-15, 0, 0, 0
0.0762905, 0, 1.85791e-15, 0, 1.41421, -1.85791e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.26963e-18, 0, 0, 3.00538e-20, 0, 0, 1.85161e-15, 0, 0, 0
0.0841569, 0, 3.22432e-15, 0, 1.41421, -3.22432e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08807e-17, 0, 0, 5.30867e-20, 0, 0, 3.21338e-15, 0, 0, 0
0.0920234, 0, 5.55722e-15, 0, 1.41421, -5.55722e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87532e-17, 0, 0, 9.31499e-20, 0, 0, 5.53837e-15, 0, 0, 0
0.0998898, 0, 9.51312e-15, 0, 1.41421, -9.51312e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21026e-17, 0, 0, 1.62381e-19, 0, 0, 9.48086e-15, 0, 0, 0
