   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_719.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.020429, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0125409, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00465274, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00323538, 0, 1.18891e-13, 0, 1.41421, -1.18891e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10537e-16, 1.47615e-14, 0, 1.03819e-13, 0, 0, 0
0.0111235, 0, 1.8001e-13, 0, 1.41421, -1.8001e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77262e-16, 2.30122e-14, 0, 1.5652e-13, 0, 0, 0
0.0190116, 0, 2.71468e-13, 0, 1.41421, -2.71468e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.30635e-16, 3.57403e-14, 0, 2.34997e-13, 0, 0, 0
0.0268998, 0, 4.07786e-13, 0, 1.41421, -4.07786e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1142e-15, 5.53016e-14, 0, 3.5137e-13, 0, 0, 0
0.0347879, 0, 6.10175e-13, 0, 1.41421, -6.10175e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69265e-15, 8.52599e-14, 0, 5.23222e-13, 0, 0, 0
0.042676, 0, 9.09488e-13, 0, 1.41421, -9.09488e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56173e-15, 1.30969e-13, 0, 7.75957e-13, 0, 0, 0
0.0505641, 0, 1.35043e-12, 0, 1.41421, -1.35043e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86268e-15, 2.00457e-13, 0, 1.14611e-12, 0, 0, 0
0.0584523, 0, 1.99753e-12, 0, 1.41421, -1.99753e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80303e-15, 3.05714e-13, 0, 1.68601e-12, 0, 0, 0
0.0663404, 0, 2.94356e-12, 0, 1.41421, -2.94356e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.6873e-15, 4.64584e-13, 0, 2.47029e-12, 0, 0, 0
0.0742285, 0, 4.32141e-12, 0, 1.41421, -4.32141e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29597e-14, 7.03526e-13, 0, 3.60492e-12, 0, 0, 0
0.0821166, 0, 6.32067e-12, 0, 1.41421, -6.32067e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92672e-14, 1.06165e-12, 0, 5.23975e-12, 0, 0, 0
0.0900048, 0, 9.21085e-12, 0, 1.41421, -9.21085e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85493e-14, 1.59654e-12, 0, 7.58577e-12, 0, 0, 0
0.0978929, 0, 1.33736e-11, 0, 1.41421, -1.33736e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21659e-14, 2.39272e-12, 0, 1.09387e-11, 0, 0, 0
