   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_744.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00732894, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000538008, 0, 5.3413e-22, 0, 1.41421, -5.3413e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00527e-24, 0, 0, 0, 1.73554e-22, 0, 3.53571e-22, 0, 0
0.00840496, 0, 1.23389e-21, 0, 1.41421, -1.23389e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6077e-23, 0, 0, 0, 4.06368e-22, 0, 8.1144e-22, 0, 0
0.0162719, 0, 2.80771e-21, 0, 1.41421, -2.80771e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.63482e-23, 0, 0, 0, 9.3679e-22, 0, 1.83457e-21, 0, 0
0.0241389, 0, 6.29814e-21, 0, 1.41421, -6.29814e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.10173e-23, 0, 0, 0, 2.128e-21, 0, 4.08912e-21, 0, 0
0.0320058, 0, 1.39363e-20, 0, 1.41421, -1.39363e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78143e-22, 0, 0, 0, 4.76686e-21, 0, 8.99127e-21, 0, 0
0.0398728, 0, 3.04378e-20, 0, 1.41421, -3.04378e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86637e-22, 0, 0, 0, 1.05368e-20, 0, 1.95144e-20, 0, 0
0.0477397, 0, 6.56517e-20, 0, 1.41421, -6.56517e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.2871e-22, 0, 0, 0, 2.29963e-20, 0, 4.18267e-20, 0, 0
0.0556067, 0, 1.3991e-19, 0, 1.41421, -1.3991e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75494e-21, 0, 0, 0, 4.95799e-20, 0, 8.85755e-20, 0, 0
0.0634736, 0, 2.94721e-19, 0, 1.41421, -2.94721e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67333e-21, 0, 0, 0, 1.05647e-19, 0, 1.85401e-19, 0, 0
