   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_11.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0017307, 0, 5.23895e-18, 0, 1.41421, -5.23895e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01868e-19, 0, 0, 4.42009e-22, 0, 1.00421e-20, 0, 5.0266e-18, 0, 0, 0
0.00958429, 0, 9.68182e-18, 0, 1.41421, -9.68182e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73048e-19, 0, 0, 8.3037e-22, 0, 1.89073e-20, 0, 9.28904e-18, 0, 0, 0
0.0174379, 0, 1.77532e-17, 0, 1.41421, -1.77532e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.84019e-19, 0, 0, 1.54794e-21, 0, 3.53295e-20, 0, 1.70323e-17, 0, 0, 0
0.0252915, 0, 3.23063e-17, 0, 1.41421, -3.23063e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24469e-18, 0, 0, 2.86397e-21, 0, 6.55317e-20, 0, 3.09932e-17, 0, 0, 0
0.0331451, 0, 5.83526e-17, 0, 1.41421, -5.83526e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2481e-18, 0, 0, 5.2601e-21, 0, 1.20687e-19, 0, 5.59786e-17, 0, 0, 0
0.0409987, 0, 1.04632e-16, 0, 1.41421, -1.04632e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03089e-18, 0, 0, 9.59192e-21, 0, 2.20723e-19, 0, 1.00371e-16, 0, 0, 0
0.0488522, 0, 1.86277e-16, 0, 1.41421, -1.86277e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.17591e-18, 0, 0, 1.73688e-20, 0, 4.0095e-19, 0, 1.78683e-16, 0, 0, 0
0.0567058, 0, 3.29313e-16, 0, 1.41421, -3.29313e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26854e-17, 0, 0, 3.12357e-20, 0, 7.23539e-19, 0, 3.15872e-16, 0, 0, 0
0.0645594, 0, 5.78177e-16, 0, 1.41421, -5.78177e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22708e-17, 0, 0, 5.57968e-20, 0, 1.29726e-18, 0, 5.54553e-16, 0, 0, 0
0.072413, 0, 1.00825e-15, 0, 1.41421, -1.00825e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88348e-17, 0, 0, 9.90142e-20, 0, 2.31128e-18, 0, 9.67003e-16, 0, 0, 0
0.0802666, 0, 1.74652e-15, 0, 1.41421, -1.74652e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.72671e-17, 0, 0, 1.74569e-19, 0, 4.09255e-18, 0, 1.67498e-15, 0, 0, 0
0.0881202, 0, 3.00551e-15, 0, 1.41421, -3.00551e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15751e-16, 0, 0, 3.05816e-19, 0, 7.20285e-18, 0, 2.88225e-15, 0, 0, 0
0.0959738, 0, 5.13859e-15, 0, 1.41421, -5.13859e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9789e-16, 0, 0, 5.32385e-19, 0, 1.2602e-17, 0, 4.92756e-15, 0, 0, 0
0.103827, 0, 8.72937e-15, 0, 1.41421, -8.72937e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.36153e-16, 0, 0, 9.21085e-19, 0, 2.19199e-17, 0, 8.37038e-15, 0, 0, 0
0.111681, 0, 1.47356e-14, 0, 1.41421, -1.47356e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67406e-16, 0, 0, 1.58387e-18, 0, 3.79099e-17, 0, 1.41287e-14, 0, 0, 0
0.119535, 0, 2.47188e-14, 0, 1.41421, -2.47188e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.51754e-16, 0, 0, 2.70727e-18, 0, 6.51957e-17, 0, 2.36991e-14, 0, 0, 0
0.127388, 0, 4.12088e-14, 0, 1.41421, -4.12088e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58656e-15, 0, 0, 4.60021e-18, 0, 1.11501e-16, 0, 3.95062e-14, 0, 0, 0
0.135242, 0, 6.8278e-14, 0, 1.41421, -6.8278e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62856e-15, 0, 0, 7.77121e-18, 0, 1.89656e-16, 0, 6.54521e-14, 0, 0, 0
0.143095, 0, 1.1244e-13, 0, 1.41421, -1.1244e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32837e-15, 0, 0, 1.30526e-17, 0, 3.20861e-16, 0, 1.07778e-13, 0, 0, 0
0.150949, 0, 1.84047e-13, 0, 1.41421, -1.84047e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08437e-15, 0, 0, 2.17993e-17, 0, 5.3996e-16, 0, 1.76401e-13, 0, 0, 0
0.158803, 0, 2.99452e-13, 0, 1.41421, -2.99452e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15257e-14, 0, 0, 3.62039e-17, 0, 9.03928e-16, 0, 2.86986e-13, 0, 0, 0
0.166656, 0, 4.84316e-13, 0, 1.41421, -4.84316e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86395e-14, 0, 0, 5.97962e-17, 0, 1.50549e-15, 0, 4.64111e-13, 0, 0, 0
0.17451, 0, 7.78672e-13, 0, 1.41421, -7.78672e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99659e-14, 0, 0, 9.82291e-17, 0, 2.49477e-15, 0, 7.46113e-13, 0, 0, 0
0.182363, 0, 1.24456e-12, 0, 1.41421, -1.24456e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78913e-14, 0, 0, 1.60507e-16, 0, 4.11355e-15, 0, 1.19239e-12, 0, 0, 0
0.190217, 0, 1.97755e-12, 0, 1.41421, -1.97755e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.60917e-14, 0, 0, 2.60904e-16, 0, 6.74945e-15, 0, 1.89444e-12, 0, 0, 0
0.19807, 0, 3.12393e-12, 0, 1.41421, -3.12393e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20194e-13, 0, 0, 4.2194e-16, 0, 1.1021e-14, 0, 2.99229e-12, 0, 0, 0
0.205924, 0, 4.90624e-12, 0, 1.41421, -4.90624e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88758e-13, 0, 0, 6.79013e-16, 0, 1.79106e-14, 0, 4.69889e-12, 0, 0, 0
0.213778, 0, 7.66094e-12, 0, 1.41421, -7.66094e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94726e-13, 0, 0, 1.08746e-15, 0, 2.8972e-14, 0, 7.33615e-12, 0, 0, 0
0.221631, 0, 1.18935e-11, 0, 1.41421, -1.18935e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.57544e-13, 0, 0, 1.73353e-15, 0, 4.66513e-14, 0, 1.13876e-11, 0, 0, 0
0.229485, 0, 1.83589e-11, 0, 1.41421, -1.83589e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06253e-13, 0, 0, 2.7511e-15, 0, 7.47846e-14, 0, 1.75751e-11, 0, 0, 0
0.237338, 0, 2.81883e-11, 0, 1.41421, -2.81883e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08441e-12, 0, 0, 4.35586e-15, 0, 1.19601e-13, 0, 2.69799e-11, 0, 0, 0
0.245192, 0, 4.30149e-11, 0, 1.41421, -4.30149e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65485e-12, 0, 0, 6.85545e-15, 0, 1.90076e-13, 0, 4.11631e-11, 0, 0, 0
0.253046, 0, 6.52691e-11, 0, 1.41421, -6.52691e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51117e-12, 0, 0, 1.07486e-14, 0, 3.0085e-13, 0, 6.24463e-11, 0, 0, 0
0.260899, 0, 9.84788e-11, 0, 1.41421, -9.84788e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7893e-12, 0, 0, 1.67935e-14, 0, 4.7431e-13, 0, 9.41984e-11, 0, 0, 0
