   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_127.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00319787, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00468212, 0, 3.63651e-20, 0, 1.41421, -3.63651e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31127e-22, 0, 0, 1.18406e-24, 6.51909e-24, 0, 3.61263e-20, 0, 0, 0
0.0125621, 0, 7.74118e-20, 0, 1.41421, -7.74118e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92006e-22, 0, 0, 2.55686e-24, 1.41711e-23, 0, 7.6903e-20, 0, 0, 0
0.0204421, 0, 1.62762e-19, 0, 1.41421, -1.62762e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03446e-21, 0, 0, 5.45403e-24, 3.04156e-23, 0, 1.61692e-19, 0, 0, 0
0.0283221, 0, 3.38162e-19, 0, 1.41421, -3.38162e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14924e-21, 0, 0, 1.14978e-23, 6.44918e-23, 0, 3.35936e-19, 0, 0, 0
0.0362021, 0, 6.94545e-19, 0, 1.41421, -6.94545e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41426e-21, 0, 0, 2.39651e-23, 1.35158e-22, 0, 6.89971e-19, 0, 0, 0
0.0440821, 0, 1.41073e-18, 0, 1.41421, -1.41073e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.96601e-21, 0, 0, 4.94061e-23, 2.80097e-22, 0, 1.40143e-18, 0, 0, 0
0.0519621, 0, 2.83463e-18, 0, 1.41421, -2.83463e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80157e-20, 0, 0, 1.00778e-22, 5.74213e-22, 0, 2.81594e-18, 0, 0, 0
0.059842, 0, 5.63627e-18, 0, 1.41421, -5.63627e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58215e-20, 0, 0, 2.03457e-22, 1.16493e-21, 0, 5.59908e-18, 0, 0, 0
0.067722, 0, 1.12737e-17, 0, 1.41421, -1.12737e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.16498e-20, 0, 0, 4.15017e-22, 2.3908e-21, 0, 1.11992e-17, 0, 0, 0
0.075602, 0, 2.19308e-17, 0, 1.41421, -2.19308e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39381e-19, 0, 0, 8.19869e-22, 4.74537e-21, 0, 2.17859e-17, 0, 0, 0
0.083482, 0, 4.22563e-17, 0, 1.41421, -4.22563e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68557e-19, 0, 0, 1.60461e-21, 9.33143e-21, 0, 4.19768e-17, 0, 0, 0
0.091362, 0, 8.06605e-17, 0, 1.41421, -8.06605e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.12629e-19, 0, 0, 3.11196e-21, 1.8184e-20, 0, 8.01265e-17, 0, 0, 0
0.099242, 0, 1.5256e-16, 0, 1.41421, -1.5256e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.69577e-19, 0, 0, 5.98167e-21, 3.51233e-20, 0, 1.5155e-16, 0, 0, 0
0.107122, 0, 2.85963e-16, 0, 1.41421, -2.85963e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81739e-18, 0, 0, 1.13977e-20, 6.72609e-20, 0, 2.84067e-16, 0, 0, 0
0.115002, 0, 5.31296e-16, 0, 1.41421, -5.31296e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37654e-18, 0, 0, 2.15323e-20, 1.27728e-19, 0, 5.2777e-16, 0, 0, 0
0.122882, 0, 9.78547e-16, 0, 1.41421, -9.78547e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.21891e-18, 0, 0, 4.03381e-20, 2.40574e-19, 0, 9.72047e-16, 0, 0, 0
0.130762, 0, 1.78694e-15, 0, 1.41421, -1.78694e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13563e-17, 0, 0, 7.49479e-20, 4.49507e-19, 0, 1.77506e-15, 0, 0, 0
0.138642, 0, 3.23572e-15, 0, 1.41421, -3.23572e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05635e-17, 0, 0, 1.38127e-19, 8.33339e-19, 0, 3.21418e-15, 0, 0, 0
0.146522, 0, 5.81062e-15, 0, 1.41421, -5.81062e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.69271e-17, 0, 0, 2.52545e-19, 1.53315e-18, 0, 5.7719e-15, 0, 0, 0
0.154402, 0, 1.03492e-14, 0, 1.41421, -1.03492e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.577e-17, 0, 0, 4.58129e-19, 2.79954e-18, 0, 1.02802e-14, 0, 0, 0
0.162282, 0, 1.82842e-14, 0, 1.41421, -1.82842e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16196e-16, 0, 0, 8.24688e-19, 5.0746e-18, 0, 1.81621e-14, 0, 0, 0
0.170162, 0, 3.20454e-14, 0, 1.41421, -3.20454e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03648e-16, 0, 0, 1.47332e-18, 9.1325e-18, 0, 3.18312e-14, 0, 0, 0
0.178042, 0, 5.57207e-14, 0, 1.41421, -5.57207e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54102e-16, 0, 0, 2.6125e-18, 1.63196e-17, 0, 5.53477e-14, 0, 0, 0
0.185922, 0, 9.61309e-14, 0, 1.41421, -9.61309e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10904e-16, 0, 0, 4.59855e-18, 2.89612e-17, 0, 9.54865e-14, 0, 0, 0
0.193802, 0, 1.64566e-13, 0, 1.41421, -1.64566e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0458e-15, 0, 0, 8.036e-18, 5.10465e-17, 0, 1.63461e-13, 0, 0, 0
