   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_141.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.000524532, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00734616, 0, 6.20506e-19, 0, 1.41421, -6.20506e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89621e-21, 0, 0, 7.39022e-24, 0, 1.41187e-20, 0, 6.03484e-19, 0, 0
0.0152169, 0, 1.21094e-18, 0, 1.41421, -1.21094e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64972e-21, 0, 0, 1.46474e-23, 0, 2.80379e-20, 0, 1.17723e-18, 0, 0
0.0230876, 0, 2.34131e-18, 0, 1.41421, -2.34131e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0919e-20, 0, 0, 2.87653e-23, 0, 5.51697e-20, 0, 2.27519e-18, 0, 0
0.0309583, 0, 4.4861e-18, 0, 1.41421, -4.4861e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09125e-20, 0, 0, 5.59891e-23, 0, 1.07595e-19, 0, 4.35754e-18, 0, 0
0.038829, 0, 8.66698e-18, 0, 1.41421, -8.66698e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03787e-20, 0, 0, 1.10403e-22, 0, 2.12758e-19, 0, 8.41373e-18, 0, 0
0.0466997, 0, 1.6292e-17, 0, 1.41421, -1.6292e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.58685e-20, 0, 0, 2.10821e-22, 0, 4.0715e-19, 0, 1.58088e-17, 0, 0
0.0545704, 0, 3.03745e-17, 0, 1.41421, -3.03745e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41382e-19, 0, 0, 3.99341e-22, 0, 7.72991e-19, 0, 2.94597e-17, 0, 0
0.062441, 0, 5.61754e-17, 0, 1.41421, -5.61754e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61348e-19, 0, 0, 7.50497e-22, 0, 1.45625e-18, 0, 5.44571e-17, 0, 0
0.0703118, 0, 1.03076e-16, 0, 1.41421, -1.03076e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79301e-19, 0, 0, 1.3996e-21, 0, 2.72283e-18, 0, 9.98721e-17, 0, 0
0.0781825, 0, 1.8767e-16, 0, 1.41421, -1.8767e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.72203e-19, 0, 0, 2.59039e-21, 0, 5.05365e-18, 0, 1.81741e-16, 0, 0
0.0860531, 0, 3.39096e-16, 0, 1.41421, -3.39096e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5751e-18, 0, 0, 4.75886e-21, 0, 9.31244e-18, 0, 3.28203e-16, 0, 0
0.0939238, 0, 6.08124e-16, 0, 1.41421, -6.08124e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82311e-18, 0, 0, 8.67902e-21, 0, 1.70397e-17, 0, 5.88252e-16, 0, 0
0.101795, 0, 1.08256e-15, 0, 1.41421, -1.08256e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02257e-18, 0, 0, 1.57152e-20, 0, 3.09647e-17, 0, 1.04656e-15, 0, 0
0.109665, 0, 1.91314e-15, 0, 1.41421, -1.91314e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.87048e-18, 0, 0, 2.82554e-20, 0, 5.58901e-17, 0, 1.84835e-15, 0, 0
0.117536, 0, 3.35675e-15, 0, 1.41421, -3.35675e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55536e-17, 0, 0, 5.04496e-20, 0, 1.00213e-16, 0, 3.24093e-15, 0, 0
0.125407, 0, 5.84797e-15, 0, 1.41421, -5.84797e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7078e-17, 0, 0, 8.94605e-20, 0, 1.78519e-16, 0, 5.64229e-15, 0, 0
0.133277, 0, 1.01169e-14, 0, 1.41421, -1.01169e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.68101e-17, 0, 0, 1.57567e-19, 0, 3.15988e-16, 0, 9.7539e-15, 0, 0
0.141148, 0, 1.73808e-14, 0, 1.41421, -1.73808e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.03584e-17, 0, 0, 2.75682e-19, 0, 5.55811e-16, 0, 1.67444e-14, 0, 0
0.149019, 0, 2.9656e-14, 0, 1.41421, -2.9656e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37e-16, 0, 0, 4.79178e-19, 0, 9.7163e-16, 0, 2.85468e-14, 0, 0
0.156889, 0, 5.02573e-14, 0, 1.41421, -5.02573e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31972e-16, 0, 0, 8.27509e-19, 0, 1.68824e-15, 0, 4.83363e-14, 0, 0
0.16476, 0, 8.45978e-14, 0, 1.41421, -8.45978e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.90125e-16, 0, 0, 1.41994e-18, 0, 2.91587e-15, 0, 8.12903e-14, 0, 0
0.172631, 0, 1.41455e-13, 0, 1.41421, -1.41455e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.51699e-16, 0, 0, 2.42121e-18, 0, 5.00658e-15, 0, 1.35794e-13, 0, 0
0.180502, 0, 2.34962e-13, 0, 1.41421, -2.34962e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08141e-15, 0, 0, 4.10295e-18, 0, 8.54687e-15, 0, 2.25329e-13, 0, 0
0.188372, 0, 3.87724e-13, 0, 1.41421, -3.87724e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78259e-15, 0, 0, 6.9104e-18, 0, 1.45081e-14, 0, 3.71427e-13, 0, 0
