   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_176.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00444992, 0, 1.65503e-27, 0, 1.41421, -1.65503e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.63494e-30, 0, 0, 4.91861e-32, 3.16752e-31, 0, 1.64503e-27, 0, 0, 0
0.0122907, 0, 1.23585e-26, 0, 1.41421, -1.23585e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19405e-29, 0, 0, 3.72189e-31, 3.43173e-30, 0, 1.22828e-26, 0, 0, 0
0.0201314, 0, 4.70824e-26, 0, 1.41421, -4.70824e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74064e-28, 0, 0, 1.43447e-30, 1.43776e-29, 0, 4.67925e-26, 0, 0, 0
0.0279722, 0, 1.646e-25, 0, 1.41421, -1.646e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.5811e-28, 0, 0, 5.07173e-30, 5.36569e-29, 0, 1.63583e-25, 0, 0, 0
0.0358129, 0, 5.40545e-25, 0, 1.41421, -5.40545e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14637e-27, 0, 0, 1.684e-29, 1.85242e-28, 0, 5.37197e-25, 0, 0, 0
0.0436536, 0, 1.68996e-24, 0, 1.41421, -1.68996e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.83664e-27, 0, 0, 5.32226e-29, 6.03286e-28, 0, 1.67946e-24, 0, 0, 0
0.0514944, 0, 5.07296e-24, 0, 1.41421, -5.07296e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95275e-26, 0, 0, 1.61493e-28, 1.87521e-27, 0, 5.0414e-24, 0, 0, 0
0.0593351, 0, 1.47073e-23, 0, 1.41421, -1.47073e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.56038e-26, 0, 0, 4.73245e-28, 5.60587e-27, 0, 1.46156e-23, 0, 0, 0
0.0671759, 0, 4.13561e-23, 0, 1.41421, -4.13561e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40711e-25, 0, 0, 1.34515e-27, 1.62048e-26, 0, 4.10978e-23, 0, 0, 0
0.0750166, 0, 1.13157e-22, 0, 1.41421, -1.13157e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58618e-25, 0, 0, 3.72074e-27, 4.54752e-26, 0, 1.1245e-22, 0, 0, 0
0.0828574, 0, 3.0204e-22, 0, 1.41421, -3.0204e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75797e-24, 0, 0, 1.00411e-26, 1.24269e-25, 0, 3.00148e-22, 0, 0, 0
0.0906981, 0, 7.88091e-22, 0, 1.41421, -7.88091e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5869e-24, 0, 0, 2.64928e-26, 3.31485e-25, 0, 7.83146e-22, 0, 0, 0
0.0985389, 0, 2.01348e-21, 0, 1.41421, -2.01348e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17189e-23, 0, 0, 6.84561e-26, 8.64827e-25, 0, 2.00083e-21, 0, 0, 0
0.10638, 0, 5.04422e-21, 0, 1.41421, -5.04422e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93582e-23, 0, 0, 1.73483e-25, 2.21039e-24, 0, 5.01248e-21, 0, 0, 0
0.11422, 0, 1.24061e-20, 0, 1.41421, -1.24061e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.22046e-23, 0, 0, 4.31708e-25, 5.54213e-24, 0, 1.23279e-20, 0, 0, 0
0.122061, 0, 2.99861e-20, 0, 1.41421, -2.99861e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74521e-22, 0, 0, 1.05601e-24, 1.36478e-23, 0, 2.97969e-20, 0, 0, 0
0.129902, 0, 7.12908e-20, 0, 1.41421, -7.12908e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14912e-22, 0, 0, 2.54141e-24, 3.30413e-23, 0, 7.08403e-20, 0, 0, 0
0.137743, 0, 1.66843e-19, 0, 1.41421, -1.66843e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.7102e-22, 0, 0, 6.0222e-24, 7.87118e-23, 0, 1.65788e-19, 0, 0, 0
0.145583, 0, 3.84626e-19, 0, 1.41421, -3.84626e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23849e-21, 0, 0, 1.40606e-23, 1.84646e-22, 0, 3.82189e-19, 0, 0, 0
0.153424, 0, 8.73939e-19, 0, 1.41421, -8.73939e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08619e-21, 0, 0, 3.23658e-23, 4.26821e-22, 0, 8.68394e-19, 0, 0, 0
0.161265, 0, 1.95821e-18, 0, 1.41421, -1.95821e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13964e-20, 0, 0, 7.34904e-23, 9.72776e-22, 0, 1.94577e-18, 0, 0, 0
0.169106, 0, 4.32887e-18, 0, 1.41421, -4.32887e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51929e-20, 0, 0, 1.64681e-22, 2.1871e-21, 0, 4.30133e-18, 0, 0, 0
0.176946, 0, 9.445e-18, 0, 1.41421, -9.445e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4967e-20, 0, 0, 3.64337e-22, 4.85303e-21, 0, 9.38482e-18, 0, 0, 0
0.184787, 0, 2.0347e-17, 0, 1.41421, -2.0347e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18412e-19, 0, 0, 7.96122e-22, 1.06324e-20, 0, 2.02172e-17, 0, 0, 0
0.192628, 0, 4.32923e-17, 0, 1.41421, -4.32923e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51943e-19, 0, 0, 1.71876e-21, 2.30083e-20, 0, 4.30156e-17, 0, 0, 0
0.200469, 0, 9.10032e-17, 0, 1.41421, -9.10032e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29594e-19, 0, 0, 3.66729e-21, 4.91952e-20, 0, 9.04207e-17, 0, 0, 0
0.208309, 0, 1.8904e-16, 0, 1.41421, -1.8904e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10011e-18, 0, 0, 7.73553e-21, 1.03964e-19, 0, 1.87829e-16, 0, 0, 0
0.21615, 0, 3.88155e-16, 0, 1.41421, -3.88155e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25882e-18, 0, 0, 1.61346e-20, 2.17214e-19, 0, 3.85663e-16, 0, 0, 0
0.223991, 0, 7.87959e-16, 0, 1.41421, -7.87959e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58537e-18, 0, 0, 3.32851e-20, 4.48801e-19, 0, 7.82891e-16, 0, 0, 0
0.231832, 0, 1.58173e-15, 0, 1.41421, -1.58173e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.20446e-18, 0, 0, 6.79295e-20, 9.17253e-19, 0, 1.57154e-15, 0, 0, 0
0.239672, 0, 3.14029e-15, 0, 1.41421, -3.14029e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82738e-17, 0, 0, 1.37173e-19, 1.85478e-18, 0, 3.12003e-15, 0, 0, 0
0.247513, 0, 6.16718e-15, 0, 1.41421, -6.16718e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58871e-17, 0, 0, 2.74129e-19, 3.7116e-18, 0, 6.12731e-15, 0, 0, 0
0.255354, 0, 1.19825e-14, 0, 1.41421, -1.19825e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97252e-17, 0, 0, 5.42245e-19, 7.35155e-18, 0, 1.19048e-14, 0, 0, 0
0.263195, 0, 2.3036e-14, 0, 1.41421, -2.3036e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34043e-16, 0, 0, 1.0619e-18, 1.44156e-17, 0, 2.28865e-14, 0, 0, 0
0.271035, 0, 4.38251e-14, 0, 1.41421, -4.38251e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55007e-16, 0, 0, 2.05918e-18, 2.79902e-17, 0, 4.35401e-14, 0, 0, 0
0.278876, 0, 8.25172e-14, 0, 1.41421, -8.25172e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80137e-16, 0, 0, 3.95456e-18, 5.38237e-17, 0, 8.19793e-14, 0, 0, 0
0.286717, 0, 1.54071e-13, 0, 1.41421, -1.54071e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.96468e-16, 0, 0, 7.54746e-18, 1.02859e-16, 0, 1.53064e-13, 0, 0, 0
0.294558, 0, 2.84159e-13, 0, 1.41421, -2.84159e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65337e-15, 0, 0, 1.422e-17, 1.94037e-16, 0, 2.82297e-13, 0, 0, 0
0.302398, 0, 5.18863e-13, 0, 1.41421, -5.18863e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01898e-15, 0, 0, 2.65505e-17, 3.62731e-16, 0, 5.15455e-13, 0, 0, 0
0.310239, 0, 9.38056e-13, 0, 1.41421, -9.38056e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45803e-15, 0, 0, 4.91377e-17, 6.7208e-16, 0, 9.31877e-13, 0, 0, 0
0.31808, 0, 1.67927e-12, 0, 1.41421, -1.67927e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.77087e-15, 0, 0, 9.01642e-17, 1.23446e-15, 0, 1.66818e-12, 0, 0, 0
0.32592, 0, 2.97687e-12, 0, 1.41421, -2.97687e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73214e-14, 0, 0, 1.6408e-16, 2.24827e-15, 0, 2.95714e-12, 0, 0, 0
0.333761, 0, 5.22606e-12, 0, 1.41421, -5.22606e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04101e-14, 0, 0, 2.96224e-16, 4.061e-15, 0, 5.19129e-12, 0, 0, 0
0.341602, 0, 9.08637e-12, 3.08286e-44, 1.41421, -9.08637e-12, 0, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 3.08286e-44, 5.2877e-14, 3.08286e-44, 3.08286e-44, 5.30744e-16, 7.27682e-15, 3.08286e-44, 9.02569e-12, 3.08286e-44, 3.08286e-44, 3.08286e-44
0.349443, 0, 1.56472e-11, 5.395e-43, 1.41421, -1.56472e-11, 0, 5.395e-43, 5.395e-43, 5.395e-43, 5.395e-43, 5.395e-43, 5.395e-43, 5.395e-43, 5.395e-43, 5.395e-43, 5.395e-43, 5.395e-43, 5.395e-43, 9.10666e-14, 5.395e-43, 5.395e-43, 9.44125e-16, 1.2939e-14, 5.395e-43, 1.55422e-11, 5.395e-43, 5.395e-43, 5.395e-43
0.357284, 0, 2.66892e-11, 7.86409e-42, 1.41421, -2.66892e-11, 0, 7.86409e-42, 7.86409e-42, 7.86409e-42, 7.86409e-42, 7.86409e-42, 7.86409e-42, 7.86409e-42, 7.86409e-42, 7.86409e-42, 7.86409e-42, 7.86409e-42, 7.86409e-42, 1.55355e-13, 7.86409e-42, 7.86409e-42, 1.66823e-15, 2.28378e-14, 7.86409e-42, 2.65093e-11, 7.86409e-42, 7.86409e-42, 7.86409e-42
0.365124, 0, 4.50935e-11, 1.01458e-40, 1.41421, -4.50935e-11, 0, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 1.01458e-40, 2.62541e-13, 1.01458e-40, 1.01458e-40, 2.92945e-15, 4.00277e-14, 1.01458e-40, 4.4788e-11, 1.01458e-40, 1.01458e-40, 1.01458e-40
0.372965, 0, 7.5474e-11, 1.17373e-39, 1.41421, -7.5474e-11, 0, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 1.17373e-39, 4.39545e-13, 1.17373e-39, 1.17373e-39, 5.11527e-15, 6.96956e-14, 1.17373e-39, 7.49596e-11, 1.17373e-39, 1.17373e-39, 1.17373e-39
0.380806, 0, 1.25144e-10, 1.22641e-38, 1.41421, -1.25144e-10, 0, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 1.22641e-38, 7.29086e-13, 1.22641e-38, 1.22641e-38, 8.88728e-15, 1.20613e-13, 1.22641e-38, 1.24285e-10, 1.22641e-38, 1.22641e-38, 1.22641e-38
