   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_200.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00314318, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00472969, 0, 1.37731e-18, 0, 1.41421, -1.37731e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9654e-21, 0, 0, 5.43866e-23, 0, 1.01676e-21, 0, 1.37327e-18, 0, 0, 0
0.0126026, 0, 2.79749e-18, 0, 1.41421, -2.79749e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.02304e-21, 0, 0, 1.12012e-22, 0, 2.10383e-21, 0, 2.78925e-18, 0, 0, 0
0.0204754, 0, 5.62338e-18, 0, 1.41421, -5.62338e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2107e-20, 0, 0, 2.28351e-22, 0, 4.30788e-21, 0, 5.60674e-18, 0, 0, 0
0.0283483, 0, 1.11906e-17, 0, 1.41421, -1.11906e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40928e-20, 0, 0, 4.60945e-22, 0, 8.73252e-21, 0, 1.11573e-17, 0, 0, 0
0.0362211, 0, 2.20529e-17, 0, 1.41421, -2.20529e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7478e-20, 0, 0, 9.21585e-22, 0, 1.75304e-20, 0, 2.19869e-17, 0, 0, 0
0.044094, 0, 4.30472e-17, 0, 1.41421, -4.30472e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.26756e-20, 0, 0, 1.82548e-21, 0, 3.48625e-20, 0, 4.29178e-17, 0, 0, 0
0.0519669, 0, 8.32528e-17, 0, 1.41421, -8.32528e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79231e-19, 0, 0, 3.5833e-21, 0, 6.87015e-20, 0, 8.30013e-17, 0, 0, 0
0.0598397, 0, 1.5956e-16, 0, 1.41421, -1.5956e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43502e-19, 0, 0, 6.97198e-21, 0, 1.34194e-19, 0, 1.59075e-16, 0, 0, 0
0.0677126, 0, 3.03113e-16, 0, 1.41421, -3.03113e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.52534e-19, 0, 0, 1.34488e-20, 0, 2.59875e-19, 0, 3.02187e-16, 0, 0, 0
0.0755855, 0, 5.77741e-16, 0, 1.41421, -5.77741e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24372e-18, 0, 0, 2.61302e-20, 0, 5.07496e-19, 0, 5.75964e-16, 0, 0, 0
0.0834583, 0, 1.07746e-15, 0, 1.41421, -1.07746e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31944e-18, 0, 0, 4.94977e-20, 0, 9.65261e-19, 0, 1.07413e-15, 0, 0, 0
0.0913312, 0, 1.99298e-15, 0, 1.41421, -1.99298e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29018e-18, 0, 0, 9.30192e-20, 0, 1.82163e-18, 0, 1.98677e-15, 0, 0, 0
