   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_237.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0380375, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0300097, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0219819, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.013954, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00592621, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00210162, 0, 1.96861e-16, 0, 1.41421, -1.96861e-16, 0, 0, 0, 0, 0, 0, 0, 0, 8.49638e-19, 0, 0, 3.07662e-21, 5.42603e-20, 1.95954e-16, 0, 0
0.0101294, 0, 3.72355e-16, 0, 1.41421, -3.72355e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.60705e-18, 0, 0, 5.93701e-21, 1.04835e-19, 3.70637e-16, 0, 0
0.0181573, 0, 6.98045e-16, 0, 1.41421, -6.98045e-16, 0, 0, 0, 0, 0, 0, 0, 0, 3.01267e-18, 0, 0, 1.13559e-20, 2.00854e-19, 6.9482e-16, 0, 0
0.0261851, 0, 1.29723e-15, 0, 1.41421, -1.29723e-15, 0, 0, 0, 0, 0, 0, 0, 0, 5.59865e-18, 0, 0, 2.1534e-20, 3.81675e-19, 1.29123e-15, 0, 0
0.0342129, 0, 2.39021e-15, 0, 1.41421, -2.39021e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.03157e-17, 0, 0, 4.04906e-20, 7.1951e-19, 2.37913e-15, 0, 0
