   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_25.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0470649, 0, 2.44672e-26, 0, 1.41421, -2.44672e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96281e-28, 0, 0, 1.90798e-31, 2.42715e-30, 0, 2.41683e-26, 0, 0, 0
0.0547203, 0, 8.64374e-26, 0, 1.41421, -8.64374e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04669e-27, 0, 0, 6.79672e-31, 9.15056e-30, 0, 8.53808e-26, 0, 0, 0
0.0623756, 0, 2.88823e-25, 0, 1.41421, -2.88823e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4974e-27, 0, 0, 2.29211e-30, 3.2203e-29, 0, 2.85291e-25, 0, 0, 0
0.070031, 0, 9.21638e-25, 0, 1.41421, -9.21638e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11602e-26, 0, 0, 7.38601e-30, 1.0729e-28, 0, 9.10363e-25, 0, 0, 0
0.0776863, 0, 2.82769e-24, 0, 1.41421, -2.82769e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42406e-26, 0, 0, 2.28918e-29, 3.41595e-28, 0, 2.79308e-24, 0, 0, 0
0.0853417, 0, 8.38319e-24, 0, 1.41421, -8.38319e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01512e-25, 0, 0, 6.85751e-29, 1.04622e-27, 0, 8.28056e-24, 0, 0, 0
0.092997, 0, 2.41066e-23, 0, 1.41421, -2.41066e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91906e-25, 0, 0, 1.99293e-28, 3.09745e-27, 0, 2.38114e-23, 0, 0, 0
0.100652, 0, 6.7438e-23, 0, 1.41421, -6.7438e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.16601e-25, 0, 0, 5.63563e-28, 8.89773e-27, 0, 6.6612e-23, 0, 0, 0
0.108308, 0, 1.8397e-22, 0, 1.41421, -1.8397e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22767e-24, 0, 0, 1.55434e-27, 2.48721e-26, 0, 1.81716e-22, 0, 0, 0
0.115963, 0, 4.90357e-22, 0, 1.41421, -4.90357e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.93765e-24, 0, 0, 4.18945e-27, 6.78158e-26, 0, 4.84347e-22, 0, 0, 0
