   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_26.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0224302, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0144685, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00650688, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00145479, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00941646, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0173781, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0253398, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0333015, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0412631, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0492248, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0571865, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0651481, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0731098, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0810715, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0890331, 0, 3.83685e-29, 0, 1.41421, -3.83685e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87022e-31, 0, 0, 5.86869e-34, 1.9231e-33, 0, 3.80789e-29, 0, 0
0.0969948, 0, 3.2955e-28, 0, 1.41421, -3.2955e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46523e-30, 0, 0, 5.06101e-33, 2.11357e-32, 0, 3.27059e-28, 0, 0
0.104956, 0, 1.95757e-27, 0, 1.41421, -1.95757e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46436e-29, 0, 0, 3.02592e-32, 1.44198e-31, 0, 1.94276e-27, 0, 0
0.112918, 0, 9.73397e-27, 0, 1.41421, -9.73397e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.28145e-29, 0, 0, 1.51616e-31, 7.86536e-31, 0, 9.66021e-27, 0, 0
0.12088, 0, 4.3245e-26, 0, 1.41421, -4.3245e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2349e-28, 0, 0, 6.7905e-31, 3.74191e-30, 0, 4.29171e-26, 0, 0
