   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_564.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0238474, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0159534, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00805936, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000165337, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00772869, 0, 8.55889e-14, 0, 1.41421, -8.55889e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48513e-16, 0, 0, 5.20318e-16, 0, 5.40252e-15, 0, 7.94175e-14, 0, 0, 0
0.0156227, 0, 1.29593e-13, 0, 1.41421, -1.29593e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7548e-16, 0, 0, 8.01323e-16, 0, 8.42439e-15, 0, 1.19992e-13, 0, 0, 0
0.0235167, 0, 1.95429e-13, 0, 1.41421, -1.95429e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64974e-16, 0, 0, 1.22924e-15, 0, 1.3087e-14, 0, 1.80548e-13, 0, 0, 0
0.0314108, 0, 2.9353e-13, 0, 1.41421, -2.9353e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.46614e-16, 0, 0, 1.87838e-15, 0, 2.02558e-14, 0, 2.70549e-13, 0, 0, 0
0.0393048, 0, 4.3912e-13, 0, 1.41421, -4.3912e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26348e-15, 0, 0, 2.85933e-15, 0, 3.12361e-14, 0, 4.03761e-13, 0, 0, 0
0.0471988, 0, 6.54322e-13, 0, 1.41421, -6.54322e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87795e-15, 0, 0, 4.33614e-15, 0, 4.79924e-14, 0, 6.00116e-13, 0, 0, 0
0.0550928, 0, 9.71159e-13, 0, 1.41421, -9.71159e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78e-15, 0, 0, 6.55131e-15, 0, 7.34703e-14, 0, 8.88358e-13, 0, 0, 0
0.0629868, 0, 1.43578e-12, 0, 1.41421, -1.43578e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09879e-15, 0, 0, 9.86211e-15, 0, 1.1207e-13, 0, 1.30975e-12, 0, 0, 0
0.0708809, 0, 2.11446e-12, 0, 1.41421, -2.11446e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.01901e-15, 0, 0, 1.47935e-14, 0, 1.7034e-13, 0, 1.9233e-12, 0, 0, 0
0.0787749, 0, 3.10191e-12, 0, 1.41421, -3.10191e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.80363e-15, 0, 0, 2.21133e-14, 0, 2.57996e-13, 0, 2.813e-12, 0, 0, 0
0.0866689, 0, 4.53305e-12, 0, 1.41421, -4.53305e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28254e-14, 0, 0, 3.29421e-14, 0, 3.89397e-13, 0, 4.09789e-12, 0, 0, 0
0.0945629, 0, 6.59924e-12, 0, 1.41421, -6.59924e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86106e-14, 0, 0, 4.89107e-14, 0, 5.85696e-13, 0, 5.94602e-12, 0, 0, 0
0.102457, 0, 9.57081e-12, 0, 1.41421, -9.57081e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68989e-14, 0, 0, 7.23861e-14, 0, 8.7795e-13, 0, 8.59358e-12, 0, 0, 0
0.110351, 0, 1.38282e-11, 0, 1.41421, -1.38282e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8726e-14, 0, 0, 1.06795e-13, 0, 1.31161e-12, 0, 1.23711e-11, 0, 0, 0
0.118245, 0, 1.99047e-11, 0, 1.41421, -1.99047e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.55351e-14, 0, 0, 1.57089e-13, 0, 1.95298e-12, 0, 1.77391e-11, 0, 0, 0
