   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_581.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.000114769, 0, 4.95236e-20, 0, 1.41421, -4.95236e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18343e-25, 0, 8.46801e-21, 0, 4.10552e-20, 0, 0, 0
0.00797506, 0, 1.02129e-19, 0, 1.41421, -1.02129e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.7302e-25, 0, 1.77206e-20, 0, 8.44076e-20, 0, 0, 0
0.0158354, 0, 2.0837e-19, 0, 1.41421, -2.0837e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80264e-24, 0, 3.66837e-20, 0, 1.71685e-19, 0, 0, 0
0.0236956, 0, 4.20751e-19, 0, 1.41421, -4.20751e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6842e-24, 0, 7.51521e-20, 0, 3.45595e-19, 0, 0, 0
0.0315559, 0, 8.41136e-19, 0, 1.41421, -8.41136e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.45543e-24, 0, 1.52423e-19, 0, 6.88706e-19, 0, 0, 0
0.0394162, 0, 1.66528e-18, 0, 1.41421, -1.66528e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49426e-23, 0, 3.06158e-19, 0, 1.35911e-18, 0, 0, 0
0.0472765, 0, 3.26594e-18, 0, 1.41421, -3.26594e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96702e-23, 0, 6.09208e-19, 0, 2.6567e-18, 0, 0, 0
0.0551368, 0, 6.34655e-18, 0, 1.41421, -6.34655e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.83806e-23, 0, 1.20125e-18, 0, 5.14524e-18, 0, 0, 0
0.0629971, 0, 1.22229e-17, 0, 1.41421, -1.22229e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13859e-22, 0, 2.34784e-18, 0, 9.87499e-18, 0, 0, 0
0.0708574, 0, 2.33354e-17, 0, 1.41421, -2.33354e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20146e-22, 0, 4.54958e-18, 0, 1.87856e-17, 0, 0, 0
0.0787177, 0, 4.41713e-17, 0, 1.41421, -4.41713e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22067e-22, 0, 8.74268e-18, 0, 3.54282e-17, 0, 0, 0
0.086578, 0, 8.29141e-17, 0, 1.41421, -8.29141e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.02521e-22, 0, 1.66639e-17, 0, 6.62494e-17, 0, 0, 0
