   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_728.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00266565, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00519076, 0, 3.61926e-21, 0, 1.41421, -3.61926e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29082e-23, 0, 0, 0, 4.70857e-22, 0, 3.1355e-21, 0, 0, 0
0.0130472, 0, 8.07438e-21, 0, 1.41421, -8.07438e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87091e-23, 0, 0, 0, 1.07202e-21, 0, 6.97365e-21, 0, 0, 0
0.0209036, 0, 1.86025e-20, 0, 1.41421, -1.86025e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58488e-23, 0, 0, 0, 2.54149e-21, 0, 1.59952e-20, 0, 0, 0
0.02876, 0, 4.02095e-20, 0, 1.41421, -4.02095e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41906e-22, 0, 0, 0, 5.59754e-21, 0, 3.447e-20, 0, 0, 0
0.0366164, 0, 8.5848e-20, 0, 1.41421, -8.5848e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02064e-22, 0, 0, 0, 1.21723e-20, 0, 7.33736e-20, 0, 0, 0
0.0444728, 0, 1.81126e-19, 0, 1.41421, -1.81126e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35394e-22, 0, 0, 0, 2.61489e-20, 0, 1.54342e-19, 0, 0, 0
0.0523292, 0, 3.77804e-19, 0, 1.41421, -3.77804e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32133e-21, 0, 0, 0, 5.55212e-20, 0, 3.20961e-19, 0, 0, 0
0.0601857, 0, 7.7938e-19, 0, 1.41421, -7.7938e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71747e-21, 0, 0, 0, 1.16568e-19, 0, 6.60094e-19, 0, 0, 0
0.0680421, 0, 1.59066e-18, 0, 1.41421, -1.59066e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.52898e-21, 0, 0, 0, 2.42097e-19, 0, 1.34303e-18, 0, 0, 0
0.0758985, 0, 3.2128e-18, 0, 1.41421, -3.2128e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11322e-20, 0, 0, 0, 4.97558e-19, 0, 2.70411e-18, 0, 0, 0
0.0837549, 0, 6.42374e-18, 0, 1.41421, -6.42374e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21867e-20, 0, 0, 0, 1.01224e-18, 0, 5.38931e-18, 0, 0, 0
0.0916113, 0, 1.27176e-17, 0, 1.41421, -1.27176e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37807e-20, 0, 0, 0, 2.03911e-18, 0, 1.06347e-17, 0, 0, 0
0.0994677, 0, 2.49362e-17, 0, 1.41421, -2.49362e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.55559e-20, 0, 0, 0, 4.06851e-18, 0, 2.07822e-17, 0, 0, 0
0.107324, 0, 4.84351e-17, 0, 1.41421, -4.84351e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65607e-19, 0, 0, 0, 8.04222e-18, 0, 4.02273e-17, 0, 0, 0
0.115181, 0, 9.32141e-17, 0, 1.41421, -9.32141e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17583e-19, 0, 0, 0, 1.57532e-17, 0, 7.71434e-17, 0, 0, 0
0.123037, 0, 1.77775e-16, 0, 1.41421, -1.77775e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.03468e-19, 0, 0, 0, 3.05848e-17, 0, 1.46587e-16, 0, 0, 0
0.130893, 0, 3.36052e-16, 0, 1.41421, -3.36052e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13643e-18, 0, 0, 0, 5.88685e-17, 0, 2.76047e-16, 0, 0, 0
0.13875, 0, 6.2973e-16, 0, 1.41421, -6.2973e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1212e-18, 0, 0, 0, 1.12352e-16, 0, 5.15256e-16, 0, 0, 0
0.146606, 0, 1.16998e-15, 0, 1.41421, -1.16998e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92494e-18, 0, 0, 0, 2.1266e-16, 0, 9.534e-16, 0, 0, 0
0.154463, 0, 2.15549e-15, 0, 1.41421, -2.15549e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.20032e-18, 0, 0, 0, 3.99274e-16, 0, 1.74902e-15, 0, 0, 0
0.162319, 0, 3.93832e-15, 0, 1.41421, -3.93832e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30975e-17, 0, 0, 0, 7.43724e-16, 0, 3.18149e-15, 0, 0, 0
0.170175, 0, 7.13721e-15, 0, 1.41421, -7.13721e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36261e-17, 0, 0, 0, 1.37461e-15, 0, 5.73898e-15, 0, 0, 0
0.178032, 0, 1.28307e-14, 0, 1.41421, -1.28307e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22673e-17, 0, 0, 0, 2.52137e-15, 0, 1.02671e-14, 0, 0, 0
0.185888, 0, 2.28838e-14, 0, 1.41421, -2.28838e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.50012e-17, 0, 0, 0, 4.59042e-15, 0, 1.82184e-14, 0, 0, 0
0.193745, 0, 4.04956e-14, 0, 1.41421, -4.04956e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32014e-16, 0, 0, 0, 8.29636e-15, 0, 3.20672e-14, 0, 0, 0
