   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_827.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00683738, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00102784, 0, 1.20252e-15, 0, 1.41421, -1.20252e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.81407e-18, 0, 0, 9.29929e-19, 0, 1.0244e-16, 0, 1.09134e-15, 0, 0, 0
0.00889306, 0, 1.99503e-15, 0, 1.41421, -1.99503e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2935e-17, 0, 0, 1.56779e-18, 0, 1.73979e-16, 0, 1.80655e-15, 0, 0, 0
0.0167583, 0, 3.29186e-15, 0, 1.41421, -3.29186e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12937e-17, 0, 0, 2.62888e-18, 0, 2.93992e-16, 0, 2.97395e-15, 0, 0, 0
0.0246235, 0, 5.4026e-15, 0, 1.41421, -5.4026e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48625e-17, 0, 0, 4.38462e-18, 0, 4.94328e-16, 0, 4.86902e-15, 0, 0, 0
0.0324887, 0, 8.81982e-15, 0, 1.41421, -8.81982e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67697e-17, 0, 0, 7.27444e-18, 0, 8.2712e-16, 0, 7.92866e-15, 0, 0, 0
0.0403539, 0, 1.43232e-14, 0, 1.41421, -1.43232e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.19488e-17, 0, 0, 1.20061e-17, 0, 1.37728e-15, 0, 1.28419e-14, 0, 0, 0
0.0482192, 0, 2.31402e-14, 0, 1.41421, -2.31402e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4814e-16, 0, 0, 1.97136e-17, 0, 2.28248e-15, 0, 2.06899e-14, 0, 0, 0
0.0560844, 0, 3.71935e-14, 0, 1.41421, -3.71935e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3742e-16, 0, 0, 3.22053e-17, 0, 3.76483e-15, 0, 3.3159e-14, 0, 0, 0
0.0639496, 0, 5.94787e-14, 0, 1.41421, -5.94787e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78529e-16, 0, 0, 5.23496e-17, 0, 6.18106e-15, 0, 5.28668e-14, 0, 0, 0
