   PIQUANT 0.0.0-main  ps__0661_0725638583_000BHVO2_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00237107, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00549902, 0, 1.71736e-18, 0, 1.41421, -1.71736e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50715e-21, 0, 0, 2.35233e-23, 0, 1.22168e-23, 0, 1.71182e-18, 0, 0, 0
0.0133691, 0, 3.48345e-18, 0, 1.41421, -3.48345e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11706e-20, 0, 0, 4.84066e-23, 0, 2.52363e-23, 0, 3.4722e-18, 0, 0, 0
0.0212392, 0, 6.99262e-18, 0, 1.41421, -6.99262e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24236e-20, 0, 0, 9.85975e-23, 0, 5.15886e-23, 0, 6.97004e-18, 0, 0, 0
0.0291093, 0, 1.3896e-17, 0, 1.41421, -1.3896e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.45612e-20, 0, 0, 1.98849e-22, 0, 1.04402e-22, 0, 1.38512e-17, 0, 0, 0
0.0369794, 0, 2.73456e-17, 0, 1.41421, -2.73456e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.76905e-20, 0, 0, 3.97198e-22, 0, 2.09237e-22, 0, 2.72573e-17, 0, 0, 0
0.0448495, 0, 5.33024e-17, 0, 1.41421, -5.33024e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70928e-19, 0, 0, 7.86029e-22, 0, 4.15417e-22, 0, 5.31302e-17, 0, 0, 0
0.0527196, 0, 1.02938e-16, 0, 1.41421, -1.02938e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30096e-19, 0, 0, 1.54144e-21, 0, 8.17288e-22, 0, 1.02605e-16, 0, 0, 0
0.0605897, 0, 1.99963e-16, 0, 1.41421, -1.99963e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.41231e-19, 0, 0, 3.05391e-21, 0, 1.62607e-21, 0, 1.99317e-16, 0, 0, 0
0.0684598, 0, 3.78717e-16, 0, 1.41421, -3.78717e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21445e-18, 0, 0, 5.87467e-21, 0, 3.13842e-21, 0, 3.77494e-16, 0, 0, 0
