   PIQUANT 0.0.0-main  ps__0097_0675553164_000PTFE_shot_11.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0830303, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0747749, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0665196, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0582642, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0500089, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0417536, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0334982, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0252429, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0169875, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00873216, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000476822, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00777853, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0160339, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0242892, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0325446, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0407999, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0490552, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0573106, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.065566, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0738213, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0820766, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.090332, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0985873, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.106843, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.115098, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.123353, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.131609, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.139864, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.148119, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.156375, 0, 2.41965e-28, 0, 1.41421, -2.41965e-28, 0, 0, 0, 0, 0, 0, 0, 0, 5.26541e-31, 0, 0, 7.25508e-34, 8.7971e-34, 0, 2.41437e-28, 0, 0
0.16463, 0, 3.01803e-27, 0, 1.41421, -3.01803e-27, 0, 0, 0, 0, 0, 0, 0, 0, 6.56727e-30, 0, 0, 9.04887e-33, 1.4367e-31, 0, 3.01131e-27, 0, 0
0.172885, 0, 2.36343e-26, 0, 1.41421, -2.36343e-26, 0, 0, 0, 0, 0, 0, 0, 0, 5.14271e-29, 0, 0, 7.086e-32, 1.7648e-30, 0, 2.3581e-26, 0, 0
0.181141, 0, 1.47696e-25, 0, 1.41421, -1.47696e-25, 0, 0, 0, 0, 0, 0, 0, 0, 3.21373e-28, 0, 0, 4.42956e-31, 1.38028e-29, 0, 1.4736e-25, 0, 0
0.189396, 0, 8.01727e-25, 0, 1.41421, -8.01727e-25, 0, 0, 0, 0, 0, 0, 0, 0, 1.74446e-27, 0, 0, 2.40729e-30, 8.63285e-29, 0, 7.99894e-25, 0, 0
0.197651, 0, 3.93705e-24, 0, 1.41421, -3.93705e-24, 0, 0, 0, 0, 0, 0, 0, 0, 8.56645e-27, 0, 0, 1.1844e-29, 4.69148e-28, 0, 3.928e-24, 0, 0
0.205907, 0, 1.78954e-23, 0, 1.41421, -1.78954e-23, 0, 0, 0, 0, 0, 0, 0, 0, 3.89375e-26, 0, 0, 5.39663e-29, 2.3064e-27, 0, 1.78541e-23, 0, 0
0.214162, 0, 7.7516e-23, 0, 1.41421, -7.7516e-23, 0, 0, 0, 0, 0, 0, 0, 0, 1.68661e-25, 0, 0, 2.34623e-28, 1.07445e-26, 0, 7.73364e-23, 0, 0
0.222418, 0, 3.16355e-22, 0, 1.41421, -3.16355e-22, 0, 0, 0, 0, 0, 0, 0, 0, 6.88325e-25, 0, 0, 9.61087e-28, 4.64766e-26, 0, 3.15619e-22, 0, 0
0.230673, 0, 1.22808e-21, 0, 1.41421, -1.22808e-21, 0, 0, 0, 0, 0, 0, 0, 0, 2.67203e-24, 0, 0, 3.74513e-27, 1.89462e-25, 0, 1.22521e-21, 0, 0
0.238928, 0, 4.56431e-21, 0, 1.41421, -4.56431e-21, 0, 0, 0, 0, 0, 0, 0, 0, 9.93088e-24, 0, 0, 1.39743e-26, 7.34734e-25, 0, 4.55363e-21, 0, 0
0.247184, 0, 1.63183e-20, 0, 1.41421, -1.63183e-20, 0, 0, 0, 0, 0, 0, 0, 0, 3.55045e-23, 0, 0, 5.01669e-26, 2.72814e-24, 0, 1.628e-20, 0, 0
0.255439, 0, 5.63239e-20, 0, 1.41421, -5.63239e-20, 0, 0, 0, 0, 0, 0, 0, 0, 1.22546e-22, 0, 0, 1.73905e-25, 9.74538e-24, 0, 5.61914e-20, 0, 0
0.263694, 0, 1.88221e-19, 0, 1.41421, -1.88221e-19, 0, 0, 0, 0, 0, 0, 0, 0, 4.09517e-22, 0, 0, 5.83799e-25, 3.36128e-23, 0, 1.87777e-19, 0, 0
0.27195, 0, 6.10383e-19, 0, 1.41421, -6.10383e-19, 0, 0, 0, 0, 0, 0, 0, 0, 1.32802e-21, 0, 0, 1.90231e-24, 1.12265e-22, 0, 6.08941e-19, 0, 0
0.280205, 0, 1.9246e-18, 0, 1.41421, -1.9246e-18, 0, 0, 0, 0, 0, 0, 0, 0, 4.18735e-21, 0, 0, 6.0287e-24, 3.63954e-22, 0, 1.92004e-18, 0, 0
0.28846, 0, 5.90984e-18, 0, 1.41421, -5.90984e-18, 0, 0, 0, 0, 0, 0, 0, 0, 1.2858e-20, 0, 0, 1.86121e-23, 1.14752e-21, 0, 5.89582e-18, 0, 0
0.296716, 0, 1.76978e-17, 0, 1.41421, -1.76978e-17, 0, 0, 0, 0, 0, 0, 0, 0, 3.85049e-20, 0, 0, 5.60552e-23, 3.52457e-21, 0, 1.76558e-17, 0, 0
0.304971, 0, 5.17472e-17, 0, 1.41421, -5.17472e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.12585e-19, 0, 0, 1.64897e-22, 1.05607e-20, 0, 5.16239e-17, 0, 0
0.313226, 0, 1.47883e-16, 0, 1.41421, -1.47883e-16, 0, 0, 0, 0, 0, 0, 0, 0, 3.21742e-19, 0, 0, 4.74289e-22, 3.09059e-20, 0, 1.4753e-16, 0, 0
0.321482, 0, 4.13428e-16, 0, 1.41421, -4.13428e-16, 0, 0, 0, 0, 0, 0, 0, 0, 8.99466e-19, 0, 0, 1.33507e-21, 8.84288e-20, 0, 4.12439e-16, 0, 0
0.329737, 0, 1.1315e-15, 0, 1.41421, -1.1315e-15, 0, 0, 0, 0, 0, 0, 0, 0, 2.46169e-18, 0, 0, 3.68068e-21, 2.47584e-19, 0, 1.12878e-15, 0, 0
