   PIQUANT 0.0.0-main  ps__0097_0675553164_000PTFE_shot_1.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0832741, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0750348, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0667956, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0585563, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.050317, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0420777, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0338384, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0255991, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0173598, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00912054, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000881249, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00735804, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0155973, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0238366, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0320759, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0403152, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0485545, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0567938, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0650331, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0732724, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0815116, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0897509, 0, 2.4032e-28, 0, 1.41421, -2.4032e-28, 0, 0, 0, 0, 0, 0, 0, 0, 3.40446e-31, 0, 1.02819e-33, 9.24238e-34, 0, 2.39977e-28, 0, 0
0.0979902, 0, 2.71202e-27, 0, 1.41421, -2.71202e-27, 0, 0, 0, 0, 0, 0, 0, 0, 3.84182e-30, 0, 1.16028e-32, 9.66829e-32, 0, 2.70807e-27, 0, 0
0.10623, 0, 1.92218e-26, 0, 1.41421, -1.92218e-26, 0, 0, 0, 0, 0, 0, 0, 0, 2.72288e-29, 0, 8.22346e-32, 1.12718e-30, 0, 1.91933e-26, 0, 0
0.114469, 0, 1.08888e-25, 0, 1.41421, -1.08888e-25, 0, 0, 0, 0, 0, 0, 0, 0, 1.54244e-28, 0, 4.65837e-31, 8.2301e-30, 0, 1.08725e-25, 0, 0
0.122708, 0, 5.37006e-25, 0, 1.41421, -5.37006e-25, 0, 0, 0, 0, 0, 0, 0, 0, 7.60678e-28, 0, 2.29902e-30, 4.76575e-29, 0, 5.36196e-25, 0, 0
0.130947, 0, 2.40212e-24, 0, 1.41421, -2.40212e-24, 0, 0, 0, 0, 0, 0, 0, 0, 3.4026e-27, 0, 1.02999e-29, 2.38986e-28, 0, 2.39846e-24, 0, 0
0.139187, 0, 1.24184e-23, 0, 1.41421, -1.24184e-23, 0, 0, 0, 0, 0, 0, 0, 0, 1.75904e-26, 0, 5.34873e-29, 1.42473e-27, 0, 1.23994e-23, 0, 0
0.147426, 0, 4.68969e-23, 0, 1.41421, -4.68969e-23, 0, 0, 0, 0, 0, 0, 0, 0, 6.6428e-26, 0, 2.02574e-28, 5.71289e-27, 0, 4.68246e-23, 0, 0
0.155665, 0, 1.69504e-22, 0, 1.41421, -1.69504e-22, 0, 0, 0, 0, 0, 0, 0, 0, 2.40096e-25, 0, 7.34527e-28, 2.17536e-26, 0, 1.69242e-22, 0, 0
0.163905, 0, 5.89355e-22, 0, 1.41421, -5.89355e-22, 0, 0, 0, 0, 0, 0, 0, 0, 8.34792e-25, 0, 2.56279e-27, 7.92218e-26, 0, 5.88438e-22, 0, 0
0.172144, 0, 1.97893e-21, 0, 1.41421, -1.97893e-21, 0, 0, 0, 0, 0, 0, 0, 0, 2.80304e-24, 0, 8.63755e-27, 2.77384e-25, 0, 1.97584e-21, 0, 0
0.180383, 0, 6.43708e-21, 0, 1.41421, -6.43708e-21, 0, 0, 0, 0, 0, 0, 0, 0, 9.11771e-24, 0, 2.8209e-26, 9.3756e-25, 0, 6.427e-21, 0, 0
0.188622, 0, 2.03347e-20, 0, 1.41421, -2.03347e-20, 0, 0, 0, 0, 0, 0, 0, 0, 2.88026e-23, 0, 8.9493e-26, 3.06892e-24, 0, 2.03027e-20, 0, 0
0.196862, 0, 6.25132e-20, 0, 1.41421, -6.25132e-20, 0, 0, 0, 0, 0, 0, 0, 0, 8.85449e-23, 0, 2.76372e-25, 9.75348e-24, 0, 6.24146e-20, 0, 0
0.205101, 0, 1.87343e-19, 0, 1.41421, -1.87343e-19, 0, 0, 0, 0, 0, 0, 0, 0, 2.65356e-22, 0, 8.32252e-25, 3.01609e-23, 0, 1.87047e-19, 0, 0
0.21334, 0, 5.48116e-19, 0, 1.41421, -5.48116e-19, 0, 0, 0, 0, 0, 0, 0, 0, 7.76355e-22, 0, 2.44741e-24, 9.09107e-23, 0, 5.47247e-19, 0, 0
0.22158, 0, 1.56751e-18, 0, 1.41421, -1.56751e-18, 0, 0, 0, 0, 0, 0, 0, 0, 2.22021e-21, 0, 7.03708e-24, 2.67497e-22, 0, 1.56501e-18, 0, 0
0.229819, 0, 4.38647e-18, 0, 1.41421, -4.38647e-18, 0, 0, 0, 0, 0, 0, 0, 0, 6.21296e-21, 0, 1.98054e-23, 7.69333e-22, 0, 4.37946e-18, 0, 0
0.238058, 0, 1.20223e-17, 0, 1.41421, -1.20223e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.70281e-20, 0, 5.46113e-23, 2.1651e-21, 0, 1.2003e-17, 0, 0
0.246297, 0, 3.22975e-17, 0, 1.41421, -3.22975e-17, 0, 0, 0, 0, 0, 0, 0, 0, 4.57456e-20, 0, 1.47654e-22, 5.96794e-21, 0, 3.22457e-17, 0, 0
0.254537, 0, 8.51083e-17, 0, 1.41421, -8.51083e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.20545e-19, 0, 3.91728e-22, 1.61256e-20, 0, 8.49713e-17, 0, 0
0.262776, 0, 2.20124e-16, 0, 1.41421, -2.20124e-16, 0, 0, 0, 0, 0, 0, 0, 0, 3.11775e-19, 0, 1.02046e-21, 4.2746e-20, 0, 2.19768e-16, 0, 0
0.271015, 0, 5.59088e-16, 0, 1.41421, -5.59088e-16, 0, 0, 0, 0, 0, 0, 0, 0, 7.91867e-19, 0, 2.61158e-21, 1.11228e-19, 0, 5.58182e-16, 0, 0
0.279255, 0, 1.39515e-15, 0, 1.41421, -1.39515e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.97601e-18, 0, 6.56943e-21, 2.84264e-19, 0, 1.39288e-15, 0, 0
0.287494, 0, 3.42194e-15, 0, 1.41421, -3.42194e-15, 0, 0, 0, 0, 0, 0, 0, 0, 4.84661e-18, 0, 1.62505e-20, 7.13908e-19, 0, 3.41637e-15, 0, 0
0.295733, 0, 8.25281e-15, 0, 1.41421, -8.25281e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.16886e-17, 0, 3.95453e-20, 1.76268e-18, 0, 8.23931e-15, 0, 0
