   PIQUANT 0.0.0-main  ps__0246_0688790088_000PTFE_shot_11.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0290446, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0210225, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0130004, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00497833, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00304377, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0110659, 0, 3.11135e-14, 0, 1.41421, -3.11135e-14, 0, 0, 0, 0, 0, 0, 4.05361e-16, 0, 0, 7.74828e-19, 3.51126e-17, 0, 3.06723e-14, 0, 0
0.019088, 0, 5.45968e-14, 0, 1.41421, -5.45968e-14, 0, 0, 0, 0, 0, 0, 7.11278e-16, 0, 0, 1.39286e-18, 6.40972e-17, 0, 5.382e-14, 0, 0
0.0271101, 0, 9.49636e-14, 0, 1.41421, -9.49636e-14, 0, 0, 0, 0, 0, 0, 1.23711e-15, 0, 0, 2.48223e-18, 1.16044e-16, 0, 9.3608e-14, 0, 0
0.0351322, 0, 1.63751e-13, 0, 1.41421, -1.63751e-13, 0, 0, 0, 0, 0, 0, 2.1331e-15, 0, 0, 4.38614e-18, 2.0839e-16, 0, 1.61405e-13, 0, 0
0.0431543, 0, 2.80749e-13, 0, 1.41421, -2.80749e-13, 0, 0, 0, 0, 0, 0, 3.65695e-15, 0, 0, 7.72286e-18, 3.73762e-16, 0, 2.7671e-13, 0, 0
0.0511764, 0, 4.7587e-13, 0, 1.41421, -4.7587e-13, 0, 0, 0, 0, 0, 0, 6.19818e-15, 0, 0, 1.34177e-17, 6.60334e-16, 0, 4.68998e-13, 0, 0
0.0591984, 0, 7.99974e-13, 0, 1.41421, -7.99974e-13, 0, 0, 0, 0, 0, 0, 1.0419e-14, 0, 0, 2.31254e-17, 1.15763e-15, 0, 7.88375e-13, 0, 0
0.0672206, 0, 1.33393e-12, 0, 1.41421, -1.33393e-12, 0, 0, 0, 0, 0, 0, 1.73723e-14, 0, 0, 3.95437e-17, 2.01404e-15, 0, 1.31451e-12, 0, 0
