   PIQUANT 0.0.0-main  ps__0246_0688790088_000PTFE_shot_2.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0999315, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0916093, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0832871, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0749649, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0666428, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0583206, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0499984, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0416762, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.033354, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0250318, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0167096, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00838744, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-6.52542e-05, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00825694, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0165791, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0249013, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0332235, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0415457, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0498679, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0581901, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0665123, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0748344, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0831566, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0914788, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.099801, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.108123, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.116445, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.124768, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.13309, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.141412, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.149734, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.158056, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.166379, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.174701, 0, 2.66629e-28, 0, 1.41421, -2.66629e-28, 0, 0, 0, 0, 0, 0, 0, 0, 6.15132e-31, 0, 6.43594e-34, 1.58825e-33, 2.66012e-28, 0, 0
0.183023, 0, 3.52757e-27, 0, 1.41421, -3.52757e-27, 0, 0, 0, 0, 0, 0, 0, 0, 8.13791e-30, 0, 8.51446e-33, 2.05076e-31, 3.51922e-27, 0, 0
0.191345, 0, 2.92516e-26, 0, 1.41421, -2.92516e-26, 0, 0, 0, 0, 0, 0, 0, 0, 6.74795e-29, 0, 7.06019e-32, 2.71523e-30, 2.91813e-26, 0, 0
0.199667, 0, 2.11265e-25, 0, 1.41421, -2.11265e-25, 0, 0, 0, 0, 0, 0, 0, 0, 4.87342e-28, 0, 5.10246e-31, 2.69957e-29, 2.1075e-25, 0, 0
0.207989, 0, 1.23967e-24, 0, 1.41421, -1.23967e-24, 0, 0, 0, 0, 0, 0, 0, 0, 2.85961e-27, 0, 2.99747e-30, 1.84024e-28, 1.23663e-24, 0, 0
0.216312, 0, 6.42993e-24, 0, 1.41421, -6.42993e-24, 0, 0, 0, 0, 0, 0, 0, 0, 1.48319e-26, 0, 1.55699e-29, 1.05267e-27, 6.41403e-24, 0, 0
0.224634, 0, 3.05489e-23, 0, 1.41421, -3.05489e-23, 0, 0, 0, 0, 0, 0, 0, 0, 7.04662e-26, 0, 7.40995e-29, 5.38533e-27, 3.04729e-23, 0, 0
0.232956, 0, 1.35506e-22, 0, 1.41421, -1.35506e-22, 0, 0, 0, 0, 0, 0, 0, 0, 3.12564e-25, 0, 3.29316e-28, 2.53776e-26, 1.35167e-22, 0, 0
0.241278, 0, 5.67807e-22, 0, 1.41421, -5.67807e-22, 0, 0, 0, 0, 0, 0, 0, 0, 1.30972e-24, 0, 1.38288e-27, 1.12009e-25, 5.66384e-22, 0, 0
0.2496, 0, 2.26562e-21, 0, 1.41421, -2.26562e-21, 0, 0, 0, 0, 0, 0, 0, 0, 5.2259e-24, 0, 5.53092e-27, 4.67998e-25, 2.25993e-21, 0, 0
0.257923, 0, 8.65821e-21, 0, 1.41421, -8.65821e-21, 0, 0, 0, 0, 0, 0, 0, 0, 1.99709e-23, 0, 2.11915e-26, 1.86477e-24, 8.63636e-21, 0, 0
0.266245, 0, 3.18291e-20, 0, 1.41421, -3.18291e-20, 0, 0, 0, 0, 0, 0, 0, 0, 7.34158e-23, 0, 7.81244e-26, 7.12436e-24, 3.17484e-20, 0, 0
0.274567, 0, 1.12945e-19, 0, 1.41421, -1.12945e-19, 0, 0, 0, 0, 0, 0, 0, 0, 2.60513e-22, 0, 2.7808e-25, 2.62064e-23, 1.12658e-19, 0, 0
0.282889, 0, 3.87931e-19, 0, 1.41421, -3.87931e-19, 0, 0, 0, 0, 0, 0, 0, 0, 8.94774e-22, 0, 9.5833e-25, 9.31164e-23, 3.86943e-19, 0, 0
0.291211, 0, 1.29257e-18, 0, 1.41421, -1.29257e-18, 0, 0, 0, 0, 0, 0, 0, 0, 2.98132e-21, 0, 3.20474e-24, 3.20426e-22, 1.28926e-18, 0, 0
0.299534, 0, 4.1856e-18, 0, 1.41421, -4.1856e-18, 0, 0, 0, 0, 0, 0, 0, 0, 9.65405e-21, 0, 1.04185e-23, 1.07013e-21, 4.17486e-18, 0, 0
0.307856, 0, 1.31925e-17, 0, 1.41421, -1.31925e-17, 0, 0, 0, 0, 0, 0, 0, 0, 3.04281e-20, 0, 3.29778e-23, 3.4746e-21, 1.31585e-17, 0, 0
0.316178, 0, 4.05235e-17, 0, 1.41421, -4.05235e-17, 0, 0, 0, 0, 0, 0, 0, 0, 9.34655e-20, 0, 1.01764e-22, 1.09842e-20, 4.0419e-17, 0, 0
0.3245, 0, 1.21438e-16, 0, 1.41421, -1.21438e-16, 0, 0, 0, 0, 0, 0, 0, 0, 2.80088e-19, 0, 3.06472e-22, 3.38489e-20, 1.21124e-16, 0, 0
0.332822, 0, 3.55349e-16, 0, 1.41421, -3.55349e-16, 0, 0, 0, 0, 0, 0, 0, 0, 8.19572e-19, 0, 9.0158e-22, 1.01784e-19, 3.54427e-16, 0, 0
0.341144, 0, 1.0161e-15, 0, 1.41421, -1.0161e-15, 0, 0, 0, 0, 0, 0, 0, 0, 2.34348e-18, 0, 2.59286e-21, 2.98923e-19, 1.01345e-15, 0, 0
